28049;13.09.21 13:59:19;21;Avvicinamento Pressata Finale;force < min. force (9);20210913110224P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;85,62;0,04;0,00;0,00;
0,00;0,00;88,70;0,09;0,00;0,00;
0,00;0,00;107,72;0,04;0,00;0,00;
0,00;0,00;126,92;-0,04;0,00;0,00;
0,00;0,00;146,12;-0,04;0,00;0,00;
0,00;0,00;170,12;-0,04;0,00;0,00;
0,00;0,00;198,92;0,04;0,00;0,00;
0,00;0,00;213,32;0,04;0,00;0,00;
0,00;0,00;218,12;-0,04;0,00;0,00;
0,00;0,00;227,72;0,04;0,00;0,00;
0,00;0,00;242,12;-0,04;0,00;0,00;
0,00;0,00;246,92;0,04;0,00;0,00;
0,00;0,00;266,12;0,04;0,00;0,00;
0,00;0,00;280,52;-0,04;0,00;0,00;
0,00;0,00;309,00;-0,04;0,00;0,00;
0,00;0,00;311,71;-0,04;0,00;0,00;
0,00;0,00;312,45;0,04;0,00;0,00;
0,00;0,00;313,02;0,04;0,00;0,00;
0,00;0,00;313,40;0,04;0,00;0,00;
0,00;0,00;313,79;0,04;0,00;0,00;
0,00;0,00;313,98;0,09;0,00;0,00;
0,00;0,00;314,94;0,04;0,00;0,00;
0,00;0,00;315,13;0,04;0,00;0,00;
0,00;0,00;316,09;0,04;0,00;0,00;
0,00;0,00;316,28;0,04;0,00;0,00;
0,00;0,00;316,86;0,04;0,00;0,00;
0,00;0,00;317,24;0,04;0,00;0,00;
0,00;0,00;317,44;0,04;0,00;0,00;
0,00;0,00;317,82;0,13;0,00;0,00;
0,00;0,00;318,01;0,04;0,00;0,00;
0,00;0,00;318,78;0,04;0,00;0,00;
0,00;0,00;318,97;0,04;0,00;0,00;
0,00;0,00;319,16;0,04;0,00;0,00;
0,00;0,00;319,55;0,04;0,00;0,00;
0,00;0,00;319,74;0,04;0,00;0,00;
0,00;0,00;319,93;0,04;0,00;0,00;
0,00;0,00;320,12;0,04;0,00;0,00;
0,00;0,00;320,51;0,04;0,00;0,00;
0,00;0,00;320,70;0,13;0,00;0,00;
0,00;0,00;320,89;0,09;0,00;0,00;
0,00;0,00;321,08;0,04;0,00;0,00;
0,00;0,00;321,28;0,04;0,00;0,00;
0,00;0,00;321,47;0,04;0,00;0,00;
0,00;0,00;321,66;0,09;0,00;0,00;
0,00;0,00;321,85;0,04;0,00;0,00;
0,00;0,00;322,04;0,04;0,00;0,00;
0,00;0,00;322,24;0,09;0,00;0,00;
0,00;0,00;322,43;0,09;0,00;0,00;
0,00;0,00;322,62;0,09;0,00;0,00;
0,00;0,00;322,81;0,04;0,00;0,00;
0,00;0,00;323,00;0,09;0,00;0,00;
0,00;0,00;323,20;0,09;0,00;0,00;
0,00;0,00;323,39;0,13;0,00;0,00;
0,00;0,00;323,58;0,18;0,00;0,00;
0,00;0,00;323,77;0,18;0,00;0,00;
0,00;0,00;323,96;0,18;0,00;0,00;
0,00;0,00;324,16;0,18;0,00;0,00;
0,00;0,00;324,35;0,18;0,00;0,00;
0,00;0,00;324,54;0,21;0,00;0,00;
0,00;0,00;324,73;0,35;0,00;0,00;
0,00;0,00;324,92;0,30;0,00;0,00;
0,00;0,00;325,12;0,35;0,00;0,00;
0,00;0,00;325,31;0,35;0,00;0,00;
0,00;0,00;325,50;0,35;0,00;0,00;
0,00;0,00;325,69;0,35;0,00;0,00;
0,00;0,00;325,88;0,35;0,00;0,00;
0,00;0,00;326,08;0,35;0,00;0,00;
0,00;0,00;326,27;0,35;0,00;0,00;
0,00;0,00;326,46;0,35;0,00;0,00;
0,00;0,00;326,65;0,39;0,00;0,00;
0,00;0,00;326,84;0,35;0,00;0,00;
0,00;0,00;327,04;0,35;0,00;0,00;
0,00;0,00;327,23;0,39;0,00;0,00;
0,00;0,00;327,42;0,44;0,00;0,00;
0,00;0,00;327,61;0,48;0,00;0,00;
0,00;0,00;327,80;0,48;0,00;0,00;
0,00;0,00;328,00;0,52;0,00;0,00;
0,00;0,00;328,19;0,52;0,00;0,00;
0,00;0,00;328,25;0,35;0,00;0,00;
0,00;0,00;328,25;0,35;0,00;0,00;
