22683;05.07.21 15:17:43;21;Avvicinamento Pressata Finale;position > max position (10);20210705101235P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,22;0,09;0,00;0,00;
0,00;0,00;37,92;0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,04;0,00;0,00;
0,00;0,00;100,32;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,09;0,00;0,00;
0,00;0,00;162,72;-0,04;0,00;0,00;
0,00;0,00;167,52;0,04;0,00;0,00;
0,00;0,00;172,32;-0,04;0,00;0,00;
0,00;0,00;177,12;-0,04;0,00;0,00;
0,00;0,00;181,92;-0,04;0,00;0,00;
0,00;0,00;205,92;0,04;0,00;0,00;
0,00;0,00;215,52;0,04;0,00;0,00;
0,00;0,00;220,32;0,09;0,00;0,00;
0,00;0,00;229,92;0,04;0,00;0,00;
0,00;0,00;234,72;0,04;0,00;0,00;
0,00;0,00;239,52;0,04;0,00;0,00;
0,00;0,00;253,92;-0,04;0,00;0,00;
0,00;0,00;263,52;0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;273,12;-0,04;0,00;0,00;
0,00;0,00;277,92;-0,04;0,00;0,00;
0,00;0,00;282,72;0,04;0,00;0,00;
0,00;0,00;287,13;-0,04;0,00;0,00;
0,00;0,00;289,81;-0,04;0,00;0,00;
0,00;0,00;290,56;0,04;0,00;0,00;
0,00;0,00;292,72;0,04;0,00;0,00;
0,00;0,00;293,36;0,04;0,00;0,00;
0,00;0,00;294,00;0,04;0,00;0,00;
0,00;0,00;294,32;0,04;0,00;0,00;
0,00;0,00;295,60;0,04;0,00;0,00;
0,00;0,00;296,56;0,04;0,00;0,00;
0,00;0,00;297,52;0,04;0,00;0,00;
0,00;0,00;297,84;0,18;0,00;0,00;
0,00;0,00;298,16;0,26;0,00;0,00;
0,00;0,00;298,48;0,35;0,00;0,00;
0,00;0,00;298,80;0,35;0,00;0,00;
0,00;0,00;299,12;0,35;0,00;0,00;
0,00;0,00;299,44;0,26;0,00;0,00;
0,00;0,00;299,76;0,35;0,00;0,00;
0,00;0,00;300,07;1,87;0,00;0,00;
0,00;0,00;300,39;1,78;0,00;0,00;
0,00;0,00;300,72;1,87;0,00;0,00;
0,00;0,00;301,04;1,91;0,00;0,00;
0,00;0,00;301,36;2,09;0,00;0,00;
0,00;0,00;301,68;2,17;0,00;0,00;
0,00;0,00;302,00;2,35;0,00;0,00;
0,00;0,00;302,32;2,44;0,00;0,00;
0,00;0,00;302,64;2,48;0,00;0,00;
0,00;0,00;302,96;2,65;0,00;0,00;
0,00;0,00;303,28;2,78;0,00;0,00;
0,00;0,00;303,60;3,00;0,00;0,00;
0,00;0,00;303,92;3,09;0,00;0,00;
0,00;0,00;304,24;3,34;0,00;0,00;
0,00;0,00;304,55;3,57;0,00;0,00;
0,00;0,00;304,88;3,69;0,00;0,00;
0,00;0,00;305,20;3,82;0,00;0,00;
0,00;0,00;305,52;4,00;0,00;0,00;
0,00;0,00;305,84;4,14;0,00;0,00;
0,00;0,00;306,16;4,18;0,00;0,00;
0,00;0,00;306,48;4,35;0,00;0,00;
0,00;0,00;306,80;4,53;0,00;0,00;
0,00;0,00;307,12;4,61;0,00;0,00;
0,00;0,00;307,44;4,65;0,00;0,00;
0,00;0,00;307,76;4,83;0,00;0,00;
0,00;0,00;308,07;4,91;0,00;0,00;
0,00;0,00;308,40;5,13;0,00;0,00;
0,00;0,00;308,72;5,18;0,00;0,00;
0,00;0,00;309,04;5,30;0,00;0,00;
0,00;0,00;309,36;5,52;0,00;0,00;
0,00;0,00;309,67;5,66;0,00;0,00;
0,00;0,00;310,00;5,74;0,00;0,00;
0,00;0,00;310,32;5,78;0,00;0,00;
0,00;0,00;310,64;5,96;0,00;0,00;
0,00;0,00;310,96;5,96;0,00;0,00;
0,00;0,00;311,28;6,00;0,00;0,00;
0,00;0,00;311,60;6,26;0,00;0,00;
0,00;0,00;311,92;6,56;0,00;0,00;
0,00;0,00;312,24;6,70;0,00;0,00;
0,00;0,00;312,56;6,65;0,00;0,00;
0,00;0,00;312,88;6,82;0,00;0,00;
0,00;0,00;313,20;6,91;0,00;0,00;
0,00;0,00;313,52;7,04;0,00;0,00;
0,00;0,00;313,83;9,48;0,00;0,00;
0,00;0,00;314,09;23,53;0,00;0,00;
0,00;0,00;314,14;27,14;0,00;0,00;
0,00;0,00;314,16;27,96;0,00;0,00;
0,00;0,00;314,17;28,75;0,00;0,00;
0,00;0,00;314,19;29,57;0,00;0,00;
0,00;0,00;314,19;29,66;0,00;0,00;
0,00;0,00;314,19;29,75;0,00;0,00;
