17770;29.04.21 16:54:34;21;Avvicinamento Pressata Finale;Alcun errore (0);20210429143908P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;4,20;0,08;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;13,62;0,09;0,00;0,00;
0,00;0,00;23,22;0,04;0,00;0,00;
0,00;0,00;28,02;0,04;0,00;0,00;
0,00;0,00;32,82;0,09;0,00;0,00;
0,00;0,00;37,62;0,09;0,00;0,00;
0,00;0,00;42,42;0,04;0,00;0,00;
0,00;0,00;47,22;0,04;0,00;0,00;
0,00;0,00;52,02;0,09;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;61,62;0,09;0,00;0,00;
0,00;0,00;71,22;0,04;0,00;0,00;
0,00;0,00;80,82;0,04;0,00;0,00;
0,00;0,00;95,22;0,09;0,00;0,00;
0,00;0,00;109,62;0,04;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;119,22;0,04;0,00;0,00;
0,00;0,00;124,02;0,04;0,00;0,00;
0,00;0,00;128,82;0,04;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;143,22;0,04;0,00;0,00;
0,00;0,00;152,82;0,04;0,00;0,00;
0,00;0,00;162,42;0,04;0,00;0,00;
0,00;0,00;167,22;0,09;0,00;0,00;
0,00;0,00;172,02;0,09;0,00;0,00;
0,00;0,00;181,62;0,04;0,00;0,00;
0,00;0,00;191,22;0,04;0,00;0,00;
0,00;0,00;200,82;0,04;0,00;0,00;
0,00;0,00;210,42;0,04;0,00;0,00;
0,00;0,00;215,22;0,04;0,00;0,00;
0,00;0,00;220,02;0,04;0,00;0,00;
0,00;0,00;224,82;0,04;0,00;0,00;
0,00;0,00;234,42;0,09;0,00;0,00;
0,00;0,00;239,22;0,04;0,00;0,00;
0,00;0,00;244,02;0,04;0,00;0,00;
0,00;0,00;248,82;0,04;0,00;0,00;
0,00;0,00;253,62;0,09;0,00;0,00;
0,00;0,00;268,02;0,04;0,00;0,00;
0,00;0,00;272,82;0,04;0,00;0,00;
0,00;0,00;277,62;-0,04;0,00;0,00;
0,00;0,00;282,42;0,04;0,00;0,00;
0,00;0,00;287,22;0,09;0,00;0,00;
0,00;0,00;296,82;0,04;0,00;0,00;
0,00;0,00;301,62;0,09;0,00;0,00;
0,00;0,00;306,30;-0,09;0,00;0,00;
0,00;0,00;310,43;0,04;0,00;0,00;
0,00;0,00;310,59;0,04;0,00;0,00;
0,00;0,00;310,78;0,04;0,00;0,00;
0,00;0,00;310,97;0,04;0,00;0,00;
0,00;0,00;311,16;0,09;0,00;0,00;
0,00;0,00;311,36;0,13;0,00;0,00;
0,00;0,00;311,55;0,13;0,00;0,00;
0,00;0,00;311,74;0,13;0,00;0,00;
0,00;0,00;311,93;0,09;0,00;0,00;
0,00;0,00;312,12;0,13;0,00;0,00;
0,00;0,00;312,32;0,13;0,00;0,00;
0,00;0,00;312,51;0,04;0,00;0,00;
0,00;0,00;312,70;0,09;0,00;0,00;
0,00;0,00;312,89;0,18;0,00;0,00;
0,00;0,00;313,08;0,04;0,00;0,00;
0,00;0,00;313,28;0,09;0,00;0,00;
0,00;0,00;313,47;0,13;0,00;0,00;
0,00;0,00;313,66;0,04;0,00;0,00;
0,00;0,00;313,85;0,09;0,00;0,00;
0,00;0,00;314,04;0,13;0,00;0,00;
0,00;0,00;314,24;0,09;0,00;0,00;
0,00;0,00;314,43;0,13;0,00;0,00;
0,00;0,00;314,62;0,09;0,00;0,00;
0,00;0,00;314,81;0,13;0,00;0,00;
0,00;0,00;315,00;0,13;0,00;0,00;
0,00;0,00;315,20;0,09;0,00;0,00;
0,00;0,00;315,39;0,09;0,00;0,00;
0,00;0,00;315,58;0,04;0,00;0,00;
0,00;0,00;315,77;0,09;0,00;0,00;
0,00;0,00;315,96;0,13;0,00;0,00;
0,00;0,00;316,16;0,13;0,00;0,00;
0,00;0,00;316,35;0,04;0,00;0,00;
0,00;0,00;316,54;0,13;0,00;0,00;
0,00;0,00;316,73;0,09;0,00;0,00;
0,00;0,00;316,92;0,13;0,00;0,00;
0,00;0,00;317,12;0,09;0,00;0,00;
0,00;0,00;317,31;0,18;0,00;0,00;
0,00;0,00;317,50;0,13;0,00;0,00;
0,00;0,00;317,69;0,13;0,00;0,00;
0,00;0,00;317,88;0,13;0,00;0,00;
0,00;0,00;318,08;0,13;0,00;0,00;
0,00;0,00;318,27;0,13;0,00;0,00;
0,00;0,00;318,46;0,18;0,00;0,00;
0,00;0,00;318,65;0,18;0,00;0,00;
0,00;0,00;318,84;0,18;0,00;0,00;
0,00;0,00;319,04;0,35;0,00;0,00;
0,00;0,00;319,23;0,35;0,00;0,00;
0,00;0,00;319,42;0,44;0,00;0,00;
0,00;0,00;319,61;0,52;0,00;0,00;
0,00;0,00;319,80;0,56;0,00;0,00;
0,00;0,00;320,00;0,60;0,00;0,00;
0,00;0,00;320,19;0,69;0,00;0,00;
0,00;0,00;320,38;0,69;0,00;0,00;
0,00;0,00;320,57;0,78;0,00;0,00;
0,00;0,00;320,76;0,83;0,00;0,00;
0,00;0,00;320,96;0,87;0,00;0,00;
0,00;0,00;321,15;0,87;0,00;0,00;
0,00;0,00;321,34;0,87;0,00;0,00;
0,00;0,00;321,53;0,87;0,00;0,00;
0,00;0,00;321,72;0,92;0,00;0,00;
0,00;0,00;321,92;0,96;0,00;0,00;
0,00;0,00;322,11;1,01;0,00;0,00;
0,00;0,00;322,30;1,01;0,00;0,00;
0,00;0,00;322,49;1,01;0,00;0,00;
0,00;0,00;322,68;1,05;0,00;0,00;
0,00;0,00;322,88;1,05;0,00;0,00;
0,00;0,00;323,07;1,05;0,00;0,00;
0,00;0,00;323,26;1,35;0,00;0,00;
0,00;0,00;323,45;1,40;0,00;0,00;
0,00;0,00;323,64;1,40;0,00;0,00;
0,00;0,00;323,83;1,40;0,00;0,00;
0,00;0,00;324,03;1,40;0,00;0,00;
0,00;0,00;324,22;1,40;0,00;0,00;
0,00;0,00;324,41;1,48;0,00;0,00;
0,00;0,00;324,60;1,57;0,00;0,00;
0,00;0,00;324,80;1,52;0,00;0,00;
0,00;0,00;324,99;1,57;0,00;0,00;
0,00;0,00;325,18;1,57;0,00;0,00;
0,00;0,00;325,37;1,65;0,00;0,00;
0,00;0,00;325,56;1,74;0,00;0,00;
0,00;0,00;325,76;1,74;0,00;0,00;
0,00;0,00;325,95;1,74;0,00;0,00;
0,00;0,00;326,14;1,74;0,00;0,00;
0,00;0,00;326,33;1,91;0,00;0,00;
0,00;0,00;326,52;1,91;0,00;0,00;
0,00;0,00;326,72;1,91;0,00;0,00;
0,00;0,00;326,91;1,91;0,00;0,00;
0,00;0,00;327,10;1,96;0,00;0,00;
0,00;0,00;327,29;2,00;0,00;0,00;
0,00;0,00;327,48;2,05;0,00;0,00;
0,00;0,00;327,68;2,00;0,00;0,00;
0,00;0,00;327,87;2,09;0,00;0,00;
0,00;0,00;328,06;2,09;0,00;0,00;
0,00;0,00;328,25;2,09;0,00;0,00;
0,00;0,00;328,25;1,82;0,00;0,00;
0,00;0,00;327,38;-0,09;0,00;0,00;
0,00;0,00;320,01;-0,09;0,00;0,00;
0,00;0,00;315,23;-0,09;0,00;0,00;
0,00;0,00;305,63;-0,04;0,00;0,00;
0,00;0,00;291,23;-0,04;0,00;0,00;
0,00;0,00;276,83;-0,04;0,00;0,00;
0,00;0,00;272,03;0,09;0,00;0,00;
0,00;0,00;267,23;-0,04;0,00;0,00;
0,00;0,00;252,83;0,04;0,00;0,00;
0,00;0,00;248,03;-0,04;0,00;0,00;
0,00;0,00;238,43;0,04;0,00;0,00;
0,00;0,00;219,23;0,04;0,00;0,00;
0,00;0,00;214,43;-0,04;0,00;0,00;
0,00;0,00;204,83;0,04;0,00;0,00;
0,00;0,00;200,03;0,04;0,00;0,00;
0,00;0,00;195,23;0,04;0,00;0,00;
0,00;0,00;190,43;-0,04;0,00;0,00;
0,00;0,00;185,63;-0,04;0,00;0,00;
