10747;03.02.21 18:16:01;21;Avvicinamento Pressata Finale;position > max position (10);20210203142452A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;296,78;13,44;0,00;0,00;
0,00;0,00;297,10;13,83;0,00;0,00;
0,00;0,00;297,42;14,27;0,00;0,00;
0,00;0,00;297,74;14,27;0,00;0,00;
0,00;0,00;298,05;14,61;0,00;0,00;
0,00;0,00;298,38;14,96;0,00;0,00;
0,00;0,00;298,70;14,74;0,00;0,00;
0,00;0,00;299,02;15,26;0,00;0,00;
0,00;0,00;299,33;15,40;0,00;0,00;
0,00;0,00;299,66;15,22;0,00;0,00;
0,00;0,00;299,98;15,79;0,00;0,00;
0,00;0,00;300,30;15,70;0,00;0,00;
0,00;0,00;300,61;15,74;0,00;0,00;
0,00;0,00;300,94;16,18;0,00;0,00;
0,00;0,00;301,25;16,05;0,00;0,00;
0,00;0,00;301,58;16,22;0,00;0,00;
0,00;0,00;301,90;16,92;0,00;0,00;
0,00;0,00;302,21;16,53;0,00;0,00;
0,00;0,00;302,53;16,83;0,00;0,00;
0,00;0,00;302,86;17,40;0,00;0,00;
0,00;0,00;303,17;17,01;0,00;0,00;
0,00;0,00;303,50;17,49;0,00;0,00;
0,00;0,00;303,82;17,82;0,00;0,00;
0,00;0,00;304,14;17,66;0,00;0,00;
0,00;0,00;304,46;18,22;0,00;0,00;
0,00;0,00;304,77;18,39;0,00;0,00;
0,00;0,00;305,09;18,70;0,00;0,00;
0,00;0,00;305,42;19,40;0,00;0,00;
0,00;0,00;305,74;19,18;0,00;0,00;
0,00;0,00;306,05;19,57;0,00;0,00;
0,00;0,00;306,37;20,09;0,00;0,00;
0,00;0,00;306,70;19,88;0,00;0,00;
0,00;0,00;307,02;20,57;0,00;0,00;
0,00;0,00;307,31;28,49;0,00;0,00;
0,00;0,00;307,47;40,19;0,00;0,00;
0,00;0,00;307,50;41,15;0,00;0,00;
0,00;0,00;307,53;43,23;0,00;0,00;
0,00;0,00;307,54;43,53;0,00;0,00;
0,00;0,00;307,54;43,80;0,00;0,00;
0,00;0,00;307,55;43,97;0,00;0,00;
0,00;0,00;307,55;44,01;0,00;0,00;
0,00;0,00;307,55;44,19;0,00;0,00;
