917;12.12.19 17:41:04;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20191212172850;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;0,02;0,00;0,00;
0,00;0,00;40,17;0,20;0,00;0,00;
0,00;0,00;40,94;0,16;0,00;0,00;
0,00;0,00;42,21;0,09;0,00;0,00;
0,00;0,00;44,00;0,16;0,00;0,00;
0,00;0,00;46,30;0,34;0,00;0,00;
0,00;0,00;49,10;0,20;0,00;0,00;
0,00;0,00;52,25;0,06;0,00;0,00;
0,00;0,00;55,40;0,11;0,00;0,00;
0,00;0,00;58,64;0,16;0,00;0,00;
0,00;0,00;61,84;0,11;0,00;0,00;
0,00;0,00;65,05;0,20;0,00;0,00;
0,00;0,00;68,25;0,18;0,00;0,00;
0,00;0,00;71,46;0,11;0,00;0,00;
0,00;0,00;74,65;0,23;0,00;0,00;
0,00;0,00;77,85;0,11;0,00;0,00;
0,00;0,00;81,05;0,20;0,00;0,00;
0,00;0,00;84,25;0,16;0,00;0,00;
0,00;0,00;87,45;0,13;0,00;0,00;
0,00;0,00;90,65;0,20;0,00;0,00;
0,00;0,00;93,85;0,06;0,00;0,00;
0,00;0,00;97,05;0,16;0,00;0,00;
0,00;0,00;100,25;0,16;0,00;0,00;
0,00;0,00;103,45;0,11;0,00;0,00;
0,00;0,00;106,65;0,16;0,00;0,00;
0,00;0,00;109,85;0,09;0,00;0,00;
0,00;0,00;113,05;0,20;0,00;0,00;
0,00;0,00;116,25;0,16;0,00;0,00;
0,00;0,00;119,45;0,09;0,00;0,00;
0,00;0,00;122,65;0,18;0,00;0,00;
0,00;0,00;125,85;0,06;0,00;0,00;
0,00;0,00;129,05;0,20;0,00;0,00;
0,00;0,00;132,25;0,13;0,00;0,00;
0,00;0,00;135,45;0,11;0,00;0,00;
0,00;0,00;138,65;0,16;0,00;0,00;
0,00;0,00;141,85;0,09;0,00;0,00;
0,00;0,00;145,05;0,18;0,00;0,00;
0,00;0,00;148,25;0,13;0,00;0,00;
0,00;0,00;151,45;0,11;0,00;0,00;
0,00;0,00;154,65;0,18;0,00;0,00;
0,00;0,00;157,85;0,09;0,00;0,00;
0,00;0,00;161,05;0,29;0,00;0,00;
0,00;0,00;163,87;0,09;0,00;0,00;
0,00;0,00;166,24;0,07;0,00;0,00;
0,00;0,00;168,15;0,05;0,00;0,00;
0,00;0,00;169,54;0,02;0,00;0,00;
0,00;0,00;170,43;0,07;0,00;0,00;
0,00;0,00;170,83;0,02;0,00;0,00;
0,00;0,00;170,91;0,05;0,00;0,00;
0,00;0,00;170,94;0,05;0,00;0,00;
0,00;0,00;170,99;0,13;0,00;0,00;
0,00;0,00;171,12;0,07;0,00;0,00;
0,00;0,00;171,27;0,02;0,00;0,00;
0,00;0,00;171,43;0,07;0,00;0,00;
0,00;0,00;171,59;0,18;0,00;0,00;
0,00;0,00;171,75;0,25;0,00;0,00;
0,00;0,00;171,91;0,81;0,00;0,00;
0,00;0,00;172,04;5,08;0,00;0,00;
0,00;0,00;172,16;8,67;0,00;0,00;
0,00;0,00;172,31;9,28;0,00;0,00;
0,00;0,00;172,49;9,33;0,00;0,00;
0,00;0,00;172,67;9,33;0,00;0,00;
0,00;0,00;172,84;9,33;0,00;0,00;
0,00;0,00;173,01;9,42;0,00;0,00;
0,00;0,00;173,17;9,51;0,00;0,00;
0,00;0,00;173,34;9,51;0,00;0,00;
0,00;0,00;173,50;9,60;0,00;0,00;
0,00;0,00;173,66;9,62;0,00;0,00;
0,00;0,00;173,83;9,62;0,00;0,00;
0,00;0,00;173,96;12,99;0,00;0,00;
0,00;0,00;173,96;12,97;0,00;0,00;
0,00;0,00;173,96;13,06;0,00;0,00;
0,00;0,00;173,96;13,08;0,00;0,00;
0,00;0,00;173,96;13,22;0,00;0,00;
0,00;0,00;173,97;13,31;0,00;0,00;
0,00;0,00;173,97;13,33;0,00;0,00;
0,00;0,00;173,97;13,40;0,00;0,00;
0,00;0,00;173,97;13,49;0,00;0,00;
0,00;0,00;173,97;13,49;0,00;0,00;
0,00;0,00;173,97;13,49;0,00;0,00;
0,00;0,00;173,98;13,56;0,00;0,00;
0,00;0,00;173,98;13,56;0,00;0,00;
0,00;0,00;173,98;13,62;0,00;0,00;
