10297;01.02.21 10:19:34;21;Avvicinamento Pressata Finale;position > max position (10);20210129082400A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;240,36;3,47;0,00;0,00;
0,00;0,00;240,45;3,60;0,00;0,00;
0,00;0,00;240,55;3,60;0,00;0,00;
0,00;0,00;240,64;3,60;0,00;0,00;
0,00;0,00;240,74;3,56;0,00;0,00;
0,00;0,00;240,83;3,69;0,00;0,00;
0,00;0,00;240,93;3,82;0,00;0,00;
0,00;0,00;241,03;3,78;0,00;0,00;
0,00;0,00;241,12;3,78;0,00;0,00;
0,00;0,00;241,22;3,95;0,00;0,00;
0,00;0,00;241,31;4,04;0,00;0,00;
0,00;0,00;241,41;4,04;0,00;0,00;
0,00;0,00;241,51;3,99;0,00;0,00;
0,00;0,00;241,60;3,95;0,00;0,00;
0,00;0,00;241,70;4,21;0,00;0,00;
0,00;0,00;241,80;4,16;0,00;0,00;
0,00;0,00;241,89;4,13;0,00;0,00;
0,00;0,00;241,99;4,08;0,00;0,00;
0,00;0,00;242,08;4,34;0,00;0,00;
0,00;0,00;242,18;4,47;0,00;0,00;
0,00;0,00;242,28;4,30;0,00;0,00;
0,00;0,00;242,37;4,25;0,00;0,00;
0,00;0,00;242,47;4,38;0,00;0,00;
0,00;0,00;242,56;4,65;0,00;0,00;
0,00;0,00;242,66;4,73;0,00;0,00;
0,00;0,00;242,76;4,56;0,00;0,00;
0,00;0,00;242,85;4,34;0,00;0,00;
0,00;0,00;242,95;4,64;0,00;0,00;
0,00;0,00;243,04;4,95;0,00;0,00;
0,00;0,00;243,14;4,87;0,00;0,00;
0,00;0,00;243,24;4,64;0,00;0,00;
0,00;0,00;243,33;4,69;0,00;0,00;
0,00;0,00;243,43;4,95;0,00;0,00;
0,00;0,00;243,52;5,17;0,00;0,00;
0,00;0,00;243,62;5,03;0,00;0,00;
0,00;0,00;243,72;4,87;0,00;0,00;
0,00;0,00;243,81;4,82;0,00;0,00;
0,00;0,00;243,91;5,17;0,00;0,00;
0,00;0,00;244,00;5,35;0,00;0,00;
0,00;0,00;244,10;5,12;0,00;0,00;
0,00;0,00;244,20;4,91;0,00;0,00;
0,00;0,00;244,29;4,95;0,00;0,00;
0,00;0,00;244,39;5,38;0,00;0,00;
0,00;0,00;244,48;5,51;0,00;0,00;
0,00;0,00;244,58;5,30;0,00;0,00;
0,00;0,00;244,67;5,03;0,00;0,00;
0,00;0,00;244,77;5,12;0,00;0,00;
0,00;0,00;244,87;5,47;0,00;0,00;
0,00;0,00;244,97;5,56;0,00;0,00;
0,00;0,00;245,06;5,26;0,00;0,00;
0,00;0,00;245,16;5,08;0,00;0,00;
0,00;0,00;245,25;5,30;0,00;0,00;
0,00;0,00;245,35;5,77;0,00;0,00;
0,00;0,00;245,44;5,65;0,00;0,00;
0,00;0,00;245,54;5,39;0,00;0,00;
0,00;0,00;245,63;5,26;0,00;0,00;
0,00;0,00;245,73;5,73;0,00;0,00;
0,00;0,00;245,83;5,91;0,00;0,00;
0,00;0,00;245,92;5,82;0,00;0,00;
0,00;0,00;246,02;5,64;0,00;0,00;
0,00;0,00;246,12;5,56;0,00;0,00;
0,00;0,00;246,21;5,77;0,00;0,00;
0,00;0,00;246,31;5,91;0,00;0,00;
0,00;0,00;246,40;5,86;0,00;0,00;
0,00;0,00;246,50;5,86;0,00;0,00;
0,00;0,00;246,60;5,86;0,00;0,00;
0,00;0,00;246,69;5,86;0,00;0,00;
0,00;0,00;246,79;5,82;0,00;0,00;
0,00;0,00;246,88;5,95;0,00;0,00;
0,00;0,00;246,98;6,08;0,00;0,00;
0,00;0,00;247,08;6,08;0,00;0,00;
0,00;0,00;247,17;5,95;0,00;0,00;
0,00;0,00;247,27;5,91;0,00;0,00;
0,00;0,00;247,36;6,04;0,00;0,00;
0,00;0,00;247,46;6,17;0,00;0,00;
0,00;0,00;247,56;6,13;0,00;0,00;
0,00;0,00;247,65;6,04;0,00;0,00;
0,00;0,00;247,75;5,91;0,00;0,00;
0,00;0,00;247,84;6,04;0,00;0,00;
0,00;0,00;247,94;6,34;0,00;0,00;
0,00;0,00;248,04;6,34;0,00;0,00;
0,00;0,00;248,13;6,08;0,00;0,00;
0,00;0,00;248,23;5,99;0,00;0,00;
0,00;0,00;248,32;6,12;0,00;0,00;
0,00;0,00;248,42;6,39;0,00;0,00;
0,00;0,00;248,52;6,39;0,00;0,00;
0,00;0,00;248,61;6,13;0,00;0,00;
0,00;0,00;248,71;6,04;0,00;0,00;
0,00;0,00;248,80;6,34;0,00;0,00;
0,00;0,00;248,90;6,56;0,00;0,00;
0,00;0,00;249,00;6,56;0,00;0,00;
0,00;0,00;249,09;6,21;0,00;0,00;
0,00;0,00;249,19;6,13;0,00;0,00;
0,00;0,00;249,28;6,60;0,00;0,00;
0,00;0,00;249,38;6,87;0,00;0,00;
0,00;0,00;249,48;6,69;0,00;0,00;
0,00;0,00;249,57;6,34;0,00;0,00;
0,00;0,00;249,67;6,34;0,00;0,00;
0,00;0,00;249,76;6,90;0,00;0,00;
0,00;0,00;249,86;7,17;0,00;0,00;
0,00;0,00;249,96;6,87;0,00;0,00;
0,00;0,00;250,05;6,52;0,00;0,00;
0,00;0,00;250,15;6,56;0,00;0,00;
0,00;0,00;250,24;7,04;0,00;0,00;
0,00;0,00;250,34;7,12;0,00;0,00;
0,00;0,00;250,44;6,87;0,00;0,00;
0,00;0,00;250,53;6,48;0,00;0,00;
