7941;18.02.20 15:28:57;21;Avvicinamento Pressata Fuori Ingombro;wrong softlimit spindle data (74);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,25;0,08;0,00;0,00;
0,00;0,00;1,04;0,06;0,00;0,00;
0,00;0,00;2,33;0,05;0,00;0,00;
0,00;0,00;4,15;0,05;0,00;0,00;
0,00;0,00;6,47;0,06;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,07;0,00;0,00;
0,00;0,00;16,12;0,04;0,00;0,00;
0,00;0,00;19,65;0,03;0,00;0,00;
0,00;0,00;23,17;0,03;0,00;0,00;
0,00;0,00;26,69;0,05;0,00;0,00;
0,00;0,00;30,21;0,04;0,00;0,00;
0,00;0,00;33,73;0,05;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,05;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,05;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,85;0,03;0,00;0,00;
0,00;0,00;58,37;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,04;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,03;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,05;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,04;0,00;0,00;
0,00;0,00;93,57;0,04;0,00;0,00;
0,00;0,00;97,09;0,04;0,00;0,00;
0,00;0,00;100,61;0,04;0,00;0,00;
0,00;0,00;104,13;0,06;0,00;0,00;
0,00;0,00;107,65;0,02;0,00;0,00;
0,00;0,00;111,17;0,03;0,00;0,00;
0,00;0,00;114,46;0,03;0,00;0,00;
0,00;0,00;117,29;0,02;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;121,46;0,01;0,00;0,00;
0,00;0,00;122,79;0,01;0,00;0,00;
0,00;0,00;123,64;0,01;0,00;0,00;
0,00;0,00;124,02;0,01;0,00;0,00;
0,00;0,00;124,01;0,01;0,00;0,00;
0,00;0,00;124,11;0,01;0,00;0,00;
0,00;0,00;124,24;0,03;0,00;0,00;
0,00;0,00;124,37;0,01;0,00;0,00;
0,00;0,00;124,50;0,02;0,00;0,00;
0,00;0,00;124,62;0,03;0,00;0,00;
0,00;0,00;124,75;0,03;0,00;0,00;
0,00;0,00;124,88;0,02;0,00;0,00;
0,00;0,00;125,01;0,03;0,00;0,00;
0,00;0,00;125,14;0,02;0,00;0,00;
0,00;0,00;125,27;0,03;0,00;0,00;
0,00;0,00;125,39;0,03;0,00;0,00;
0,00;0,00;125,52;0,02;0,00;0,00;
0,00;0,00;125,65;0,03;0,00;0,00;
0,00;0,00;125,78;0,03;0,00;0,00;
0,00;0,00;125,91;0,03;0,00;0,00;
0,00;0,00;126,04;0,03;0,00;0,00;
0,00;0,00;126,16;0,03;0,00;0,00;
0,00;0,00;126,29;0,02;0,00;0,00;
0,00;0,00;126,42;0,03;0,00;0,00;
0,00;0,00;126,55;0,03;0,00;0,00;
0,00;0,00;126,67;0,03;0,00;0,00;
0,00;0,00;126,80;0,03;0,00;0,00;
0,00;0,00;126,93;0,12;0,00;0,00;
0,00;0,00;127,05;0,51;0,00;0,00;
0,00;0,00;127,18;0,63;0,00;0,00;
0,00;0,00;127,31;0,69;0,00;0,00;
0,00;0,00;127,44;0,73;0,00;0,00;
0,00;0,00;127,57;0,76;0,00;0,00;
0,00;0,00;127,70;0,79;0,00;0,00;
0,00;0,00;127,82;0,83;0,00;0,00;
0,00;0,00;127,95;0,85;0,00;0,00;
0,00;0,00;128,08;0,90;0,00;0,00;
0,00;0,00;128,21;0,93;0,00;0,00;
0,00;0,00;128,34;0,96;0,00;0,00;
0,00;0,00;128,47;1,02;0,00;0,00;
0,00;0,00;128,59;1,04;0,00;0,00;
0,00;0,00;128,72;1,07;0,00;0,00;
0,00;0,00;128,85;1,08;0,00;0,00;
0,00;0,00;128,98;1,10;0,00;0,00;
0,00;0,00;129,11;1,12;0,00;0,00;
0,00;0,00;129,23;1,17;0,00;0,00;
0,00;0,00;129,36;1,20;0,00;0,00;
0,00;0,00;129,49;1,25;0,00;0,00;
0,00;0,00;129,62;1,38;0,00;0,00;
0,00;0,00;129,74;1,40;0,00;0,00;
0,00;0,00;129,87;1,42;0,00;0,00;
0,00;0,00;130,00;1,40;0,00;0,00;
0,00;0,00;130,13;1,42;0,00;0,00;
0,00;0,00;130,26;1,46;0,00;0,00;
0,00;0,00;130,39;1,49;0,00;0,00;
0,00;0,00;130,52;1,52;0,00;0,00;
0,00;0,00;130,64;1,54;0,00;0,00;
0,00;0,00;130,77;1,56;0,00;0,00;
0,00;0,00;130,90;1,59;0,00;0,00;
0,00;0,00;131,03;1,63;0,00;0,00;
0,00;0,00;131,15;1,66;0,00;0,00;
0,00;0,00;131,28;1,69;0,00;0,00;
0,00;0,00;131,41;1,72;0,00;0,00;
0,00;0,00;131,54;1,76;0,00;0,00;
0,00;0,00;131,67;1,78;0,00;0,00;
0,00;0,00;131,79;1,82;0,00;0,00;
0,00;0,00;131,92;1,85;0,00;0,00;
0,00;0,00;132,05;1,88;0,00;0,00;
0,00;0,00;132,18;1,92;0,00;0,00;
0,00;0,00;132,31;1,96;0,00;0,00;
0,00;0,00;132,43;1,98;0,00;0,00;
0,00;0,00;132,56;2,02;0,00;0,00;
0,00;0,00;132,69;2,04;0,00;0,00;
0,00;0,00;132,82;2,07;0,00;0,00;
0,00;0,00;132,95;2,12;0,00;0,00;
0,00;0,00;133,07;2,15;0,00;0,00;
0,00;0,00;133,20;2,18;0,00;0,00;
0,00;0,00;133,33;2,21;0,00;0,00;
0,00;0,00;133,46;2,24;0,00;0,00;
0,00;0,00;133,59;2,29;0,00;0,00;
0,00;0,00;133,71;2,34;0,00;0,00;
0,00;0,00;133,84;2,39;0,00;0,00;
0,00;0,00;133,97;2,42;0,00;0,00;
0,00;0,00;134,10;2,48;0,00;0,00;
0,00;0,00;134,23;2,52;0,00;0,00;
0,00;0,00;134,35;2,59;0,00;0,00;
0,00;0,00;134,48;2,66;0,00;0,00;
0,00;0,00;134,61;2,71;0,00;0,00;
0,00;0,00;134,74;2,75;0,00;0,00;
0,00;0,00;134,87;2,82;0,00;0,00;
0,00;0,00;134,99;2,89;0,00;0,00;
0,00;0,00;135,12;2,93;0,00;0,00;
0,00;0,00;135,25;2,99;0,00;0,00;
0,00;0,00;135,38;3,03;0,00;0,00;
0,00;0,00;135,50;3,08;0,00;0,00;
0,00;0,00;135,63;3,12;0,00;0,00;
0,00;0,00;135,76;3,14;0,00;0,00;
0,00;0,00;135,89;3,15;0,00;0,00;
0,00;0,00;136,02;3,07;0,00;0,00;
0,00;0,00;136,15;3,02;0,00;0,00;
0,00;0,00;136,28;2,93;0,00;0,00;
0,00;0,00;136,41;2,80;0,00;0,00;
0,00;0,00;136,53;2,69;0,00;0,00;
0,00;0,00;136,66;2,50;0,00;0,00;
0,00;0,00;136,79;2,28;0,00;0,00;
0,00;0,00;136,92;2,09;0,00;0,00;
0,00;0,00;137,05;1,93;0,00;0,00;
0,00;0,00;137,18;1,80;0,00;0,00;
0,00;0,00;137,30;1,72;0,00;0,00;
0,00;0,00;137,43;1,61;0,00;0,00;
0,00;0,00;137,56;1,56;0,00;0,00;
0,00;0,00;137,69;1,55;0,00;0,00;
0,00;0,00;137,81;1,50;0,00;0,00;
0,00;0,00;137,94;1,49;0,00;0,00;
0,00;0,00;138,07;1,47;0,00;0,00;
0,00;0,00;138,19;1,45;0,00;0,00;
0,00;0,00;138,32;1,43;0,00;0,00;
0,00;0,00;138,45;1,42;0,00;0,00;
0,00;0,00;138,58;1,40;0,00;0,00;
0,00;0,00;138,71;1,39;0,00;0,00;
0,00;0,00;138,84;1,36;0,00;0,00;
0,00;0,00;138,96;1,35;0,00;0,00;
0,00;0,00;139,09;1,34;0,00;0,00;
0,00;0,00;139,22;1,33;0,00;0,00;
0,00;0,00;139,35;1,31;0,00;0,00;
0,00;0,00;139,47;1,30;0,00;0,00;
0,00;0,00;139,60;1,29;0,00;0,00;
0,00;0,00;139,73;1,29;0,00;0,00;
0,00;0,00;139,86;1,27;0,00;0,00;
0,00;0,00;139,99;1,26;0,00;0,00;
0,00;0,00;140,11;1,25;0,00;0,00;
0,00;0,00;140,24;1,23;0,00;0,00;
0,00;0,00;140,37;1,21;0,00;0,00;
0,00;0,00;140,50;1,20;0,00;0,00;
0,00;0,00;140,63;1,18;0,00;0,00;
0,00;0,00;140,76;1,17;0,00;0,00;
0,00;0,00;140,88;1,17;0,00;0,00;
0,00;0,00;141,01;1,15;0,00;0,00;
0,00;0,00;141,14;1,14;0,00;0,00;
0,00;0,00;141,27;1,13;0,00;0,00;
0,00;0,00;141,40;1,11;0,00;0,00;
0,00;0,00;141,52;1,10;0,00;0,00;
0,00;0,00;141,65;1,08;0,00;0,00;
0,00;0,00;141,78;1,08;0,00;0,00;
0,00;0,00;141,91;1,08;0,00;0,00;
0,00;0,00;142,03;1,08;0,00;0,00;
0,00;0,00;142,16;1,05;0,00;0,00;
0,00;0,00;142,29;1,05;0,00;0,00;
0,00;0,00;142,42;1,05;0,00;0,00;
0,00;0,00;142,55;1,03;0,00;0,00;
0,00;0,00;142,68;1,03;0,00;0,00;
0,00;0,00;142,80;1,02;0,00;0,00;
0,00;0,00;142,93;1,02;0,00;0,00;
0,00;0,00;143,06;1,02;0,00;0,00;
0,00;0,00;143,19;1,00;0,00;0,00;
0,00;0,00;143,31;1,00;0,00;0,00;
0,00;0,00;143,44;1,00;0,00;0,00;
0,00;0,00;143,57;0,99;0,00;0,00;
0,00;0,00;143,70;0,99;0,00;0,00;
0,00;0,00;143,83;0,99;0,00;0,00;
0,00;0,00;143,95;0,97;0,00;0,00;
0,00;0,00;144,08;0,96;0,00;0,00;
0,00;0,00;144,21;0,97;0,00;0,00;
0,00;0,00;144,34;0,96;0,00;0,00;
0,00;0,00;144,47;0,96;0,00;0,00;
0,00;0,00;144,59;0,96;0,00;0,00;
0,00;0,00;144,72;0,96;0,00;0,00;
0,00;0,00;144,85;0,96;0,00;0,00;
0,00;0,00;144,98;0,96;0,00;0,00;
0,00;0,00;145,11;0,97;0,00;0,00;
0,00;0,00;145,23;0,96;0,00;0,00;
0,00;0,00;145,36;0,96;0,00;0,00;
0,00;0,00;145,49;0,96;0,00;0,00;
0,00;0,00;145,62;0,96;0,00;0,00;
0,00;0,00;145,75;0,96;0,00;0,00;
0,00;0,00;145,87;0,96;0,00;0,00;
0,00;0,00;146,00;0,96;0,00;0,00;
0,00;0,00;146,13;0,96;0,00;0,00;
0,00;0,00;146,26;0,96;0,00;0,00;
0,00;0,00;146,39;0,96;0,00;0,00;
0,00;0,00;146,51;0,96;0,00;0,00;
0,00;0,00;146,64;0,96;0,00;0,00;
0,00;0,00;146,77;0,95;0,00;0,00;
0,00;0,00;146,90;0,96;0,00;0,00;
0,00;0,00;147,03;0,96;0,00;0,00;
0,00;0,00;147,15;0,96;0,00;0,00;
0,00;0,00;147,28;0,96;0,00;0,00;
0,00;0,00;147,41;0,96;0,00;0,00;
0,00;0,00;147,54;0,96;0,00;0,00;
0,00;0,00;147,67;0,96;0,00;0,00;
0,00;0,00;147,79;0,96;0,00;0,00;
0,00;0,00;147,92;0,96;0,00;0,00;
0,00;0,00;148,05;0,96;0,00;0,00;
0,00;0,00;148,18;0,96;0,00;0,00;
0,00;0,00;148,31;0,96;0,00;0,00;
0,00;0,00;148,43;0,96;0,00;0,00;
0,00;0,00;148,56;0,96;0,00;0,00;
0,00;0,00;148,69;0,96;0,00;0,00;
0,00;0,00;148,82;0,96;0,00;0,00;
0,00;0,00;148,95;0,96;0,00;0,00;
0,00;0,00;149,07;0,97;0,00;0,00;
0,00;0,00;149,20;0,98;0,00;0,00;
0,00;0,00;149,33;0,97;0,00;0,00;
0,00;0,00;149,46;0,96;0,00;0,00;
0,00;0,00;149,59;0,97;0,00;0,00;
0,00;0,00;149,71;0,98;0,00;0,00;
0,00;0,00;149,84;0,98;0,00;0,00;
0,00;0,00;149,97;0,98;0,00;0,00;
0,00;0,00;150,10;0,97;0,00;0,00;
0,00;0,00;150,23;0,96;0,00;0,00;
0,00;0,00;150,35;0,97;0,00;0,00;
0,00;0,00;150,48;0,97;0,00;0,00;
0,00;0,00;150,61;0,97;0,00;0,00;
0,00;0,00;150,74;0,96;0,00;0,00;
0,00;0,00;150,87;0,96;0,00;0,00;
0,00;0,00;150,99;0,98;0,00;0,00;
0,00;0,00;151,12;0,96;0,00;0,00;
0,00;0,00;151,25;0,96;0,00;0,00;
0,00;0,00;151,38;0,96;0,00;0,00;
0,00;0,00;151,51;0,96;0,00;0,00;
0,00;0,00;151,64;0,96;0,00;0,00;
0,00;0,00;151,76;0,96;0,00;0,00;
0,00;0,00;151,89;0,96;0,00;0,00;
0,00;0,00;152,02;0,97;0,00;0,00;
0,00;0,00;152,15;0,96;0,00;0,00;
0,00;0,00;152,27;0,96;0,00;0,00;
0,00;0,00;152,40;0,96;0,00;0,00;
0,00;0,00;152,53;0,96;0,00;0,00;
0,00;0,00;152,66;0,96;0,00;0,00;
0,00;0,00;152,79;0,96;0,00;0,00;
0,00;0,00;152,92;0,96;0,00;0,00;
0,00;0,00;153,04;0,96;0,00;0,00;
0,00;0,00;153,17;0,96;0,00;0,00;
0,00;0,00;153,30;0,96;0,00;0,00;
0,00;0,00;153,43;0,96;0,00;0,00;
0,00;0,00;153,56;0,96;0,00;0,00;
0,00;0,00;153,68;0,96;0,00;0,00;
0,00;0,00;153,81;0,96;0,00;0,00;
0,00;0,00;153,94;0,96;0,00;0,00;
0,00;0,00;154,07;0,96;0,00;0,00;
0,00;0,00;154,19;0,96;0,00;0,00;
0,00;0,00;154,32;0,96;0,00;0,00;
0,00;0,00;154,45;0,96;0,00;0,00;
0,00;0,00;154,58;0,96;0,00;0,00;
0,00;0,00;154,71;0,97;0,00;0,00;
0,00;0,00;154,84;0,96;0,00;0,00;
0,00;0,00;154,96;0,96;0,00;0,00;
0,00;0,00;155,09;0,98;0,00;0,00;
0,00;0,00;155,22;0,97;0,00;0,00;
0,00;0,00;155,35;0,97;0,00;0,00;
0,00;0,00;155,47;0,99;0,00;0,00;
0,00;0,00;155,60;0,99;0,00;0,00;
0,00;0,00;155,73;0,99;0,00;0,00;
0,00;0,00;155,86;0,99;0,00;0,00;
0,00;0,00;155,99;0,99;0,00;0,00;
0,00;0,00;156,11;0,99;0,00;0,00;
0,00;0,00;156,24;0,99;0,00;0,00;
0,00;0,00;156,37;0,99;0,00;0,00;
0,00;0,00;156,50;0,99;0,00;0,00;
0,00;0,00;156,63;0,99;0,00;0,00;
0,00;0,00;156,76;0,99;0,00;0,00;
