7939;18.02.20 15:21:37;21;Avvicinamento Pressata Fuori Ingombro;wrong softlimit spindle data (74);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;139,99;1,52;0,00;0,00;
0,00;0,00;140,11;1,50;0,00;0,00;
0,00;0,00;140,24;1,50;0,00;0,00;
0,00;0,00;140,37;1,49;0,00;0,00;
0,00;0,00;140,50;1,49;0,00;0,00;
0,00;0,00;140,63;1,49;0,00;0,00;
0,00;0,00;140,76;1,48;0,00;0,00;
0,00;0,00;140,88;1,46;0,00;0,00;
0,00;0,00;141,01;1,46;0,00;0,00;
0,00;0,00;141,14;1,46;0,00;0,00;
0,00;0,00;141,27;1,46;0,00;0,00;
0,00;0,00;141,40;1,45;0,00;0,00;
0,00;0,00;141,52;1,44;0,00;0,00;
0,00;0,00;141,65;1,43;0,00;0,00;
0,00;0,00;141,78;1,43;0,00;0,00;
0,00;0,00;141,91;1,43;0,00;0,00;
0,00;0,00;142,03;1,40;0,00;0,00;
0,00;0,00;142,16;1,40;0,00;0,00;
0,00;0,00;142,29;1,40;0,00;0,00;
0,00;0,00;142,42;1,38;0,00;0,00;
0,00;0,00;142,55;1,37;0,00;0,00;
0,00;0,00;142,68;1,36;0,00;0,00;
0,00;0,00;142,80;1,35;0,00;0,00;
0,00;0,00;142,93;1,34;0,00;0,00;
0,00;0,00;143,06;1,34;0,00;0,00;
0,00;0,00;143,19;1,34;0,00;0,00;
0,00;0,00;143,31;1,33;0,00;0,00;
0,00;0,00;143,44;1,31;0,00;0,00;
0,00;0,00;143,57;1,31;0,00;0,00;
0,00;0,00;143,70;1,31;0,00;0,00;
0,00;0,00;143,83;1,31;0,00;0,00;
0,00;0,00;143,95;1,31;0,00;0,00;
0,00;0,00;144,08;1,29;0,00;0,00;
0,00;0,00;144,21;1,29;0,00;0,00;
0,00;0,00;144,34;1,27;0,00;0,00;
0,00;0,00;144,47;1,27;0,00;0,00;
0,00;0,00;144,59;1,26;0,00;0,00;
0,00;0,00;144,72;1,26;0,00;0,00;
0,00;0,00;144,85;1,26;0,00;0,00;
0,00;0,00;144,98;1,26;0,00;0,00;
0,00;0,00;145,11;1,23;0,00;0,00;
0,00;0,00;145,23;1,23;0,00;0,00;
0,00;0,00;145,36;1,23;0,00;0,00;
0,00;0,00;145,49;1,21;0,00;0,00;
0,00;0,00;145,62;1,20;0,00;0,00;
0,00;0,00;145,75;1,22;0,00;0,00;
0,00;0,00;145,87;1,20;0,00;0,00;
0,00;0,00;146,00;1,20;0,00;0,00;
0,00;0,00;146,13;1,20;0,00;0,00;
0,00;0,00;146,26;1,20;0,00;0,00;
0,00;0,00;146,39;1,17;0,00;0,00;
0,00;0,00;146,51;1,17;0,00;0,00;
0,00;0,00;146,64;1,17;0,00;0,00;
0,00;0,00;146,77;1,17;0,00;0,00;
0,00;0,00;146,90;1,16;0,00;0,00;
0,00;0,00;147,03;1,15;0,00;0,00;
0,00;0,00;147,15;1,14;0,00;0,00;
0,00;0,00;147,28;1,14;0,00;0,00;
0,00;0,00;147,41;1,14;0,00;0,00;
0,00;0,00;147,54;1,12;0,00;0,00;
0,00;0,00;147,67;1,12;0,00;0,00;
0,00;0,00;147,79;1,11;0,00;0,00;
0,00;0,00;147,92;1,10;0,00;0,00;
0,00;0,00;148,05;1,11;0,00;0,00;
0,00;0,00;148,18;1,10;0,00;0,00;
0,00;0,00;148,31;1,08;0,00;0,00;
0,00;0,00;148,43;1,08;0,00;0,00;
0,00;0,00;148,56;1,08;0,00;0,00;
0,00;0,00;148,69;1,08;0,00;0,00;
0,00;0,00;148,82;1,07;0,00;0,00;
0,00;0,00;148,95;1,07;0,00;0,00;
0,00;0,00;149,07;1,06;0,00;0,00;
0,00;0,00;149,20;1,06;0,00;0,00;
0,00;0,00;149,33;1,05;0,00;0,00;
0,00;0,00;149,46;1,05;0,00;0,00;
0,00;0,00;149,59;1,04;0,00;0,00;
0,00;0,00;149,71;1,05;0,00;0,00;
0,00;0,00;149,84;1,04;0,00;0,00;
0,00;0,00;149,97;1,05;0,00;0,00;
0,00;0,00;150,10;1,02;0,00;0,00;
0,00;0,00;150,23;1,02;0,00;0,00;
0,00;0,00;150,35;1,02;0,00;0,00;
0,00;0,00;150,48;1,02;0,00;0,00;
0,00;0,00;150,61;1,02;0,00;0,00;
0,00;0,00;150,74;1,01;0,00;0,00;
0,00;0,00;150,87;1,02;0,00;0,00;
0,00;0,00;150,99;1,01;0,00;0,00;
0,00;0,00;151,12;0,99;0,00;0,00;
0,00;0,00;151,25;0,99;0,00;0,00;
