7914;18.02.20 12:18:57;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;35,75;0,07;0,00;0,00;
0,00;0,00;36,54;0,04;0,00;0,00;
0,00;0,00;37,84;0,04;0,00;0,00;
0,00;0,00;39,64;0,03;0,00;0,00;
0,00;0,00;41,96;0,04;0,00;0,00;
0,00;0,00;44,80;0,03;0,00;0,00;
0,00;0,00;48,13;0,04;0,00;0,00;
0,00;0,00;51,62;0,04;0,00;0,00;
0,00;0,00;55,16;0,03;0,00;0,00;
0,00;0,00;58,66;0,03;0,00;0,00;
0,00;0,00;62,19;0,04;0,00;0,00;
0,00;0,00;65,71;0,04;0,00;0,00;
0,00;0,00;69,23;0,03;0,00;0,00;
0,00;0,00;72,75;0,03;0,00;0,00;
0,00;0,00;76,27;0,05;0,00;0,00;
0,00;0,00;79,78;0,04;0,00;0,00;
0,00;0,00;83,31;0,04;0,00;0,00;
0,00;0,00;86,83;0,01;0,00;0,00;
0,00;0,00;90,35;0,02;0,00;0,00;
0,00;0,00;93,87;0,02;0,00;0,00;
0,00;0,00;97,39;0,04;0,00;0,00;
0,00;0,00;100,90;0,04;0,00;0,00;
0,00;0,00;104,43;0,02;0,00;0,00;
0,00;0,00;107,95;0,02;0,00;0,00;
0,00;0,00;111,47;0,03;0,00;0,00;
0,00;0,00;114,76;0,01;0,00;0,00;
0,00;0,00;121,67;-0,01;0,00;0,00;
0,00;0,00;123,73;-0,02;0,00;0,00;
0,00;0,00;124,00;-0,01;0,00;0,00;
0,00;0,00;124,02;0,00;0,00;0,00;
0,00;0,00;124,02;0,01;0,00;0,00;
0,00;0,00;124,14;0,01;0,00;0,00;
0,00;0,00;124,27;0,01;0,00;0,00;
0,00;0,00;124,91;0,01;0,00;0,00;
0,00;0,00;125,17;0,01;0,00;0,00;
0,00;0,00;125,55;0,01;0,00;0,00;
0,00;0,00;125,68;0,01;0,00;0,00;
0,00;0,00;126,71;0,01;0,00;0,00;
0,00;0,00;126,83;0,01;0,00;0,00;
0,00;0,00;127,35;0,01;0,00;0,00;
0,00;0,00;127,47;0,01;0,00;0,00;
0,00;0,00;128,24;0,01;0,00;0,00;
0,00;0,00;128,88;0,01;0,00;0,00;
0,00;0,00;129,27;0,01;0,00;0,00;
0,00;0,00;130,03;0,01;0,00;0,00;
0,00;0,00;130,29;0,01;0,00;0,00;
0,00;0,00;130,55;0,01;0,00;0,00;
0,00;0,00;130,80;0,01;0,00;0,00;
0,00;0,00;131,06;0,01;0,00;0,00;
0,00;0,00;131,32;0,01;0,00;0,00;
0,00;0,00;131,70;0,01;0,00;0,00;
0,00;0,00;132,59;0,01;0,00;0,00;
0,00;0,00;132,98;0,01;0,00;0,00;
0,00;0,00;133,23;0,01;0,00;0,00;
0,00;0,00;133,36;0,01;0,00;0,00;
0,00;0,00;133,75;0,01;0,00;0,00;
0,00;0,00;134,39;0,01;0,00;0,00;
0,00;0,00;134,52;0,01;0,00;0,00;
0,00;0,00;134,77;0,01;0,00;0,00;
0,00;0,00;135,16;0,02;0,00;0,00;
0,00;0,00;135,28;0,01;0,00;0,00;
0,00;0,00;135,54;0,01;0,00;0,00;
0,00;0,00;135,67;0,01;0,00;0,00;
0,00;0,00;135,92;0,01;0,00;0,00;
0,00;0,00;136,56;0,01;0,00;0,00;
0,00;0,00;136,69;0,01;0,00;0,00;
0,00;0,00;137,46;0,01;0,00;0,00;
0,00;0,00;137,97;0,01;0,00;0,00;
0,00;0,00;138,10;0,01;0,00;0,00;
0,00;0,00;138,23;0,01;0,00;0,00;
0,00;0,00;138,35;0,01;0,00;0,00;
0,00;0,00;138,48;0,01;0,00;0,00;
0,00;0,00;138,61;0,01;0,00;0,00;
0,00;0,00;139,12;0,01;0,00;0,00;
0,00;0,00;139,25;0,01;0,00;0,00;
0,00;0,00;139,51;0,01;0,00;0,00;
0,00;0,00;139,63;0,01;0,00;0,00;
0,00;0,00;139,89;0,01;0,00;0,00;
0,00;0,00;140,02;0,01;0,00;0,00;
0,00;0,00;140,53;0,01;0,00;0,00;
0,00;0,00;140,66;0,01;0,00;0,00;
0,00;0,00;140,91;0,01;0,00;0,00;
0,00;0,00;141,04;0,01;0,00;0,00;
0,00;0,00;141,17;0,01;0,00;0,00;
0,00;0,00;141,43;0,01;0,00;0,00;
0,00;0,00;141,55;0,01;0,00;0,00;
0,00;0,00;141,68;0,01;0,00;0,00;
0,00;0,00;141,81;0,01;0,00;0,00;
0,00;0,00;141,94;0,01;0,00;0,00;
0,00;0,00;142,07;0,01;0,00;0,00;
0,00;0,00;142,32;0,01;0,00;0,00;
0,00;0,00;142,71;0,01;0,00;0,00;
0,00;0,00;143,09;0,01;0,00;0,00;
0,00;0,00;143,35;0,01;0,00;0,00;
0,00;0,00;143,60;0,01;0,00;0,00;
0,00;0,00;143,73;0,01;0,00;0,00;
0,00;0,00;143,86;0,01;0,00;0,00;
0,00;0,00;143,99;0,01;0,00;0,00;
0,00;0,00;144,11;0,01;0,00;0,00;
0,00;0,00;144,37;0,01;0,00;0,00;
0,00;0,00;144,50;0,01;0,00;0,00;
0,00;0,00;144,88;0,01;0,00;0,00;
0,00;0,00;145,01;0,01;0,00;0,00;
0,00;0,00;145,27;0,01;0,00;0,00;
0,00;0,00;145,39;0,01;0,00;0,00;
0,00;0,00;145,52;0,01;0,00;0,00;
0,00;0,00;145,91;0,01;0,00;0,00;
0,00;0,00;146,04;0,01;0,00;0,00;
0,00;0,00;146,55;0,01;0,00;0,00;
0,00;0,00;146,67;0,01;0,00;0,00;
0,00;0,00;146,80;0,01;0,00;0,00;
0,00;0,00;146,93;0,01;0,00;0,00;
0,00;0,00;147,19;0,01;0,00;0,00;
0,00;0,00;147,31;0,01;0,00;0,00;
0,00;0,00;147,44;0,01;0,00;0,00;
0,00;0,00;147,70;0,01;0,00;0,00;
0,00;0,00;147,83;0,01;0,00;0,00;
0,00;0,00;147,96;0,01;0,00;0,00;
0,00;0,00;148,08;0,01;0,00;0,00;
0,00;0,00;148,34;0,01;0,00;0,00;
0,00;0,00;148,47;0,01;0,00;0,00;
0,00;0,00;148,72;0,01;0,00;0,00;
0,00;0,00;148,85;0,01;0,00;0,00;
0,00;0,00;149,11;0,01;0,00;0,00;
0,00;0,00;149,24;0,01;0,00;0,00;
0,00;0,00;149,62;0,01;0,00;0,00;
0,00;0,00;150,00;0,01;0,00;0,00;
0,00;0,00;150,13;0,01;0,00;0,00;
0,00;0,00;150,26;0,01;0,00;0,00;
0,00;0,00;150,51;0,01;0,00;0,00;
0,00;0,00;150,64;0,01;0,00;0,00;
0,00;0,00;150,77;0,01;0,00;0,00;
0,00;0,00;151,03;0,01;0,00;0,00;
0,00;0,00;151,15;0,01;0,00;0,00;
0,00;0,00;151,28;0,01;0,00;0,00;
0,00;0,00;151,41;0,01;0,00;0,00;
0,00;0,00;151,54;0,01;0,00;0,00;
0,00;0,00;151,79;0,01;0,00;0,00;
0,00;0,00;151,92;0,01;0,00;0,00;
0,00;0,00;152,05;0,01;0,00;0,00;
0,00;0,00;152,18;0,01;0,00;0,00;
0,00;0,00;152,31;0,01;0,00;0,00;
0,00;0,00;152,43;0,01;0,00;0,00;
0,00;0,00;152,56;0,01;0,00;0,00;
0,00;0,00;152,69;0,01;0,00;0,00;
0,00;0,00;152,82;0,01;0,00;0,00;
0,00;0,00;153,07;0,01;0,00;0,00;
0,00;0,00;153,20;0,01;0,00;0,00;
0,00;0,00;153,33;0,01;0,00;0,00;
0,00;0,00;153,46;0,01;0,00;0,00;
0,00;0,00;153,59;0,01;0,00;0,00;
0,00;0,00;153,84;0,01;0,00;0,00;
0,00;0,00;153,97;0,01;0,00;0,00;
0,00;0,00;154,10;0,01;0,00;0,00;
0,00;0,00;154,23;0,01;0,00;0,00;
0,00;0,00;154,35;0,01;0,00;0,00;
0,00;0,00;154,48;0,01;0,00;0,00;
0,00;0,00;154,61;0,01;0,00;0,00;
0,00;0,00;154,74;0,01;0,00;0,00;
0,00;0,00;154,87;0,01;0,00;0,00;
0,00;0,00;155,12;0,01;0,00;0,00;
0,00;0,00;155,25;0,01;0,00;0,00;
0,00;0,00;155,38;0,02;0,00;0,00;
0,00;0,00;155,51;0,01;0,00;0,00;
0,00;0,00;155,64;0,01;0,00;0,00;
0,00;0,00;155,76;0,01;0,00;0,00;
0,00;0,00;156,02;0,01;0,00;0,00;
0,00;0,00;156,15;0,02;0,00;0,00;
0,00;0,00;156,27;0,02;0,00;0,00;
0,00;0,00;156,40;0,01;0,00;0,00;
0,00;0,00;156,53;0,01;0,00;0,00;
0,00;0,00;156,66;0,02;0,00;0,00;
0,00;0,00;156,79;0,01;0,00;0,00;
0,00;0,00;156,91;0,01;0,00;0,00;
0,00;0,00;157,04;0,01;0,00;0,00;
0,00;0,00;157,17;0,01;0,00;0,00;
0,00;0,00;157,30;0,01;0,00;0,00;
0,00;0,00;157,43;0,02;0,00;0,00;
0,00;0,00;157,55;0,01;0,00;0,00;
0,00;0,00;157,81;0,01;0,00;0,00;
0,00;0,00;157,94;0,01;0,00;0,00;
0,00;0,00;158,07;0,01;0,00;0,00;
0,00;0,00;158,19;0,01;0,00;0,00;
0,00;0,00;158,32;0,01;0,00;0,00;
0,00;0,00;158,45;0,01;0,00;0,00;
0,00;0,00;158,58;0,01;0,00;0,00;
0,00;0,00;158,71;0,01;0,00;0,00;
0,00;0,00;158,96;0,02;0,00;0,00;
0,00;0,00;159,09;0,01;0,00;0,00;
0,00;0,00;159,35;0,01;0,00;0,00;
0,00;0,00;159,47;0,01;0,00;0,00;
0,00;0,00;159,60;0,01;0,00;0,00;
0,00;0,00;159,73;0,01;0,00;0,00;
0,00;0,00;159,86;0,01;0,00;0,00;
0,00;0,00;159,99;0,01;0,00;0,00;
0,00;0,00;160,11;0,01;0,00;0,00;
0,00;0,00;160,24;0,01;0,00;0,00;
0,00;0,00;160,37;0,02;0,00;0,00;
0,00;0,00;160,50;0,01;0,00;0,00;
0,00;0,00;160,62;0,01;0,00;0,00;
0,00;0,00;160,75;0,02;0,00;0,00;
0,00;0,00;160,81;0,00;0,00;0,00;
0,00;0,00;160,81;0,01;0,00;0,00;
0,00;0,00;160,86;0,04;0,00;0,00;
0,00;0,00;161,39;0,04;0,00;0,00;
0,00;0,00;162,43;0,04;0,00;0,00;
0,00;0,00;163,98;0,04;0,00;0,00;
0,00;0,00;166,04;0,04;0,00;0,00;
0,00;0,00;168,61;0,06;0,00;0,00;
0,00;0,00;171,70;0,06;0,00;0,00;
0,00;0,00;175,12;-0,01;0,00;0,00;
0,00;0,00;178,06;0,04;0,00;0,00;
0,00;0,00;180,57;0,01;0,00;0,00;
0,00;0,00;182,55;0,01;0,00;0,00;
0,00;0,00;184,03;0,02;0,00;0,00;
0,00;0,00;184,99;-0,01;0,00;0,00;
0,00;0,00;185,45;-0,01;0,00;0,00;
0,00;0,00;185,51;0,75;0,00;0,00;
