14731;26.08.21 11:19:30;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210826094201A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,95;0,11;0,00;0,00;
0,00;0,00;40,49;0,07;0,00;0,00;
0,00;0,00;41,52;0,11;0,00;0,00;
0,00;0,00;43,05;0,18;0,00;0,00;
0,00;0,00;45,10;0,11;0,00;0,00;
0,00;0,00;47,66;0,11;0,00;0,00;
0,00;0,00;50,71;0,16;0,00;0,00;
0,00;0,00;53,85;0,09;0,00;0,00;
0,00;0,00;57,01;0,14;0,00;0,00;
0,00;0,00;60,25;0,09;0,00;0,00;
0,00;0,00;63,44;0,05;0,00;0,00;
0,00;0,00;66,65;0,07;0,00;0,00;
0,00;0,00;69,85;0,09;0,00;0,00;
0,00;0,00;73,05;0,09;0,00;0,00;
0,00;0,00;76,25;0,07;0,00;0,00;
0,00;0,00;79,45;0,05;0,00;0,00;
0,00;0,00;82,65;0,11;0,00;0,00;
0,00;0,00;85,85;0,05;0,00;0,00;
0,00;0,00;89,05;0,13;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,07;0,00;0,00;
0,00;0,00;98,65;0,09;0,00;0,00;
0,00;0,00;101,85;0,07;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,07;0,00;0,00;
0,00;0,00;111,45;0,02;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,02;0,00;0,00;
0,00;0,00;121,05;0,13;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,05;0,00;0,00;
0,00;0,00;130,65;0,07;0,00;0,00;
0,00;0,00;133,85;0,07;0,00;0,00;
0,00;0,00;137,05;0,13;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,05;0,00;0,00;
0,00;0,00;146,65;0,07;0,00;0,00;
0,00;0,00;149,85;0,05;0,00;0,00;
0,00;0,00;153,05;0,11;0,00;0,00;
0,00;0,00;156,25;0,09;0,00;0,00;
0,00;0,00;159,42;0,02;0,00;0,00;
0,00;0,00;162,10;0,05;0,00;0,00;
0,00;0,00;166,11;-0,02;0,00;0,00;
0,00;0,00;167,36;0,09;0,00;0,00;
0,00;0,00;168,06;11,68;0,00;0,00;
0,00;0,00;168,18;17,44;0,00;0,00;
0,00;0,00;168,25;19,54;0,00;0,00;
0,00;0,00;168,28;20,51;0,00;0,00;
0,00;0,00;168,30;21,28;0,00;0,00;
0,00;0,00;168,32;21,87;0,00;0,00;
0,00;0,00;168,33;22,32;0,00;0,00;
0,00;0,00;168,34;22,75;0,00;0,00;
0,00;0,00;168,35;22,86;0,00;0,00;
0,00;0,00;168,36;23,11;0,00;0,00;
0,00;0,00;168,37;23,25;0,00;0,00;
0,00;0,00;168,37;23,48;0,00;0,00;
0,00;0,00;168,38;23,59;0,00;0,00;
0,00;0,00;168,38;23,65;0,00;0,00;
