55409;03.06.21 16:12:27;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210603133817P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;157,86;3,24;0,00;0,00;
0,00;0,00;158,03;3,35;0,00;0,00;
0,00;0,00;158,19;3,35;0,00;0,00;
0,00;0,00;158,35;3,46;0,00;0,00;
0,00;0,00;158,51;3,60;0,00;0,00;
0,00;0,00;158,67;3,71;0,00;0,00;
0,00;0,00;158,83;3,82;0,00;0,00;
0,00;0,00;158,99;3,87;0,00;0,00;
0,00;0,00;159,15;3,96;0,00;0,00;
0,00;0,00;159,31;4,05;0,00;0,00;
0,00;0,00;159,47;4,16;0,00;0,00;
0,00;0,00;159,63;4,25;0,00;0,00;
0,00;0,00;159,79;4,38;0,00;0,00;
0,00;0,00;159,95;4,45;0,00;0,00;
0,00;0,00;160,11;4,61;0,00;0,00;
0,00;0,00;160,27;4,61;0,00;0,00;
0,00;0,00;160,43;4,68;0,00;0,00;
0,00;0,00;160,59;4,84;0,00;0,00;
0,00;0,00;160,75;4,91;0,00;0,00;
0,00;0,00;160,91;5,04;0,00;0,00;
0,00;0,00;161,07;5,09;0,00;0,00;
0,00;0,00;161,23;5,18;0,00;0,00;
0,00;0,00;161,39;5,34;0,00;0,00;
0,00;0,00;161,55;5,40;0,00;0,00;
0,00;0,00;161,71;5,45;0,00;0,00;
0,00;0,00;161,87;5,49;0,00;0,00;
0,00;0,00;162,03;5,70;0,00;0,00;
0,00;0,00;162,19;5,74;0,00;0,00;
0,00;0,00;162,35;5,86;0,00;0,00;
0,00;0,00;162,51;5,88;0,00;0,00;
0,00;0,00;162,67;5,94;0,00;0,00;
0,00;0,00;162,83;6,08;0,00;0,00;
0,00;0,00;162,99;6,15;0,00;0,00;
0,00;0,00;163,15;6,24;0,00;0,00;
0,00;0,00;163,31;6,31;0,00;0,00;
0,00;0,00;163,47;6,42;0,00;0,00;
0,00;0,00;163,63;6,51;0,00;0,00;
0,00;0,00;163,79;6,60;0,00;0,00;
0,00;0,00;163,95;6,60;0,00;0,00;
0,00;0,00;164,11;6,74;0,00;0,00;
0,00;0,00;164,27;6,87;0,00;0,00;
0,00;0,00;164,43;6,87;0,00;0,00;
0,00;0,00;164,59;6,97;0,00;0,00;
0,00;0,00;164,75;7,05;0,00;0,00;
0,00;0,00;164,91;7,05;0,00;0,00;
0,00;0,00;165,07;7,17;0,00;0,00;
0,00;0,00;165,23;7,21;0,00;0,00;
0,00;0,00;165,39;7,33;0,00;0,00;
0,00;0,00;165,55;7,44;0,00;0,00;
0,00;0,00;165,71;7,44;0,00;0,00;
0,00;0,00;165,87;7,96;0,00;0,00;
0,00;0,00;166,00;13,29;0,00;0,00;
