22679;05.07.21 15:05:54;21;Avvicinamento Pressata Finale;position > max position (10);20210705100704P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,22;0,09;0,00;0,00;
0,00;0,00;33,30;0,09;0,00;0,00;
0,00;0,00;37,92;0,04;0,00;0,00;
0,00;0,00;52,32;-0,04;0,00;0,00;
0,00;0,00;66,72;-0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,04;0,00;0,00;
0,00;0,00;129,12;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,04;0,00;0,00;
0,00;0,00;148,32;-0,04;0,00;0,00;
0,00;0,00;162,72;0,04;0,00;0,00;
0,00;0,00;167,52;0,04;0,00;0,00;
0,00;0,00;186,72;0,04;0,00;0,00;
0,00;0,00;201,12;0,09;0,00;0,00;
0,00;0,00;205,92;0,04;0,00;0,00;
0,00;0,00;215,52;0,09;0,00;0,00;
0,00;0,00;220,32;0,09;0,00;0,00;
0,00;0,00;225,12;0,04;0,00;0,00;
0,00;0,00;234,72;0,04;0,00;0,00;
0,00;0,00;249,12;0,04;0,00;0,00;
0,00;0,00;263,52;0,04;0,00;0,00;
0,00;0,00;273,12;0,04;0,00;0,00;
0,00;0,00;282,72;0,04;0,00;0,00;
0,00;0,00;289,81;-0,04;0,00;0,00;
0,00;0,00;290,56;0,04;0,00;0,00;
0,00;0,00;290,80;0,04;0,00;0,00;
0,00;0,00;291,12;0,04;0,00;0,00;
0,00;0,00;291,44;0,04;0,00;0,00;
0,00;0,00;292,08;0,04;0,00;0,00;
0,00;0,00;292,40;0,04;0,00;0,00;
0,00;0,00;293,04;0,04;0,00;0,00;
0,00;0,00;294,64;0,13;0,00;0,00;
0,00;0,00;294,96;0,04;0,00;0,00;
0,00;0,00;296,24;0,04;0,00;0,00;
0,00;0,00;296,56;0,04;0,00;0,00;
0,00;0,00;296,88;0,04;0,00;0,00;
0,00;0,00;297,20;0,04;0,00;0,00;
0,00;0,00;297,52;0,13;0,00;0,00;
0,00;0,00;297,84;0,18;0,00;0,00;
0,00;0,00;298,16;0,18;0,00;0,00;
0,00;0,00;298,48;0,30;0,00;0,00;
0,00;0,00;298,80;0,35;0,00;0,00;
0,00;0,00;299,12;0,35;0,00;0,00;
0,00;0,00;299,44;0,39;0,00;0,00;
0,00;0,00;299,76;0,44;0,00;0,00;
0,00;0,00;300,07;1,43;0,00;0,00;
0,00;0,00;300,39;1,69;0,00;0,00;
0,00;0,00;300,72;1,65;0,00;0,00;
0,00;0,00;301,04;1,78;0,00;0,00;
0,00;0,00;301,36;1,87;0,00;0,00;
0,00;0,00;301,68;2,00;0,00;0,00;
0,00;0,00;302,00;2,08;0,00;0,00;
0,00;0,00;302,32;2,13;0,00;0,00;
0,00;0,00;302,64;2,26;0,00;0,00;
0,00;0,00;302,96;2,35;0,00;0,00;
0,00;0,00;303,28;2,48;0,00;0,00;
0,00;0,00;303,60;2,74;0,00;0,00;
0,00;0,00;303,91;3,00;0,00;0,00;
0,00;0,00;304,24;3,00;0,00;0,00;
0,00;0,00;304,56;3,13;0,00;0,00;
0,00;0,00;304,88;3,26;0,00;0,00;
0,00;0,00;305,20;3,43;0,00;0,00;
0,00;0,00;305,52;3,52;0,00;0,00;
0,00;0,00;305,84;3,66;0,00;0,00;
0,00;0,00;306,16;3,74;0,00;0,00;
0,00;0,00;306,48;3,74;0,00;0,00;
0,00;0,00;306,80;3,82;0,00;0,00;
0,00;0,00;307,12;4,00;0,00;0,00;
0,00;0,00;307,44;4,05;0,00;0,00;
0,00;0,00;307,76;4,18;0,00;0,00;
0,00;0,00;308,07;4,22;0,00;0,00;
0,00;0,00;308,40;4,48;0,00;0,00;
0,00;0,00;308,72;4,61;0,00;0,00;
0,00;0,00;309,04;4,74;0,00;0,00;
0,00;0,00;309,36;4,95;0,00;0,00;
0,00;0,00;309,67;5,13;0,00;0,00;
0,00;0,00;310,00;5,09;0,00;0,00;
0,00;0,00;310,32;5,13;0,00;0,00;
0,00;0,00;310,64;5,18;0,00;0,00;
0,00;0,00;310,96;5,26;0,00;0,00;
0,00;0,00;311,28;5,30;0,00;0,00;
0,00;0,00;311,60;5,48;0,00;0,00;
0,00;0,00;311,92;5,57;0,00;0,00;
0,00;0,00;312,24;5,57;0,00;0,00;
0,00;0,00;312,56;5,83;0,00;0,00;
0,00;0,00;312,88;5,83;0,00;0,00;
0,00;0,00;313,20;5,91;0,00;0,00;
0,00;0,00;313,52;6,04;0,00;0,00;
0,00;0,00;313,82;10,91;0,00;0,00;
0,00;0,00;314,08;24,52;0,00;0,00;
0,00;0,00;314,14;28,22;0,00;0,00;
0,00;0,00;314,16;29,05;0,00;0,00;
0,00;0,00;314,17;29,83;0,00;0,00;
0,00;0,00;314,19;30,70;0,00;0,00;
0,00;0,00;314,19;30,87;0,00;0,00;
0,00;0,00;314,20;30,96;0,00;0,00;
