45258;11.06.21 10:03:58;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210610165722P0045;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,20;-0,08;0,00;0,00;
0,00;0,00;74,26;0,14;0,00;0,00;
0,00;0,00;74,71;0,06;0,00;0,00;
0,00;0,00;76,63;0,14;0,00;0,00;
0,00;0,00;78,18;-0,02;0,00;0,00;
0,00;0,00;80,10;-0,02;0,00;0,00;
0,00;0,00;82,40;0,14;0,00;0,00;
0,00;0,00;84,74;0,06;0,00;0,00;
0,00;0,00;96,74;0,06;0,00;0,00;
0,00;0,00;125,55;-0,16;0,00;0,00;
0,00;0,00;132,74;-0,08;0,00;0,00;
0,00;0,00;135,15;-0,08;0,00;0,00;
0,00;0,00;137,54;-0,08;0,00;0,00;
0,00;0,00;149,54;-0,08;0,00;0,00;
0,00;0,00;156,74;0,06;0,00;0,00;
0,00;0,00;159,15;0,06;0,00;0,00;
0,00;0,00;166,35;0,06;0,00;0,00;
0,00;0,00;168,75;0,06;0,00;0,00;
0,00;0,00;173,54;-0,09;0,00;0,00;
0,00;0,00;178,69;-0,08;0,00;0,00;
0,00;0,00;180,55;-0,23;0,00;0,00;
0,00;0,00;180,89;-0,08;0,00;0,00;
0,00;0,00;181,69;-0,08;0,00;0,00;
0,00;0,00;184,36;-0,62;0,00;0,00;
0,00;0,00;183,74;-0,47;0,00;0,00;
0,00;0,00;183,07;-0,31;0,00;0,00;
0,00;0,00;182,77;-0,31;0,00;0,00;
0,00;0,00;182,65;-0,31;0,00;0,00;
0,00;0,00;182,58;-0,31;0,00;0,00;
0,00;0,00;182,59;-0,31;0,00;0,00;
0,00;0,00;186,05;1,96;0,00;0,00;
0,00;0,00;186,20;4,10;0,00;0,00;
0,00;0,00;186,36;4,78;0,00;0,00;
0,00;0,00;186,52;5,17;0,00;0,00;
0,00;0,00;186,68;5,23;0,00;0,00;
0,00;0,00;186,85;5,54;0,00;0,00;
0,00;0,00;187,01;5,62;0,00;0,00;
0,00;0,00;187,17;5,78;0,00;0,00;
0,00;0,00;187,33;5,84;0,00;0,00;
0,00;0,00;187,49;5,92;0,00;0,00;
0,00;0,00;187,65;6,07;0,00;0,00;
0,00;0,00;187,81;6,23;0,00;0,00;
0,00;0,00;187,97;6,39;0,00;0,00;
0,00;0,00;188,13;6,54;0,00;0,00;
0,00;0,00;188,29;6,70;0,00;0,00;
0,00;0,00;188,45;6,76;0,00;0,00;
0,00;0,00;188,61;6,99;0,00;0,00;
0,00;0,00;188,77;6,99;0,00;0,00;
0,00;0,00;188,93;7,23;0,00;0,00;
0,00;0,00;189,09;7,37;0,00;0,00;
0,00;0,00;189,25;7,52;0,00;0,00;
0,00;0,00;189,41;7,60;0,00;0,00;
0,00;0,00;189,57;7,83;0,00;0,00;
0,00;0,00;189,73;7,91;0,00;0,00;
0,00;0,00;189,89;7,91;0,00;0,00;
0,00;0,00;190,05;8,21;0,00;0,00;
0,00;0,00;190,21;8,21;0,00;0,00;
0,00;0,00;190,37;8,36;0,00;0,00;
0,00;0,00;190,53;8,44;0,00;0,00;
0,00;0,00;190,69;8,52;0,00;0,00;
0,00;0,00;190,85;8,74;0,00;0,00;
0,00;0,00;191,01;8,82;0,00;0,00;
0,00;0,00;191,17;8,89;0,00;0,00;
0,00;0,00;191,33;9,13;0,00;0,00;
0,00;0,00;191,49;9,21;0,00;0,00;
0,00;0,00;191,65;9,44;0,00;0,00;
0,00;0,00;191,81;9,50;0,00;0,00;
0,00;0,00;191,97;9,73;0,00;0,00;
0,00;0,00;192,13;9,81;0,00;0,00;
0,00;0,00;192,29;10,05;0,00;0,00;
0,00;0,00;192,45;10,05;0,00;0,00;
0,00;0,00;192,61;10,34;0,00;0,00;
0,00;0,00;192,77;10,50;0,00;0,00;
0,00;0,00;192,93;10,65;0,00;0,00;
0,00;0,00;193,09;10,72;0,00;0,00;
0,00;0,00;193,25;10,87;0,00;0,00;
0,00;0,00;193,41;10,95;0,00;0,00;
0,00;0,00;193,57;11,11;0,00;0,00;
0,00;0,00;193,73;11,26;0,00;0,00;
0,00;0,00;193,89;11,26;0,00;0,00;
0,00;0,00;194,05;11,48;0,00;0,00;
0,00;0,00;194,21;11,56;0,00;0,00;
0,00;0,00;194,37;11,87;0,00;0,00;
0,00;0,00;194,53;12,01;0,00;0,00;
0,00;0,00;194,69;12,16;0,00;0,00;
0,00;0,00;194,85;12,24;0,00;0,00;
0,00;0,00;195,01;12,32;0,00;0,00;
0,00;0,00;195,17;12,48;0,00;0,00;
0,00;0,00;195,33;12,63;0,00;0,00;
0,00;0,00;195,49;12,79;0,00;0,00;
0,00;0,00;195,65;12,79;0,00;0,00;
0,00;0,00;195,81;13,08;0,00;0,00;
0,00;0,00;195,97;13,08;0,00;0,00;
0,00;0,00;196,13;13,32;0,00;0,00;
0,00;0,00;196,29;13,39;0,00;0,00;
0,00;0,00;196,45;13,46;0,00;0,00;
0,00;0,00;196,61;13,61;0,00;0,00;
0,00;0,00;196,77;13,69;0,00;0,00;
0,00;0,00;196,93;13,69;0,00;0,00;
0,00;0,00;197,09;13,69;0,00;0,00;
0,00;0,00;197,25;14,00;0,00;0,00;
0,00;0,00;197,41;14,00;0,00;0,00;
0,00;0,00;197,57;14,30;0,00;0,00;
0,00;0,00;197,73;14,61;0,00;0,00;
0,00;0,00;197,89;14,61;0,00;0,00;
0,00;0,00;198,05;14,83;0,00;0,00;
0,00;0,00;198,21;14,91;0,00;0,00;
0,00;0,00;198,37;14,91;0,00;0,00;
0,00;0,00;198,53;14,98;0,00;0,00;
0,00;0,00;198,69;15,06;0,00;0,00;
0,00;0,00;198,85;15,22;0,00;0,00;
0,00;0,00;199,01;15,22;0,00;0,00;
0,00;0,00;199,17;15,22;0,00;0,00;
0,00;0,00;199,33;15,36;0,00;0,00;
0,00;0,00;199,49;15,51;0,00;0,00;
0,00;0,00;199,54;14,06;0,00;0,00;
0,00;0,00;199,55;14,30;0,00;0,00;
0,00;0,00;199,54;13,77;0,00;0,00;
0,00;0,00;199,21;-0,25;0,00;0,00;
0,00;0,00;198,53;-0,55;0,00;0,00;
0,00;0,00;197,46;-0,55;0,00;0,00;
0,00;0,00;196,01;-0,62;0,00;0,00;
0,00;0,00;194,17;-0,55;0,00;0,00;
0,00;0,00;191,96;-0,47;0,00;0,00;
0,00;0,00;189,60;-0,47;0,00;0,00;
0,00;0,00;187,23;-0,55;0,00;0,00;
0,00;0,00;184,81;-0,62;0,00;0,00;
0,00;0,00;182,41;-0,39;0,00;0,00;
0,00;0,00;180,01;-0,47;0,00;0,00;
0,00;0,00;177,60;-0,47;0,00;0,00;
0,00;0,00;175,20;-0,55;0,00;0,00;
0,00;0,00;172,80;-0,55;0,00;0,00;
0,00;0,00;170,40;-0,31;0,00;0,00;
0,00;0,00;168,01;-0,39;0,00;0,00;
0,00;0,00;165,60;-0,47;0,00;0,00;
0,00;0,00;163,20;-0,39;0,00;0,00;
0,00;0,00;160,80;-0,31;0,00;0,00;
0,00;0,00;158,40;-0,31;0,00;0,00;
0,00;0,00;156,01;-0,31;0,00;0,00;
0,00;0,00;153,60;-0,31;0,00;0,00;
0,00;0,00;151,20;-0,31;0,00;0,00;
0,00;0,00;148,80;-0,31;0,00;0,00;
0,00;0,00;146,40;-0,31;0,00;0,00;
0,00;0,00;144,01;-0,31;0,00;0,00;
0,00;0,00;141,60;-0,31;0,00;0,00;
0,00;0,00;139,20;-0,31;0,00;0,00;
0,00;0,00;136,80;-0,31;0,00;0,00;
0,00;0,00;134,40;-0,31;0,00;0,00;
0,00;0,00;132,01;-0,31;0,00;0,00;
0,00;0,00;129,60;-0,31;0,00;0,00;
0,00;0,00;127,20;-0,31;0,00;0,00;
0,00;0,00;124,80;-0,31;0,00;0,00;
0,00;0,00;122,40;-0,31;0,00;0,00;
0,00;0,00;120,01;-0,23;0,00;0,00;
0,00;0,00;117,60;-0,31;0,00;0,00;
0,00;0,00;115,20;-0,31;0,00;0,00;
