25585;06.08.21 10:06:19;21;Avvicinamento Pressata Finale;force < min. force (9);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;4,20;-0,05;0,00;0,00;
0,00;0,00;8,82;0,08;0,00;0,00;
0,00;0,00;13,62;-0,04;0,00;0,00;
0,00;0,00;18,42;0,04;0,00;0,00;
0,00;0,00;23,22;0,04;0,00;0,00;
0,00;0,00;28,02;0,04;0,00;0,00;
0,00;0,00;47,22;0,04;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;76,02;0,04;0,00;0,00;
0,00;0,00;85,62;-0,04;0,00;0,00;
0,00;0,00;90,42;0,04;0,00;0,00;
0,00;0,00;95,22;-0,01;0,00;0,00;
0,00;0,00;100,02;-0,04;0,00;0,00;
0,00;0,00;109,62;-0,04;0,00;0,00;
0,00;0,00;128,82;-0,04;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;138,42;-0,04;0,00;0,00;
0,00;0,00;148,02;-0,01;0,00;0,00;
0,00;0,00;152,82;-0,04;0,00;0,00;
0,00;0,00;157,62;0,04;0,00;0,00;
0,00;0,00;167,22;-0,04;0,00;0,00;
0,00;0,00;176,05;-0,04;0,00;0,00;
0,00;0,00;178,21;-0,04;0,00;0,00;
0,00;0,00;178,59;0,04;0,00;0,00;
0,00;0,00;178,90;0,04;0,00;0,00;
0,00;0,00;183,70;0,04;0,00;0,00;
0,00;0,00;184,34;0,04;0,00;0,00;
0,00;0,00;184,66;0,04;0,00;0,00;
0,00;0,00;185,94;0,04;0,00;0,00;
0,00;0,00;186,26;0,04;0,00;0,00;
0,00;0,00;186,90;0,04;0,00;0,00;
0,00;0,00;187,22;0,04;0,00;0,00;
0,00;0,00;187,54;0,04;0,00;0,00;
0,00;0,00;188,50;0,08;0,00;0,00;
0,00;0,00;188,82;0,04;0,00;0,00;
0,00;0,00;189,46;0,04;0,00;0,00;
0,00;0,00;189,78;0,08;0,00;0,00;
0,00;0,00;190,10;0,04;0,00;0,00;
0,00;0,00;190,42;0,08;0,00;0,00;
0,00;0,00;190,74;0,04;0,00;0,00;
0,00;0,00;191,06;0,04;0,00;0,00;
0,00;0,00;191,70;0,04;0,00;0,00;
0,00;0,00;192,02;0,04;0,00;0,00;
0,00;0,00;192,34;0,04;0,00;0,00;
0,00;0,00;192,66;0,08;0,00;0,00;
0,00;0,00;192,98;0,04;0,00;0,00;
0,00;0,00;194,90;0,04;0,00;0,00;
0,00;0,00;195,86;0,04;0,00;0,00;
0,00;0,00;196,50;0,08;0,00;0,00;
0,00;0,00;196,82;0,04;0,00;0,00;
0,00;0,00;197,14;0,04;0,00;0,00;
0,00;0,00;198,42;0,04;0,00;0,00;
0,00;0,00;198,74;0,04;0,00;0,00;
0,00;0,00;199,06;0,04;0,00;0,00;
0,00;0,00;200,02;0,04;0,00;0,00;
0,00;0,00;200,66;0,04;0,00;0,00;
0,00;0,00;200,98;0,04;0,00;0,00;
0,00;0,00;201,62;0,04;0,00;0,00;
0,00;0,00;202,58;0,04;0,00;0,00;
0,00;0,00;202,90;0,04;0,00;0,00;
0,00;0,00;203,22;0,04;0,00;0,00;
0,00;0,00;203,54;0,04;0,00;0,00;
0,00;0,00;203,86;0,04;0,00;0,00;
0,00;0,00;204,18;0,04;0,00;0,00;
0,00;0,00;205,14;0,04;0,00;0,00;
0,00;0,00;205,46;0,04;0,00;0,00;
0,00;0,00;206,74;0,04;0,00;0,00;
0,00;0,00;207,06;0,04;0,00;0,00;
0,00;0,00;207,38;0,04;0,00;0,00;
0,00;0,00;207,70;0,04;0,00;0,00;
0,00;0,00;208,02;0,04;0,00;0,00;
0,00;0,00;208,98;0,08;0,00;0,00;
0,00;0,00;209,30;0,04;0,00;0,00;
0,00;0,00;209,62;0,04;0,00;0,00;
0,00;0,00;209,94;0,04;0,00;0,00;
0,00;0,00;210,58;0,04;0,00;0,00;
0,00;0,00;210,90;0,08;0,00;0,00;
0,00;0,00;212,18;0,04;0,00;0,00;
0,00;0,00;213,46;0,04;0,00;0,00;
0,00;0,00;213,78;0,04;0,00;0,00;
0,00;0,00;214,42;0,04;0,00;0,00;
0,00;0,00;214,74;0,04;0,00;0,00;
0,00;0,00;215,06;0,04;0,00;0,00;
0,00;0,00;215,38;0,04;0,00;0,00;
0,00;0,00;215,70;0,04;0,00;0,00;
0,00;0,00;216,34;0,04;0,00;0,00;
0,00;0,00;217,62;0,08;0,00;0,00;
0,00;0,00;217,94;0,08;0,00;0,00;
0,00;0,00;218,58;0,04;0,00;0,00;
0,00;0,00;218,90;0,04;0,00;0,00;
0,00;0,00;219,54;0,04;0,00;0,00;
0,00;0,00;219,86;0,04;0,00;0,00;
0,00;0,00;220,18;0,04;0,00;0,00;
0,00;0,00;221,14;0,04;0,00;0,00;
0,00;0,00;221,78;0,08;0,00;0,00;
0,00;0,00;222,42;0,04;0,00;0,00;
0,00;0,00;222,74;0,04;0,00;0,00;
0,00;0,00;223,70;0,08;0,00;0,00;
0,00;0,00;224,02;0,08;0,00;0,00;
0,00;0,00;224,34;0,08;0,00;0,00;
0,00;0,00;224,66;0,04;0,00;0,00;
0,00;0,00;224,98;0,08;0,00;0,00;
0,00;0,00;225,30;0,04;0,00;0,00;
0,00;0,00;225,62;0,08;0,00;0,00;
0,00;0,00;226,26;0,04;0,00;0,00;
0,00;0,00;226,58;0,08;0,00;0,00;
0,00;0,00;227,22;0,04;0,00;0,00;
0,00;0,00;227,54;0,08;0,00;0,00;
0,00;0,00;228,82;0,04;0,00;0,00;
0,00;0,00;229,14;0,08;0,00;0,00;
0,00;0,00;229,46;0,04;0,00;0,00;
0,00;0,00;230,42;0,04;0,00;0,00;
0,00;0,00;230,74;0,04;0,00;0,00;
0,00;0,00;231,06;0,04;0,00;0,00;
0,00;0,00;231,38;0,04;0,00;0,00;
0,00;0,00;231,70;0,04;0,00;0,00;
0,00;0,00;232,34;0,08;0,00;0,00;
0,00;0,00;232,98;0,08;0,00;0,00;
0,00;0,00;233,62;0,12;0,00;0,00;
0,00;0,00;234,58;0,04;0,00;0,00;
0,00;0,00;234,90;0,08;0,00;0,00;
0,00;0,00;235,54;0,08;0,00;0,00;
0,00;0,00;236,18;0,12;0,00;0,00;
0,00;0,00;236,50;0,08;0,00;0,00;
0,00;0,00;236,82;0,04;0,00;0,00;
0,00;0,00;237,14;0,12;0,00;0,00;
0,00;0,00;237,46;0,08;0,00;0,00;
0,00;0,00;237,78;0,04;0,00;0,00;
0,00;0,00;238,10;0,04;0,00;0,00;
0,00;0,00;238,42;0,08;0,00;0,00;
0,00;0,00;238,74;0,04;0,00;0,00;
0,00;0,00;239,06;0,04;0,00;0,00;
0,00;0,00;239,38;0,04;0,00;0,00;
0,00;0,00;240,02;0,08;0,00;0,00;
0,00;0,00;240,66;0,08;0,00;0,00;
0,00;0,00;240,98;0,08;0,00;0,00;
0,00;0,00;241,30;0,04;0,00;0,00;
0,00;0,00;241,62;0,08;0,00;0,00;
0,00;0,00;242,26;0,12;0,00;0,00;
0,00;0,00;242,90;0,04;0,00;0,00;
0,00;0,00;243,54;0,08;0,00;0,00;
0,00;0,00;243,86;0,08;0,00;0,00;
0,00;0,00;244,18;0,04;0,00;0,00;
0,00;0,00;244,50;0,04;0,00;0,00;
0,00;0,00;244,82;0,08;0,00;0,00;
0,00;0,00;245,14;0,04;0,00;0,00;
0,00;0,00;245,46;0,04;0,00;0,00;
0,00;0,00;245,78;0,08;0,00;0,00;
0,00;0,00;246,10;0,04;0,00;0,00;
0,00;0,00;246,74;0,04;0,00;0,00;
0,00;0,00;247,70;0,08;0,00;0,00;
0,00;0,00;248,02;0,04;0,00;0,00;
0,00;0,00;248,66;0,04;0,00;0,00;
0,00;0,00;248,98;0,04;0,00;0,00;
0,00;0,00;249,30;0,08;0,00;0,00;
0,00;0,00;249,94;0,04;0,00;0,00;
0,00;0,00;250,58;0,04;0,00;0,00;
0,00;0,00;251,22;0,04;0,00;0,00;
0,00;0,00;251,86;0,08;0,00;0,00;
0,00;0,00;252,18;0,04;0,00;0,00;
