69984;03.08.21 12:11:32;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20210802091038P0002;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,68;0,18;0,00;0,00;
0,00;0,00;30,47;0,18;0,00;0,00;
0,00;0,00;31,74;0,13;0,00;0,00;
0,00;0,00;33,53;0,15;0,00;0,00;
0,00;0,00;35,83;0,18;0,00;0,00;
0,00;0,00;38,65;0,18;0,00;0,00;
0,00;0,00;41,81;0,04;0,00;0,00;
0,00;0,00;44,92;0,11;0,00;0,00;
0,00;0,00;48,15;0,13;0,00;0,00;
0,00;0,00;51,35;0,11;0,00;0,00;
0,00;0,00;54,55;0,13;0,00;0,00;
0,00;0,00;57,75;0,13;0,00;0,00;
0,00;0,00;60,95;0,09;0,00;0,00;
0,00;0,00;64,15;0,09;0,00;0,00;
0,00;0,00;67,35;0,09;0,00;0,00;
0,00;0,00;70,55;0,09;0,00;0,00;
0,00;0,00;73,75;0,09;0,00;0,00;
0,00;0,00;76,95;0,09;0,00;0,00;
0,00;0,00;80,15;0,09;0,00;0,00;
0,00;0,00;83,35;0,06;0,00;0,00;
0,00;0,00;86,55;0,13;0,00;0,00;
0,00;0,00;89,75;0,11;0,00;0,00;
0,00;0,00;92,95;0,06;0,00;0,00;
0,00;0,00;96,15;0,09;0,00;0,00;
0,00;0,00;99,35;0,09;0,00;0,00;
0,00;0,00;102,55;0,11;0,00;0,00;
0,00;0,00;105,75;0,06;0,00;0,00;
0,00;0,00;108,95;0,06;0,00;0,00;
0,00;0,00;112,15;0,09;0,00;0,00;
0,00;0,00;115,35;0,11;0,00;0,00;
0,00;0,00;118,55;0,11;0,00;0,00;
0,00;0,00;121,75;0,11;0,00;0,00;
0,00;0,00;124,95;0,06;0,00;0,00;
0,00;0,00;128,15;0,09;0,00;0,00;
0,00;0,00;131,35;0,11;0,00;0,00;
0,00;0,00;134,55;0,13;0,00;0,00;
0,00;0,00;137,75;0,11;0,00;0,00;
0,00;0,00;140,78;-0,03;0,00;0,00;
0,00;0,00;146,92;-0,00;0,00;0,00;
0,00;0,00;148,50;-0,02;0,00;0,00;
0,00;0,00;148,62;0,04;0,00;0,00;
0,00;0,00;148,76;0,04;0,00;0,00;
0,00;0,00;148,90;0,02;0,00;0,00;
0,00;0,00;149,06;0,06;0,00;0,00;
0,00;0,00;149,22;0,02;0,00;0,00;
0,00;0,00;149,86;0,04;0,00;0,00;
0,00;0,00;150,02;0,02;0,00;0,00;
0,00;0,00;150,18;0,02;0,00;0,00;
0,00;0,00;150,82;0,04;0,00;0,00;
0,00;0,00;150,98;0,02;0,00;0,00;
0,00;0,00;151,14;0,06;0,00;0,00;
0,00;0,00;151,30;0,02;0,00;0,00;
0,00;0,00;151,46;0,04;0,00;0,00;
0,00;0,00;151,62;0,02;0,00;0,00;
0,00;0,00;151,94;0,02;0,00;0,00;
0,00;0,00;152,10;0,02;0,00;0,00;
0,00;0,00;152,26;0,02;0,00;0,00;
0,00;0,00;152,58;0,02;0,00;0,00;
0,00;0,00;152,74;0,02;0,00;0,00;
0,00;0,00;153,38;0,02;0,00;0,00;
0,00;0,00;153,54;0,02;0,00;0,00;
0,00;0,00;153,70;0,06;0,00;0,00;
0,00;0,00;153,86;0,04;0,00;0,00;
0,00;0,00;154,18;0,04;0,00;0,00;
0,00;0,00;154,34;0,02;0,00;0,00;
