69936;03.08.21 10:31:51;22;Avvicinamento pre-pressata pressata Fuori Ingombro;wrong softlimit spindle data (74);20210802091038P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,27;0,00;0,00;
0,00;0,00;0,60;0,20;0,00;0,00;
0,00;0,00;1,64;0,25;0,00;0,00;
0,00;0,00;3,17;0,23;0,00;0,00;
0,00;0,00;5,21;0,23;0,00;0,00;
0,00;0,00;7,78;0,29;0,00;0,00;
0,00;0,00;10,83;0,13;0,00;0,00;
0,00;0,00;13,94;0,16;0,00;0,00;
0,00;0,00;17,12;0,20;0,00;0,00;
0,00;0,00;20,33;0,16;0,00;0,00;
0,00;0,00;23,53;0,20;0,00;0,00;
0,00;0,00;26,74;0,20;0,00;0,00;
0,00;0,00;29,94;0,20;0,00;0,00;
0,00;0,00;33,14;0,16;0,00;0,00;
0,00;0,00;36,34;0,20;0,00;0,00;
0,00;0,00;39,54;0,23;0,00;0,00;
0,00;0,00;42,74;0,20;0,00;0,00;
0,00;0,00;45,94;0,13;0,00;0,00;
0,00;0,00;49,14;0,18;0,00;0,00;
0,00;0,00;52,34;0,20;0,00;0,00;
0,00;0,00;55,54;0,23;0,00;0,00;
0,00;0,00;58,74;0,20;0,00;0,00;
0,00;0,00;61,94;0,16;0,00;0,00;
0,00;0,00;65,14;0,18;0,00;0,00;
0,00;0,00;68,34;0,16;0,00;0,00;
0,00;0,00;71,54;0,20;0,00;0,00;
0,00;0,00;74,74;0,18;0,00;0,00;
0,00;0,00;77,94;0,20;0,00;0,00;
0,00;0,00;81,14;0,20;0,00;0,00;
0,00;0,00;84,34;0,16;0,00;0,00;
0,00;0,00;87,54;0,18;0,00;0,00;
0,00;0,00;90,74;0,23;0,00;0,00;
0,00;0,00;93,94;0,13;0,00;0,00;
0,00;0,00;97,14;0,20;0,00;0,00;
0,00;0,00;100,34;0,13;0,00;0,00;
0,00;0,00;103,53;0,25;0,00;0,00;
0,00;0,00;106,74;0,20;0,00;0,00;
0,00;0,00;109,94;0,16;0,00;0,00;
0,00;0,00;113,14;0,20;0,00;0,00;
0,00;0,00;116,34;0,20;0,00;0,00;
0,00;0,00;119,54;0,20;0,00;0,00;
0,00;0,00;122,73;0,23;0,00;0,00;
0,00;0,00;125,94;0,18;0,00;0,00;
0,00;0,00;129,14;0,23;0,00;0,00;
0,00;0,00;132,34;0,16;0,00;0,00;
0,00;0,00;135,53;0,22;0,00;0,00;
0,00;0,00;138,74;0,18;0,00;0,00;
0,00;0,00;141,94;0,18;0,00;0,00;
0,00;0,00;145,07;0,04;0,00;0,00;
0,00;0,00;147,70;0,16;0,00;0,00;
0,00;0,00;149,92;0,11;0,00;0,00;
0,00;0,00;151,64;0,09;0,00;0,00;
0,00;0,00;152,87;0,07;0,00;0,00;
0,00;0,00;153,59;0,09;0,00;0,00;
0,00;0,00;153,84;0,07;0,00;0,00;
0,00;0,00;153,90;0,09;0,00;0,00;
0,00;0,00;153,91;0,09;0,00;0,00;
0,00;0,00;154,03;0,09;0,00;0,00;
0,00;0,00;154,13;0,13;0,00;0,00;
0,00;0,00;154,26;0,13;0,00;0,00;
0,00;0,00;154,39;0,13;0,00;0,00;
0,00;0,00;154,52;0,13;0,00;0,00;
0,00;0,00;154,65;0,13;0,00;0,00;
0,00;0,00;154,78;0,11;0,00;0,00;
0,00;0,00;154,91;0,09;0,00;0,00;
0,00;0,00;155,03;0,13;0,00;0,00;
0,00;0,00;155,16;0,16;0,00;0,00;
0,00;0,00;155,29;0,16;0,00;0,00;
0,00;0,00;155,42;0,11;0,00;0,00;
0,00;0,00;155,55;0,11;0,00;0,00;
0,00;0,00;155,67;0,13;0,00;0,00;
0,00;0,00;155,80;0,13;0,00;0,00;
0,00;0,00;155,93;0,11;0,00;0,00;
0,00;0,00;156,06;0,13;0,00;0,00;
0,00;0,00;156,19;0,16;0,00;0,00;
0,00;0,00;156,31;0,13;0,00;0,00;
0,00;0,00;156,44;0,11;0,00;0,00;
0,00;0,00;156,57;0,13;0,00;0,00;
0,00;0,00;156,70;0,11;0,00;0,00;
0,00;0,00;156,83;0,09;0,00;0,00;
0,00;0,00;156,95;0,11;0,00;0,00;
0,00;0,00;157,08;0,11;0,00;0,00;
0,00;0,00;157,21;0,11;0,00;0,00;
0,00;0,00;157,34;0,11;0,00;0,00;
0,00;0,00;157,47;0,09;0,00;0,00;
0,00;0,00;157,59;0,13;0,00;0,00;
0,00;0,00;157,72;0,16;0,00;0,00;
0,00;0,00;157,85;0,13;0,00;0,00;
0,00;0,00;157,98;0,13;0,00;0,00;
0,00;0,00;158,11;0,11;0,00;0,00;
0,00;0,00;158,23;0,13;0,00;0,00;
0,00;0,00;158,36;0,13;0,00;0,00;
0,00;0,00;158,49;0,16;0,00;0,00;
0,00;0,00;158,62;0,13;0,00;0,00;
0,00;0,00;158,75;0,11;0,00;0,00;
0,00;0,00;158,87;0,11;0,00;0,00;
0,00;0,00;159,00;0,11;0,00;0,00;
0,00;0,00;159,13;0,13;0,00;0,00;
0,00;0,00;159,26;0,09;0,00;0,00;
0,00;0,00;159,39;0,16;0,00;0,00;
0,00;0,00;159,51;0,13;0,00;0,00;
0,00;0,00;159,64;0,13;0,00;0,00;
0,00;0,00;159,77;0,13;0,00;0,00;
0,00;0,00;159,90;0,13;0,00;0,00;
0,00;0,00;160,03;0,13;0,00;0,00;
0,00;0,00;160,15;0,16;0,00;0,00;
0,00;0,00;160,28;0,16;0,00;0,00;
0,00;0,00;160,41;0,11;0,00;0,00;
0,00;0,00;160,54;0,13;0,00;0,00;
0,00;0,00;160,67;0,16;0,00;0,00;
0,00;0,00;160,79;0,16;0,00;0,00;
0,00;0,00;160,89;0,11;0,00;0,00;
0,00;0,00;160,90;0,09;0,00;0,00;
0,00;0,00;160,84;-0,02;0,00;0,00;
0,00;0,00;160,30;-0,05;0,00;0,00;
0,00;0,00;159,43;0,20;0,00;0,00;
0,00;0,00;159,07;0,06;0,00;0,00;
0,00;0,00;158,97;0,02;0,00;0,00;
0,00;0,00;158,91;0,02;0,00;0,00;
0,00;0,00;158,90;0,07;0,00;0,00;
0,00;0,00;158,91;0,16;0,00;0,00;
0,00;0,00;159,03;0,13;0,00;0,00;
0,00;0,00;159,14;0,11;0,00;0,00;
0,00;0,00;159,28;0,11;0,00;0,00;
0,00;0,00;159,41;0,11;0,00;0,00;
0,00;0,00;159,54;0,11;0,00;0,00;
0,00;0,00;159,67;0,16;0,00;0,00;
0,00;0,00;159,80;0,11;0,00;0,00;
0,00;0,00;159,93;0,13;0,00;0,00;
0,00;0,00;160,06;0,11;0,00;0,00;
0,00;0,00;160,19;0,13;0,00;0,00;
0,00;0,00;160,32;0,16;0,00;0,00;
0,00;0,00;160,45;0,16;0,00;0,00;
0,00;0,00;160,58;0,18;0,00;0,00;
0,00;0,00;160,70;0,18;0,00;0,00;
0,00;0,00;160,83;0,16;0,00;0,00;
0,00;0,00;160,96;0,16;0,00;0,00;
0,00;0,00;161,09;0,13;0,00;0,00;
0,00;0,00;161,22;0,16;0,00;0,00;
0,00;0,00;161,35;0,18;0,00;0,00;
0,00;0,00;161,47;0,34;0,00;0,00;
0,00;0,00;161,60;0,36;0,00;0,00;
0,00;0,00;161,73;0,41;0,00;0,00;
0,00;0,00;161,85;0,72;0,00;0,00;
0,00;0,00;161,98;0,86;0,00;0,00;
0,00;0,00;162,11;0,95;0,00;0,00;
0,00;0,00;162,24;1,06;0,00;0,00;
0,00;0,00;162,37;1,18;0,00;0,00;
0,00;0,00;162,49;1,24;0,00;0,00;
0,00;0,00;162,62;1,36;0,00;0,00;
0,00;0,00;162,75;1,45;0,00;0,00;
0,00;0,00;162,88;1,54;0,00;0,00;
0,00;0,00;163,01;1,63;0,00;0,00;
0,00;0,00;163,13;1,69;0,00;0,00;
0,00;0,00;163,26;1,81;0,00;0,00;
0,00;0,00;163,39;1,88;0,00;0,00;
0,00;0,00;163,52;1,99;0,00;0,00;
0,00;0,00;163,65;2,08;0,00;0,00;
0,00;0,00;163,77;2,19;0,00;0,00;
0,00;0,00;163,90;2,28;0,00;0,00;
0,00;0,00;164,03;2,37;0,00;0,00;
0,00;0,00;164,16;2,49;0,00;0,00;
0,00;0,00;164,29;2,53;0,00;0,00;
0,00;0,00;164,41;2,64;0,00;0,00;
0,00;0,00;164,54;2,76;0,00;0,00;
0,00;0,00;164,67;2,89;0,00;0,00;
0,00;0,00;164,80;2,94;0,00;0,00;
0,00;0,00;164,93;3,07;0,00;0,00;
0,00;0,00;165,05;3,17;0,00;0,00;
0,00;0,00;165,18;3,26;0,00;0,00;
0,00;0,00;165,31;3,35;0,00;0,00;
0,00;0,00;165,44;3,46;0,00;0,00;
0,00;0,00;165,57;3,55;0,00;0,00;
0,00;0,00;165,69;3,62;0,00;0,00;
0,00;0,00;165,82;3,71;0,00;0,00;
0,00;0,00;165,95;3,84;0,00;0,00;
0,00;0,00;166,08;3,96;0,00;0,00;
0,00;0,00;166,21;4,05;0,00;0,00;
0,00;0,00;166,33;4,11;0,00;0,00;
0,00;0,00;166,46;4,23;0,00;0,00;
0,00;0,00;166,59;4,34;0,00;0,00;
0,00;0,00;166,72;4,43;0,00;0,00;
0,00;0,00;166,85;4,52;0,00;0,00;
0,00;0,00;166,97;4,56;0,00;0,00;
0,00;0,00;167,10;4,70;0,00;0,00;
0,00;0,00;167,23;4,77;0,00;0,00;
0,00;0,00;167,36;4,84;0,00;0,00;
0,00;0,00;167,49;4,98;0,00;0,00;
0,00;0,00;167,61;5,06;0,00;0,00;
0,00;0,00;167,74;5,16;0,00;0,00;
0,00;0,00;167,87;5,25;0,00;0,00;
0,00;0,00;168,00;6,87;0,00;0,00;
0,00;0,00;168,02;8,30;0,00;0,00;
0,00;0,00;168,03;8,43;0,00;0,00;
0,00;0,00;168,03;8,41;0,00;0,00;
0,00;0,00;168,03;8,50;0,00;0,00;
0,00;0,00;168,04;8,71;0,00;0,00;
0,00;0,00;168,04;8,93;0,00;0,00;
0,00;0,00;168,04;8,95;0,00;0,00;
0,00;0,00;168,04;9,00;0,00;0,00;
