54657;02.08.21 14:52:33;10;Repair_strategy;start interrupted (14);20210802091038P0045;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,25;0,22;0,00;0,00;
0,00;0,00;74,71;0,14;0,00;0,00;
0,00;0,00;75,48;0,14;0,00;0,00;
0,00;0,00;76,63;0,30;0,00;0,00;
0,00;0,00;78,18;0,30;0,00;0,00;
0,00;0,00;80,10;0,22;0,00;0,00;
0,00;0,00;82,40;0,22;0,00;0,00;
0,00;0,00;84,74;0,14;0,00;0,00;
0,00;0,00;87,13;0,14;0,00;0,00;
0,00;0,00;89,54;0,06;0,00;0,00;
0,00;0,00;91,94;0,22;0,00;0,00;
0,00;0,00;94,34;0,06;0,00;0,00;
0,00;0,00;96,74;0,14;0,00;0,00;
0,00;0,00;99,15;0,06;0,00;0,00;
0,00;0,00;101,54;0,06;0,00;0,00;
0,00;0,00;103,95;0,14;0,00;0,00;
0,00;0,00;106,35;0,06;0,00;0,00;
0,00;0,00;108,75;0,14;0,00;0,00;
0,00;0,00;111,15;0,06;0,00;0,00;
0,00;0,00;113,54;0,06;0,00;0,00;
0,00;0,00;115,95;0,14;0,00;0,00;
0,00;0,00;118,35;0,06;0,00;0,00;
0,00;0,00;120,75;0,06;0,00;0,00;
0,00;0,00;123,15;0,06;0,00;0,00;
0,00;0,00;127,95;0,06;0,00;0,00;
0,00;0,00;130,35;0,22;0,00;0,00;
0,00;0,00;132,74;0,06;0,00;0,00;
0,00;0,00;135,15;0,06;0,00;0,00;
0,00;0,00;137,54;0,06;0,00;0,00;
0,00;0,00;139,95;0,06;0,00;0,00;
0,00;0,00;142,35;0,14;0,00;0,00;
0,00;0,00;144,75;0,06;0,00;0,00;
0,00;0,00;147,15;0,06;0,00;0,00;
0,00;0,00;149,54;0,22;0,00;0,00;
0,00;0,00;151,95;0,14;0,00;0,00;
0,00;0,00;154,35;0,22;0,00;0,00;
0,00;0,00;156,74;0,22;0,00;0,00;
0,00;0,00;159,15;0,06;0,00;0,00;
0,00;0,00;161,54;0,14;0,00;0,00;
0,00;0,00;163,95;0,22;0,00;0,00;
0,00;0,00;166,35;0,30;0,00;0,00;
0,00;0,00;168,74;0,22;0,00;0,00;
0,00;0,00;171,15;0,14;0,00;0,00;
0,00;0,00;173,54;0,22;0,00;0,00;
0,00;0,00;175,80;0,06;0,00;0,00;
0,00;0,00;177,67;0,22;0,00;0,00;
0,00;0,00;179,23;0,22;0,00;0,00;
0,00;0,00;180,40;0,06;0,00;0,00;
0,00;0,00;181,68;0,14;0,00;0,00;
0,00;0,00;181,74;0,30;0,00;0,00;
0,00;0,00;181,91;0,06;0,00;0,00;
0,00;0,00;182,04;0,06;0,00;0,00;
0,00;0,00;182,21;0,06;0,00;0,00;
0,00;0,00;182,53;0,06;0,00;0,00;
0,00;0,00;182,69;0,06;0,00;0,00;
0,00;0,00;183,33;0,06;0,00;0,00;
0,00;0,00;183,49;0,06;0,00;0,00;
0,00;0,00;183,81;0,06;0,00;0,00;
0,00;0,00;184,13;0,14;0,00;0,00;
0,00;0,00;184,29;0,14;0,00;0,00;
0,00;0,00;184,45;0,06;0,00;0,00;
0,00;0,00;184,61;0,06;0,00;0,00;
0,00;0,00;184,77;0,06;0,00;0,00;
0,00;0,00;184,93;0,14;0,00;0,00;
0,00;0,00;185,09;0,30;0,00;0,00;
0,00;0,00;185,25;0,30;0,00;0,00;
0,00;0,00;185,41;0,30;0,00;0,00;
0,00;0,00;185,57;0,30;0,00;0,00;
0,00;0,00;185,73;0,30;0,00;0,00;
0,00;0,00;185,89;0,30;0,00;0,00;
0,00;0,00;186,05;0,45;0,00;0,00;
0,00;0,00;186,21;2,57;0,00;0,00;
0,00;0,00;186,36;4,94;0,00;0,00;
0,00;0,00;186,52;5,39;0,00;0,00;
0,00;0,00;186,68;5,23;0,00;0,00;
0,00;0,00;186,85;5,23;0,00;0,00;
0,00;0,00;187,01;5,47;0,00;0,00;
0,00;0,00;187,17;5,78;0,00;0,00;
0,00;0,00;187,33;5,78;0,00;0,00;
0,00;0,00;187,49;5,84;0,00;0,00;
0,00;0,00;187,65;6,23;0,00;0,00;
0,00;0,00;187,81;6,39;0,00;0,00;
0,00;0,00;187,97;6,39;0,00;0,00;
0,00;0,00;188,13;6,70;0,00;0,00;
0,00;0,00;188,29;6,92;0,00;0,00;
0,00;0,00;188,45;7,15;0,00;0,00;
0,00;0,00;188,61;7,45;0,00;0,00;
0,00;0,00;188,77;7,60;0,00;0,00;
0,00;0,00;188,93;7,76;0,00;0,00;
0,00;0,00;189,09;8,05;0,00;0,00;
0,00;0,00;189,12;5,84;0,00;0,00;
0,00;0,00;189,14;7,37;0,00;0,00;
0,00;0,00;189,14;7,30;0,00;0,00;
0,00;0,00;189,14;7,30;0,00;0,00;
0,00;0,00;189,14;7,23;0,00;0,00;
0,00;0,00;189,14;7,07;0,00;0,00;
0,00;0,00;189,14;6,99;0,00;0,00;
0,00;0,00;189,14;6,99;0,00;0,00;
0,00;0,00;189,14;6,99;0,00;0,00;
0,00;0,00;189,14;6,92;0,00;0,00;
0,00;0,00;189,14;6,99;0,00;0,00;
0,00;0,00;189,14;6,70;0,00;0,00;
0,00;0,00;189,14;6,70;0,00;0,00;
0,00;0,00;189,14;6,70;0,00;0,00;
0,00;0,00;189,14;6,70;0,00;0,00;
