25598;06.08.21 17:01:21;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;171,32;0,08;0,00;0,00;
0,00;0,00;171,64;0,12;0,00;0,00;
0,00;0,00;171,96;0,17;0,00;0,00;
0,00;0,00;172,28;0,04;0,00;0,00;
0,00;0,00;172,60;0,08;0,00;0,00;
0,00;0,00;172,92;0,12;0,00;0,00;
0,00;0,00;173,24;0,12;0,00;0,00;
0,00;0,00;173,56;0,08;0,00;0,00;
0,00;0,00;173,88;0,08;0,00;0,00;
0,00;0,00;174,20;0,12;0,00;0,00;
0,00;0,00;174,52;0,08;0,00;0,00;
0,00;0,00;174,84;0,04;0,00;0,00;
0,00;0,00;175,16;0,08;0,00;0,00;
0,00;0,00;175,48;0,08;0,00;0,00;
0,00;0,00;175,80;0,12;0,00;0,00;
0,00;0,00;176,12;0,04;0,00;0,00;
0,00;0,00;176,44;0,12;0,00;0,00;
0,00;0,00;176,76;0,12;0,00;0,00;
0,00;0,00;177,08;0,12;0,00;0,00;
0,00;0,00;177,40;0,04;0,00;0,00;
0,00;0,00;177,72;0,04;0,00;0,00;
0,00;0,00;178,04;0,08;0,00;0,00;
0,00;0,00;178,36;0,08;0,00;0,00;
0,00;0,00;178,68;0,04;0,00;0,00;
0,00;0,00;179,00;0,08;0,00;0,00;
0,00;0,00;179,32;0,12;0,00;0,00;
0,00;0,00;179,64;0,17;0,00;0,00;
0,00;0,00;179,96;0,17;0,00;0,00;
0,00;0,00;180,28;0,17;0,00;0,00;
0,00;0,00;180,60;0,17;0,00;0,00;
0,00;0,00;180,92;0,17;0,00;0,00;
0,00;0,00;181,24;0,17;0,00;0,00;
0,00;0,00;181,56;0,17;0,00;0,00;
0,00;0,00;181,88;0,17;0,00;0,00;
0,00;0,00;182,20;0,17;0,00;0,00;
0,00;0,00;182,52;0,21;0,00;0,00;
0,00;0,00;182,84;0,35;0,00;0,00;
0,00;0,00;183,16;0,35;0,00;0,00;
0,00;0,00;183,48;0,52;0,00;0,00;
0,00;0,00;183,80;0,69;0,00;0,00;
0,00;0,00;184,11;1,30;0,00;0,00;
0,00;0,00;184,43;1,69;0,00;0,00;
0,00;0,00;184,75;2,13;0,00;0,00;
0,00;0,00;185,07;2,61;0,00;0,00;
0,00;0,00;185,39;3,13;0,00;0,00;
0,00;0,00;185,71;3,78;0,00;0,00;
