2454;18.12.19 16:56:00;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20191218165203;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,18;0,00;0,00;
0,00;0,00;0,59;0,11;0,00;0,00;
0,00;0,00;1,60;0,16;0,00;0,00;
0,00;0,00;3,13;0,18;0,00;0,00;
0,00;0,00;5,18;0,16;0,00;0,00;
0,00;0,00;7,74;0,18;0,00;0,00;
0,00;0,00;10,73;0,18;0,00;0,00;
0,00;0,00;13,91;0,09;0,00;0,00;
0,00;0,00;17,09;0,16;0,00;0,00;
0,00;0,00;20,36;0,02;0,00;0,00;
0,00;0,00;23,51;0,06;0,00;0,00;
0,00;0,00;26,77;0,06;0,00;0,00;
0,00;0,00;29,92;0,06;0,00;0,00;
0,00;0,00;33,12;0,18;0,00;0,00;
0,00;0,00;36,39;0,02;0,00;0,00;
0,00;0,00;39,47;0,05;0,00;0,00;
0,00;0,00;42,69;0,27;0,00;0,00;
0,00;0,00;45,97;0,04;0,00;0,00;
0,00;0,00;49,07;0,09;0,00;0,00;
0,00;0,00;52,34;0,04;0,00;0,00;
0,00;0,00;55,52;0,11;0,00;0,00;
0,00;0,00;58,67;0,13;0,00;0,00;
0,00;0,00;61,99;0,04;0,00;0,00;
0,00;0,00;65,09;0,11;0,00;0,00;
0,00;0,00;68,25;0,20;0,00;0,00;
0,00;0,00;71,57;0,09;0,00;0,00;
0,00;0,00;74,67;0,09;0,00;0,00;
0,00;0,00;77,91;0,02;0,00;0,00;
0,00;0,00;81,12;0,07;0,00;0,00;
0,00;0,00;84,29;0,16;0,00;0,00;
0,00;0,00;87,54;0,07;0,00;0,00;
0,00;0,00;90,69;0,16;0,00;0,00;
0,00;0,00;93,94;0,04;0,00;0,00;
0,00;0,00;97,11;0,11;0,00;0,00;
0,00;0,00;100,33;0,07;0,00;0,00;
0,00;0,00;103,52;0,11;0,00;0,00;
0,00;0,00;106,73;0,13;0,00;0,00;
0,00;0,00;109,93;0,09;0,00;0,00;
0,00;0,00;113,13;0,11;0,00;0,00;
0,00;0,00;116,33;0,11;0,00;0,00;
0,00;0,00;119,53;0,09;0,00;0,00;
0,00;0,00;122,73;0,13;0,00;0,00;
0,00;0,00;125,93;0,05;0,00;0,00;
0,00;0,00;129,13;0,11;0,00;0,00;
0,00;0,00;132,33;0,09;0,00;0,00;
0,00;0,00;135,53;0,09;0,00;0,00;
0,00;0,00;138,73;0,11;0,00;0,00;
0,00;0,00;141,93;0,07;0,00;0,00;
0,00;0,00;145,13;0,09;0,00;0,00;
0,00;0,00;148,33;0,09;0,00;0,00;
0,00;0,00;151,53;0,09;0,00;0,00;
0,00;0,00;154,73;0,09;0,00;0,00;
0,00;0,00;157,93;0,05;0,00;0,00;
0,00;0,00;161,01;-0,02;0,00;0,00;
0,00;0,00;167,33;0,02;0,00;0,00;
0,00;0,00;168,44;-0,02;0,00;0,00;
0,00;0,00;169,03;-0,09;0,00;0,00;
0,00;0,00;169,23;-0,02;0,00;0,00;
0,00;0,00;169,32;-0,02;0,00;0,00;
0,00;0,00;169,45;0,02;0,00;0,00;
0,00;0,00;172,01;0,13;0,00;0,00;
0,00;0,00;172,17;0,18;0,00;0,00;
0,00;0,00;172,33;0,27;0,00;0,00;
0,00;0,00;172,49;0,48;0,00;0,00;
0,00;0,00;172,65;0,74;0,00;0,00;
0,00;0,00;172,80;1,02;0,00;0,00;
0,00;0,00;172,96;1,18;0,00;0,00;
0,00;0,00;173,12;1,26;0,00;0,00;
0,00;0,00;173,29;1,36;0,00;0,00;
0,00;0,00;173,45;1,47;0,00;0,00;
0,00;0,00;173,61;1,65;0,00;0,00;
0,00;0,00;173,71;1,54;0,00;0,00;
0,00;0,00;173,71;1,44;0,00;0,00;
0,00;0,00;173,65;0,66;0,00;0,00;
0,00;0,00;173,12;-0,29;0,00;0,00;
0,00;0,00;172,26;0,06;0,00;0,00;
0,00;0,00;171,89;-0,07;0,00;0,00;
0,00;0,00;171,77;-0,09;0,00;0,00;
0,00;0,00;171,70;-0,09;0,00;0,00;
0,00;0,00;171,69;-0,09;0,00;0,00;
0,00;0,00;172,50;0,02;0,00;0,00;
0,00;0,00;173,47;0,18;0,00;0,00;
0,00;0,00;173,63;0,18;0,00;0,00;
0,00;0,00;173,78;1,76;0,00;0,00;
0,00;0,00;173,93;1,87;0,00;0,00;
0,00;0,00;174,10;1,97;0,00;0,00;
0,00;0,00;174,26;2,01;0,00;0,00;
0,00;0,00;174,42;2,08;0,00;0,00;
0,00;0,00;174,59;2,08;0,00;0,00;
0,00;0,00;174,75;2,10;0,00;0,00;
0,00;0,00;174,91;2,24;0,00;0,00;
0,00;0,00;175,07;2,33;0,00;0,00;
0,00;0,00;175,23;2,44;0,00;0,00;
0,00;0,00;175,39;2,53;0,00;0,00;
0,00;0,00;175,55;2,67;0,00;0,00;
0,00;0,00;175,71;2,80;0,00;0,00;
0,00;0,00;175,87;2,85;0,00;0,00;
0,00;0,00;176,03;2,94;0,00;0,00;
0,00;0,00;176,19;3,05;0,00;0,00;
0,00;0,00;176,35;3,10;0,00;0,00;
0,00;0,00;176,51;3,18;0,00;0,00;
0,00;0,00;176,67;3,30;0,00;0,00;
0,00;0,00;176,83;3,35;0,00;0,00;
0,00;0,00;176,99;3,46;0,00;0,00;
0,00;0,00;177,15;3,55;0,00;0,00;
0,00;0,00;177,31;3,66;0,00;0,00;
0,00;0,00;177,47;3,78;0,00;0,00;
0,00;0,00;177,63;3,89;0,00;0,00;
0,00;0,00;177,79;3,96;0,00;0,00;
0,00;0,00;177,95;4,05;0,00;0,00;
0,00;0,00;178,11;4,11;0,00;0,00;
0,00;0,00;178,27;4,20;0,00;0,00;
0,00;0,00;178,43;4,27;0,00;0,00;
0,00;0,00;178,59;4,36;0,00;0,00;
0,00;0,00;178,75;4,43;0,00;0,00;
0,00;0,00;178,91;4,54;0,00;0,00;
0,00;0,00;179,07;4,61;0,00;0,00;
0,00;0,00;179,20;4,52;0,00;0,00;
0,00;0,00;179,22;4,29;0,00;0,00;
0,00;0,00;179,22;4,16;0,00;0,00;
0,00;0,00;178,96;0,13;0,00;0,00;
0,00;0,00;178,20;-0,23;0,00;0,00;
0,00;0,00;176,93;-0,23;0,00;0,00;
0,00;0,00;175,13;-0,25;0,00;0,00;
0,00;0,00;172,82;-0,24;0,00;0,00;
0,00;0,00;170,01;-0,23;0,00;0,00;
0,00;0,00;166,86;-0,18;0,00;0,00;
0,00;0,00;163,72;-0,20;0,00;0,00;
0,00;0,00;160,47;-0,18;0,00;0,00;
0,00;0,00;157,29;-0,22;0,00;0,00;
0,00;0,00;154,07;-0,14;0,00;0,00;
0,00;0,00;150,87;-0,23;0,00;0,00;
0,00;0,00;147,67;-0,16;0,00;0,00;
0,00;0,00;144,47;-0,18;0,00;0,00;
0,00;0,00;141,26;-0,18;0,00;0,00;
0,00;0,00;138,06;-0,12;0,00;0,00;
0,00;0,00;134,86;-0,16;0,00;0,00;
0,00;0,00;131,66;-0,18;0,00;0,00;
0,00;0,00;128,46;-0,18;0,00;0,00;
0,00;0,00;125,26;-0,18;0,00;0,00;
0,00;0,00;122,06;-0,14;0,00;0,00;
0,00;0,00;118,86;-0,18;0,00;0,00;
0,00;0,00;115,66;-0,18;0,00;0,00;
0,00;0,00;112,46;-0,20;0,00;0,00;
0,00;0,00;109,26;-0,18;0,00;0,00;
0,00;0,00;106,06;-0,16;0,00;0,00;
0,00;0,00;102,86;-0,20;0,00;0,00;
0,00;0,00;99,66;-0,18;0,00;0,00;
0,00;0,00;96,46;-0,18;0,00;0,00;
0,00;0,00;93,26;-0,20;0,00;0,00;
0,00;0,00;90,06;-0,16;0,00;0,00;
0,00;0,00;86,86;-0,23;0,00;0,00;
0,00;0,00;83,66;-0,16;0,00;0,00;
0,00;0,00;80,46;-0,20;0,00;0,00;
0,00;0,00;77,26;-0,18;0,00;0,00;
0,00;0,00;74,06;-0,16;0,00;0,00;
0,00;0,00;70,86;-0,20;0,00;0,00;
0,00;0,00;67,66;-0,18;0,00;0,00;
0,00;0,00;64,46;-0,18;0,00;0,00;
0,00;0,00;61,26;-0,18;0,00;0,00;
0,00;0,00;58,06;-0,18;0,00;0,00;
0,00;0,00;54,86;-0,20;0,00;0,00;
0,00;0,00;51,83;-0,12;0,00;0,00;
0,00;0,00;49,31;-0,09;0,00;0,00;
0,00;0,00;47,23;-0,12;0,00;0,00;
0,00;0,00;45,66;-0,09;0,00;0,00;
0,00;0,00;44,60;-0,05;0,00;0,00;
0,00;0,00;43,91;-0,07;0,00;0,00;
0,00;0,00;43,87;-0,07;0,00;0,00;
