50668;13.07.21 15:30:29;10;Repair_strategy;start interrupted (14);20210713145935P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;186,70;-0,16;0,00;0,00;
0,00;0,00;186,25;-0,39;0,00;0,00;
0,00;0,00;185,48;-0,39;0,00;0,00;
0,00;0,00;184,61;-0,16;0,00;0,00;
0,00;0,00;184,12;-0,23;0,00;0,00;
0,00;0,00;183,87;-0,08;0,00;0,00;
0,00;0,00;183,79;-0,31;0,00;0,00;
0,00;0,00;183,79;-0,23;0,00;0,00;
0,00;0,00;183,95;0,08;0,00;0,00;
0,00;0,00;185,37;0,08;0,00;0,00;
0,00;0,00;185,53;0,08;0,00;0,00;
0,00;0,00;185,69;0,08;0,00;0,00;
0,00;0,00;186,17;0,23;0,00;0,00;
0,00;0,00;186,33;0,16;0,00;0,00;
0,00;0,00;186,49;0,16;0,00;0,00;
0,00;0,00;186,65;0,08;0,00;0,00;
0,00;0,00;186,81;0,08;0,00;0,00;
0,00;0,00;187,13;0,08;0,00;0,00;
0,00;0,00;187,29;0,08;0,00;0,00;
0,00;0,00;187,61;0,08;0,00;0,00;
0,00;0,00;188,41;0,16;0,00;0,00;
0,00;0,00;188,73;0,16;0,00;0,00;
0,00;0,00;189,37;0,16;0,00;0,00;
0,00;0,00;189,53;0,16;0,00;0,00;
0,00;0,00;189,80;0,08;0,00;0,00;
0,00;0,00;189,80;0,08;0,00;0,00;
0,00;0,00;189,80;0,08;0,00;0,00;
0,00;0,00;189,80;0,08;0,00;0,00;
