15197;08.02.21 14:23:32;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210205134704P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,26;0,05;0,00;0,00;
0,00;0,00;1,05;0,05;0,00;0,00;
0,00;0,00;2,34;0,05;0,00;0,00;
0,00;0,00;4,15;0,05;0,00;0,00;
0,00;0,00;6,47;0,06;0,00;0,00;
0,00;0,00;9,30;0,06;0,00;0,00;
0,00;0,00;12,63;0,06;0,00;0,00;
0,00;0,00;16,12;0,04;0,00;0,00;
0,00;0,00;19,65;0,04;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,04;0,00;0,00;
0,00;0,00;30,21;0,05;0,00;0,00;
0,00;0,00;33,72;0,05;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,04;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,84;0,03;0,00;0,00;
0,00;0,00;58,36;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,05;0,00;0,00;
0,00;0,00;68,93;0,05;0,00;0,00;
0,00;0,00;72,45;0,04;0,00;0,00;
0,00;0,00;75,96;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,04;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,03;0,00;0,00;
0,00;0,00;93,57;0,03;0,00;0,00;
0,00;0,00;97,08;0,05;0,00;0,00;
0,00;0,00;100,61;0,04;0,00;0,00;
0,00;0,00;104,13;0,04;0,00;0,00;
0,00;0,00;107,65;0,03;0,00;0,00;
0,00;0,00;111,17;0,04;0,00;0,00;
0,00;0,00;114,69;0,05;0,00;0,00;
0,00;0,00;118,20;0,05;0,00;0,00;
0,00;0,00;121,66;0,01;0,00;0,00;
0,00;0,00;124,65;0,02;0,00;0,00;
0,00;0,00;127,17;0,02;0,00;0,00;
0,00;0,00;129,19;0,01;0,00;0,00;
0,00;0,00;130,72;0,01;0,00;0,00;
0,00;0,00;131,76;0,01;0,00;0,00;
0,00;0,00;132,41;0,01;0,00;0,00;
0,00;0,00;132,44;0,01;0,00;0,00;
0,00;0,00;132,52;0,01;0,00;0,00;
0,00;0,00;132,60;0,01;0,00;0,00;
0,00;0,00;132,68;0,02;0,00;0,00;
0,00;0,00;132,76;0,02;0,00;0,00;
0,00;0,00;132,84;0,02;0,00;0,00;
0,00;0,00;132,92;0,01;0,00;0,00;
0,00;0,00;133,00;0,01;0,00;0,00;
0,00;0,00;133,08;0,02;0,00;0,00;
0,00;0,00;133,16;0,02;0,00;0,00;
0,00;0,00;133,24;0,01;0,00;0,00;
0,00;0,00;133,32;0,01;0,00;0,00;
0,00;0,00;133,40;0,02;0,00;0,00;
0,00;0,00;133,48;0,02;0,00;0,00;
0,00;0,00;133,57;0,02;0,00;0,00;
0,00;0,00;133,64;0,02;0,00;0,00;
0,00;0,00;133,72;0,02;0,00;0,00;
0,00;0,00;133,81;0,02;0,00;0,00;
0,00;0,00;133,88;0,01;0,00;0,00;
0,00;0,00;133,96;0,02;0,00;0,00;
0,00;0,00;134,04;0,02;0,00;0,00;
0,00;0,00;134,13;0,02;0,00;0,00;
0,00;0,00;134,21;0,02;0,00;0,00;
0,00;0,00;134,28;0,02;0,00;0,00;
0,00;0,00;134,37;0,02;0,00;0,00;
0,00;0,00;134,45;0,02;0,00;0,00;
0,00;0,00;134,52;0,02;0,00;0,00;
0,00;0,00;134,60;0,02;0,00;0,00;
0,00;0,00;134,68;0,02;0,00;0,00;
0,00;0,00;134,77;0,02;0,00;0,00;
0,00;0,00;134,85;0,02;0,00;0,00;
0,00;0,00;134,92;0,01;0,00;0,00;
0,00;0,00;135,00;0,02;0,00;0,00;
0,00;0,00;135,08;0,02;0,00;0,00;
0,00;0,00;135,17;0,02;0,00;0,00;
0,00;0,00;135,24;0,02;0,00;0,00;
0,00;0,00;135,32;0,02;0,00;0,00;
0,00;0,00;135,40;0,02;0,00;0,00;
0,00;0,00;135,49;0,02;0,00;0,00;
0,00;0,00;135,56;0,02;0,00;0,00;
0,00;0,00;135,64;0,02;0,00;0,00;
0,00;0,00;135,72;0,02;0,00;0,00;
0,00;0,00;135,80;0,02;0,00;0,00;
0,00;0,00;135,88;0,02;0,00;0,00;
0,00;0,00;135,97;0,02;0,00;0,00;
0,00;0,00;136,04;0,02;0,00;0,00;
0,00;0,00;136,12;0,02;0,00;0,00;
0,00;0,00;136,20;0,01;0,00;0,00;
0,00;0,00;136,28;0,02;0,00;0,00;
0,00;0,00;136,37;0,02;0,00;0,00;
0,00;0,00;136,44;0,02;0,00;0,00;
0,00;0,00;136,52;0,02;0,00;0,00;
0,00;0,00;136,60;0,02;0,00;0,00;
0,00;0,00;136,68;0,01;0,00;0,00;
0,00;0,00;136,76;0,02;0,00;0,00;
0,00;0,00;136,84;0,02;0,00;0,00;
0,00;0,00;136,92;0,01;0,00;0,00;
0,00;0,00;137,00;0,02;0,00;0,00;
0,00;0,00;137,08;0,02;0,00;0,00;
0,00;0,00;137,17;0,02;0,00;0,00;
0,00;0,00;137,24;0,02;0,00;0,00;
0,00;0,00;137,32;0,01;0,00;0,00;
0,00;0,00;137,40;0,02;0,00;0,00;
0,00;0,00;137,48;0,02;0,00;0,00;
0,00;0,00;137,57;0,02;0,00;0,00;
0,00;0,00;137,65;0,02;0,00;0,00;
0,00;0,00;137,72;0,02;0,00;0,00;
0,00;0,00;137,80;0,02;0,00;0,00;
0,00;0,00;137,89;0,02;0,00;0,00;
0,00;0,00;137,97;0,02;0,00;0,00;
0,00;0,00;138,04;0,02;0,00;0,00;
0,00;0,00;138,12;0,02;0,00;0,00;
0,00;0,00;138,20;0,02;0,00;0,00;
0,00;0,00;138,28;0,02;0,00;0,00;
0,00;0,00;138,36;0,02;0,00;0,00;
0,00;0,00;138,44;0,02;0,00;0,00;
0,00;0,00;138,52;0,02;0,00;0,00;
0,00;0,00;138,60;0,02;0,00;0,00;
0,00;0,00;138,68;0,02;0,00;0,00;
0,00;0,00;138,77;0,02;0,00;0,00;
0,00;0,00;138,84;0,02;0,00;0,00;
0,00;0,00;138,92;0,02;0,00;0,00;
0,00;0,00;139,00;0,01;0,00;0,00;
0,00;0,00;139,08;0,02;0,00;0,00;
0,00;0,00;139,17;0,02;0,00;0,00;
0,00;0,00;139,25;0,02;0,00;0,00;
0,00;0,00;139,32;0,02;0,00;0,00;
0,00;0,00;139,40;0,02;0,00;0,00;
0,00;0,00;139,48;0,02;0,00;0,00;
0,00;0,00;139,56;0,02;0,00;0,00;
0,00;0,00;139,64;0,02;0,00;0,00;
0,00;0,00;139,72;0,02;0,00;0,00;
0,00;0,00;139,80;0,02;0,00;0,00;
0,00;0,00;139,88;0,01;0,00;0,00;
0,00;0,00;139,96;0,02;0,00;0,00;
0,00;0,00;140,05;0,02;0,00;0,00;
0,00;0,00;140,12;0,02;0,00;0,00;
0,00;0,00;140,20;0,02;0,00;0,00;
0,00;0,00;140,28;0,02;0,00;0,00;
0,00;0,00;140,37;0,02;0,00;0,00;
0,00;0,00;140,45;0,02;0,00;0,00;
0,00;0,00;140,52;0,02;0,00;0,00;
0,00;0,00;140,60;0,02;0,00;0,00;
0,00;0,00;140,69;0,02;0,00;0,00;
0,00;0,00;140,77;0,02;0,00;0,00;
0,00;0,00;140,84;0,02;0,00;0,00;
0,00;0,00;140,93;0,02;0,00;0,00;
0,00;0,00;141,01;0,02;0,00;0,00;
0,00;0,00;141,09;0,02;0,00;0,00;
0,00;0,00;141,16;0,02;0,00;0,00;
0,00;0,00;141,24;0,02;0,00;0,00;
0,00;0,00;141,33;0,02;0,00;0,00;
0,00;0,00;141,41;0,02;0,00;0,00;
0,00;0,00;141,48;0,02;0,00;0,00;
0,00;0,00;141,56;0,02;0,00;0,00;
0,00;0,00;141,65;0,02;0,00;0,00;
0,00;0,00;141,73;0,02;0,00;0,00;
0,00;0,00;141,80;0,02;0,00;0,00;
0,00;0,00;141,88;0,02;0,00;0,00;
0,00;0,00;141,96;0,02;0,00;0,00;
0,00;0,00;142,05;0,02;0,00;0,00;
0,00;0,00;142,12;0,01;0,00;0,00;
0,00;0,00;142,21;0,02;0,00;0,00;
0,00;0,00;142,28;0,01;0,00;0,00;
0,00;0,00;142,37;0,02;0,00;0,00;
0,00;0,00;142,45;0,02;0,00;0,00;
0,00;0,00;142,52;0,02;0,00;0,00;
0,00;0,00;142,60;0,02;0,00;0,00;
0,00;0,00;142,68;0,02;0,00;0,00;
0,00;0,00;142,76;0,01;0,00;0,00;
0,00;0,00;142,84;0,02;0,00;0,00;
0,00;0,00;142,93;0,02;0,00;0,00;
0,00;0,00;143,01;0,02;0,00;0,00;
0,00;0,00;143,08;0,02;0,00;0,00;
0,00;0,00;143,17;0,02;0,00;0,00;
0,00;0,00;143,24;0,02;0,00;0,00;
0,00;0,00;143,32;0,02;0,00;0,00;
0,00;0,00;143,40;0,02;0,00;0,00;
0,00;0,00;143,49;0,02;0,00;0,00;
0,00;0,00;143,57;0,02;0,00;0,00;
0,00;0,00;143,64;0,02;0,00;0,00;
0,00;0,00;143,72;0,02;0,00;0,00;
0,00;0,00;143,80;0,02;0,00;0,00;
0,00;0,00;143,88;0,02;0,00;0,00;
0,00;0,00;143,96;0,02;0,00;0,00;
0,00;0,00;144,04;0,02;0,00;0,00;
0,00;0,00;144,13;0,02;0,00;0,00;
0,00;0,00;144,21;0,02;0,00;0,00;
0,00;0,00;144,28;0,02;0,00;0,00;
0,00;0,00;144,37;0,02;0,00;0,00;
0,00;0,00;144,45;0,02;0,00;0,00;
0,00;0,00;144,52;0,02;0,00;0,00;
0,00;0,00;144,60;0,02;0,00;0,00;
0,00;0,00;144,68;0,02;0,00;0,00;
0,00;0,00;144,77;0,02;0,00;0,00;
0,00;0,00;144,85;0,02;0,00;0,00;
0,00;0,00;144,92;0,01;0,00;0,00;
0,00;0,00;145,00;0,02;0,00;0,00;
0,00;0,00;145,08;0,01;0,00;0,00;
0,00;0,00;145,17;0,02;0,00;0,00;
0,00;0,00;145,24;0,02;0,00;0,00;
0,00;0,00;145,32;0,02;0,00;0,00;
0,00;0,00;145,40;0,02;0,00;0,00;
0,00;0,00;145,49;0,02;0,00;0,00;
0,00;0,00;145,56;0,02;0,00;0,00;
0,00;0,00;145,64;0,02;0,00;0,00;
0,00;0,00;145,72;0,02;0,00;0,00;
0,00;0,00;145,80;0,02;0,00;0,00;
0,00;0,00;145,88;0,02;0,00;0,00;
0,00;0,00;145,96;0,02;0,00;0,00;
0,00;0,00;146,04;0,02;0,00;0,00;
0,00;0,00;146,12;0,02;0,00;0,00;
0,00;0,00;146,20;0,02;0,00;0,00;
0,00;0,00;146,28;0,01;0,00;0,00;
0,00;0,00;146,37;0,01;0,00;0,00;
0,00;0,00;146,44;0,01;0,00;0,00;
0,00;0,00;146,52;0,02;0,00;0,00;
0,00;0,00;146,60;0,02;0,00;0,00;
0,00;0,00;146,68;0,02;0,00;0,00;
0,00;0,00;146,77;0,02;0,00;0,00;
0,00;0,00;146,84;0,01;0,00;0,00;
0,00;0,00;146,92;0,02;0,00;0,00;
0,00;0,00;147,00;0,02;0,00;0,00;
0,00;0,00;147,08;0,02;0,00;0,00;
0,00;0,00;147,16;0,02;0,00;0,00;
0,00;0,00;147,24;0,02;0,00;0,00;
0,00;0,00;147,32;0,02;0,00;0,00;
0,00;0,00;147,40;0,02;0,00;0,00;
0,00;0,00;147,48;0,02;0,00;0,00;
0,00;0,00;147,57;0,02;0,00;0,00;
0,00;0,00;147,65;0,02;0,00;0,00;
0,00;0,00;147,72;0,02;0,00;0,00;
0,00;0,00;147,80;0,02;0,00;0,00;
0,00;0,00;147,89;0,02;0,00;0,00;
0,00;0,00;147,97;0,02;0,00;0,00;
0,00;0,00;148,04;0,02;0,00;0,00;
0,00;0,00;148,12;0,02;0,00;0,00;
0,00;0,00;148,20;0,02;0,00;0,00;
0,00;0,00;148,28;0,02;0,00;0,00;
0,00;0,00;148,36;0,02;0,00;0,00;
0,00;0,00;148,44;0,02;0,00;0,00;
0,00;0,00;148,52;0,02;0,00;0,00;
0,00;0,00;148,60;0,02;0,00;0,00;
0,00;0,00;148,68;0,01;0,00;0,00;
0,00;0,00;148,77;0,02;0,00;0,00;
0,00;0,00;148,84;0,02;0,00;0,00;
0,00;0,00;148,92;0,02;0,00;0,00;
0,00;0,00;149,00;0,02;0,00;0,00;
0,00;0,00;149,08;0,02;0,00;0,00;
0,00;0,00;149,17;0,02;0,00;0,00;
0,00;0,00;149,25;0,02;0,00;0,00;
0,00;0,00;149,32;0,02;0,00;0,00;
0,00;0,00;149,40;0,02;0,00;0,00;
0,00;0,00;149,48;0,02;0,00;0,00;
0,00;0,00;149,56;0,02;0,00;0,00;
0,00;0,00;149,64;0,02;0,00;0,00;
0,00;0,00;149,72;0,02;0,00;0,00;
0,00;0,00;149,80;0,02;0,00;0,00;
0,00;0,00;149,88;0,02;0,00;0,00;
0,00;0,00;149,96;0,02;0,00;0,00;
0,00;0,00;150,05;0,02;0,00;0,00;
0,00;0,00;150,12;0,02;0,00;0,00;
0,00;0,00;150,20;0,02;0,00;0,00;
0,00;0,00;150,28;0,02;0,00;0,00;
0,00;0,00;150,37;0,02;0,00;0,00;
0,00;0,00;150,45;0,02;0,00;0,00;
0,00;0,00;150,52;0,02;0,00;0,00;
0,00;0,00;150,60;0,02;0,00;0,00;
0,00;0,00;150,69;0,02;0,00;0,00;
0,00;0,00;150,77;0,02;0,00;0,00;
0,00;0,00;150,84;0,01;0,00;0,00;
0,00;0,00;150,92;0,01;0,00;0,00;
0,00;0,00;151,01;0,02;0,00;0,00;
0,00;0,00;151,09;0,02;0,00;0,00;
0,00;0,00;151,16;0,02;0,00;0,00;
0,00;0,00;151,24;0,02;0,00;0,00;
0,00;0,00;151,33;0,02;0,00;0,00;
0,00;0,00;151,41;0,02;0,00;0,00;
0,00;0,00;151,48;0,02;0,00;0,00;
0,00;0,00;151,56;0,02;0,00;0,00;
0,00;0,00;151,65;0,01;0,00;0,00;
