55906;23.08.21 14:07:54;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210823103820P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,41;0,16;0,00;0,00;
0,00;0,00;20,86;0,23;0,00;0,00;
0,00;0,00;21,63;0,23;0,00;0,00;
0,00;0,00;22,78;0,23;0,00;0,00;
0,00;0,00;24,33;0,23;0,00;0,00;
0,00;0,00;26,25;0,39;0,00;0,00;
0,00;0,00;28,55;0,31;0,00;0,00;
0,00;0,00;30,89;0,31;0,00;0,00;
0,00;0,00;33,28;0,31;0,00;0,00;
0,00;0,00;35,69;0,31;0,00;0,00;
0,00;0,00;38,10;0,31;0,00;0,00;
