55864;23.08.21 12:18:42;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210823111925A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,86;0,08;0,00;0,00;
0,00;0,00;21,63;0,23;0,00;0,00;
0,00;0,00;22,78;0,16;0,00;0,00;
0,00;0,00;24,33;0,16;0,00;0,00;
0,00;0,00;26,25;0,30;0,00;0,00;
0,00;0,00;28,55;0,16;0,00;0,00;
0,00;0,00;30,89;0,23;0,00;0,00;
0,00;0,00;33,28;0,16;0,00;0,00;
0,00;0,00;35,69;0,08;0,00;0,00;
0,00;0,00;38,10;0,08;0,00;0,00;
0,00;0,00;40,49;0,08;0,00;0,00;
0,00;0,00;45,30;0,23;0,00;0,00;
0,00;0,00;47,69;0,08;0,00;0,00;
0,00;0,00;50,10;0,16;0,00;0,00;
0,00;0,00;52,50;0,16;0,00;0,00;
0,00;0,00;57,30;0,16;0,00;0,00;
0,00;0,00;59,69;0,08;0,00;0,00;
0,00;0,00;62,10;0,08;0,00;0,00;
0,00;0,00;69,30;0,08;0,00;0,00;
0,00;0,00;71,69;0,08;0,00;0,00;
0,00;0,00;74,10;0,08;0,00;0,00;
0,00;0,00;76,50;0,16;0,00;0,00;
0,00;0,00;78,90;0,08;0,00;0,00;
0,00;0,00;81,30;0,08;0,00;0,00;
0,00;0,00;83,69;0,08;0,00;0,00;
0,00;0,00;86,10;0,08;0,00;0,00;
0,00;0,00;93,30;0,16;0,00;0,00;
0,00;0,00;95,69;0,08;0,00;0,00;
0,00;0,00;100,50;0,08;0,00;0,00;
0,00;0,00;102,90;0,08;0,00;0,00;
0,00;0,00;105,30;0,08;0,00;0,00;
0,00;0,00;107,69;0,08;0,00;0,00;
0,00;0,00;110,10;0,08;0,00;0,00;
0,00;0,00;112,50;0,08;0,00;0,00;
0,00;0,00;117,30;0,08;0,00;0,00;
0,00;0,00;119,69;0,08;0,00;0,00;
0,00;0,00;124,50;0,16;0,00;0,00;
0,00;0,00;131,69;0,08;0,00;0,00;
0,00;0,00;141,30;0,08;0,00;0,00;
0,00;0,00;143,69;0,08;0,00;0,00;
0,00;0,00;146,10;0,08;0,00;0,00;
0,00;0,00;153,29;0,16;0,00;0,00;
0,00;0,00;157,06;-0,08;0,00;0,00;
0,00;0,00;162,56;0,08;0,00;0,00;
0,00;0,00;162,88;0,08;0,00;0,00;
0,00;0,00;164,48;0,08;0,00;0,00;
0,00;0,00;165,60;0,08;0,00;0,00;
0,00;0,00;165,92;0,08;0,00;0,00;
0,00;0,00;166,08;0,08;0,00;0,00;
0,00;0,00;166,24;0,23;0,00;0,00;
0,00;0,00;166,40;0,16;0,00;0,00;
0,00;0,00;166,56;0,08;0,00;0,00;
0,00;0,00;166,72;0,08;0,00;0,00;
0,00;0,00;166,88;0,08;0,00;0,00;
0,00;0,00;167,04;0,23;0,00;0,00;
0,00;0,00;167,20;0,16;0,00;0,00;
0,00;0,00;167,52;0,16;0,00;0,00;
0,00;0,00;167,84;0,16;0,00;0,00;
0,00;0,00;168,16;0,08;0,00;0,00;
0,00;0,00;168,32;0,08;0,00;0,00;
0,00;0,00;168,48;0,16;0,00;0,00;
0,00;0,00;168,64;0,16;0,00;0,00;
0,00;0,00;168,80;0,16;0,00;0,00;
0,00;0,00;168,96;0,31;0,00;0,00;
0,00;0,00;169,12;0,23;0,00;0,00;
0,00;0,00;169,28;0,08;0,00;0,00;
0,00;0,00;169,44;0,16;0,00;0,00;
0,00;0,00;169,60;0,08;0,00;0,00;
0,00;0,00;169,76;0,31;0,00;0,00;
0,00;0,00;169,92;0,16;0,00;0,00;
0,00;0,00;170,08;0,08;0,00;0,00;
0,00;0,00;170,24;0,16;0,00;0,00;
0,00;0,00;170,56;0,23;0,00;0,00;
0,00;0,00;170,72;0,08;0,00;0,00;
0,00;0,00;170,88;0,08;0,00;0,00;
0,00;0,00;171,04;0,16;0,00;0,00;
0,00;0,00;171,36;0,08;0,00;0,00;
0,00;0,00;171,52;0,08;0,00;0,00;
0,00;0,00;171,84;0,16;0,00;0,00;
0,00;0,00;172,00;0,16;0,00;0,00;
0,00;0,00;172,16;0,08;0,00;0,00;
0,00;0,00;172,32;0,08;0,00;0,00;
0,00;0,00;172,48;0,16;0,00;0,00;
0,00;0,00;172,96;0,08;0,00;0,00;
0,00;0,00;173,12;0,23;0,00;0,00;
0,00;0,00;173,28;0,08;0,00;0,00;
0,00;0,00;173,60;0,08;0,00;0,00;
0,00;0,00;173,92;0,08;0,00;0,00;
0,00;0,00;174,08;0,08;0,00;0,00;
0,00;0,00;174,24;0,16;0,00;0,00;
0,00;0,00;174,40;0,08;0,00;0,00;
0,00;0,00;174,56;0,16;0,00;0,00;
0,00;0,00;174,72;0,08;0,00;0,00;
0,00;0,00;174,88;0,08;0,00;0,00;
0,00;0,00;175,04;0,08;0,00;0,00;
