18985;21.01.21 11:44:30;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210120165641A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;22,36;0,16;0,00;0,00;
0,00;0,00;22,81;0,23;0,00;0,00;
0,00;0,00;23,58;0,30;0,00;0,00;
0,00;0,00;24,73;0,16;0,00;0,00;
0,00;0,00;26,28;0,16;0,00;0,00;
0,00;0,00;28,20;0,37;0,00;0,00;
0,00;0,00;30,50;0,22;0,00;0,00;
0,00;0,00;32,84;0,37;0,00;0,00;
0,00;0,00;35,23;0,30;0,00;0,00;
0,00;0,00;37,64;0,23;0,00;0,00;
0,00;0,00;40,05;0,30;0,00;0,00;
0,00;0,00;42,44;0,30;0,00;0,00;
