22640;05.07.21 11:04:21;21;Avvicinamento Pressata Finale;position < min position (11);20210705084444P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,13;0,00;0,00;
0,00;0,00;1,12;-0,01;0,00;0,00;
0,00;0,00;4,20;-0,10;0,00;0,00;
0,00;0,00;8,82;-0,04;0,00;0,00;
0,00;0,00;13,62;-0,04;0,00;0,00;
0,00;0,00;18,42;-0,04;0,00;0,00;
0,00;0,00;23,22;-0,04;0,00;0,00;
0,00;0,00;32,82;-0,04;0,00;0,00;
0,00;0,00;37,62;-0,04;0,00;0,00;
0,00;0,00;42,42;-0,04;0,00;0,00;
0,00;0,00;47,22;-0,04;0,00;0,00;
0,00;0,00;52,02;-0,04;0,00;0,00;
0,00;0,00;61,62;-0,04;0,00;0,00;
0,00;0,00;66,42;-0,09;0,00;0,00;
0,00;0,00;71,22;-0,09;0,00;0,00;
0,00;0,00;76,02;-0,04;0,00;0,00;
0,00;0,00;80,82;-0,09;0,00;0,00;
0,00;0,00;85,62;-0,09;0,00;0,00;
0,00;0,00;90,42;-0,04;0,00;0,00;
0,00;0,00;95,22;-0,01;0,00;0,00;
0,00;0,00;100,02;-0,09;0,00;0,00;
0,00;0,00;104,82;-0,09;0,00;0,00;
0,00;0,00;109,62;-0,09;0,00;0,00;
0,00;0,00;119,22;-0,04;0,00;0,00;
0,00;0,00;124,02;-0,04;0,00;0,00;
0,00;0,00;128,82;-0,09;0,00;0,00;
0,00;0,00;133,62;-0,04;0,00;0,00;
0,00;0,00;138,42;-0,09;0,00;0,00;
0,00;0,00;143,22;-0,04;0,00;0,00;
0,00;0,00;148,02;-0,09;0,00;0,00;
0,00;0,00;152,82;-0,04;0,00;0,00;
0,00;0,00;157,62;-0,09;0,00;0,00;
0,00;0,00;162,42;-0,09;0,00;0,00;
0,00;0,00;167,22;-0,09;0,00;0,00;
0,00;0,00;172,02;-0,04;0,00;0,00;
0,00;0,00;176,82;-0,04;0,00;0,00;
0,00;0,00;181,62;-0,04;0,00;0,00;
0,00;0,00;186,42;-0,09;0,00;0,00;
0,00;0,00;191,22;-0,09;0,00;0,00;
0,00;0,00;205,62;-0,09;0,00;0,00;
0,00;0,00;210,42;-0,09;0,00;0,00;
0,00;0,00;215,22;-0,04;0,00;0,00;
0,00;0,00;220,02;-0,09;0,00;0,00;
0,00;0,00;224,82;-0,04;0,00;0,00;
0,00;0,00;229,62;-0,04;0,00;0,00;
0,00;0,00;248,82;-0,09;0,00;0,00;
0,00;0,00;253,62;-0,04;0,00;0,00;
0,00;0,00;263,22;-0,04;0,00;0,00;
0,00;0,00;268,02;-0,09;0,00;0,00;
0,00;0,00;277,62;-0,04;0,00;0,00;
0,00;0,00;282,42;-0,04;0,00;0,00;
0,00;0,00;286,91;-0,13;0,00;0,00;
0,00;0,00;289,70;-0,13;0,00;0,00;
0,00;0,00;290,55;-0,04;0,00;0,00;
0,00;0,00;290,60;-0,04;0,00;0,00;
0,00;0,00;290,80;-0,04;0,00;0,00;
0,00;0,00;299,76;0,04;0,00;0,00;
0,00;0,00;302,64;0,21;0,00;0,00;
0,00;0,00;302,95;2,78;0,00;0,00;
0,00;0,00;303,25;8,39;0,00;0,00;
0,00;0,00;303,54;19,13;0,00;0,00;
0,00;0,00;303,79;27,08;0,00;0,00;
0,00;0,00;303,82;27,31;0,00;0,00;
0,00;0,00;303,83;27,79;0,00;0,00;
0,00;0,00;303,85;28,01;0,00;0,00;
0,00;0,00;303,85;28,01;0,00;0,00;
0,00;0,00;303,85;28,01;0,00;0,00;
0,00;0,00;303,85;28,01;0,00;0,00;
0,00;0,00;303,86;27,92;0,00;0,00;
0,00;0,00;303,86;27,83;0,00;0,00;
0,00;0,00;303,86;27,83;0,00;0,00;
0,00;0,00;303,86;27,83;0,00;0,00;
0,00;0,00;303,86;27,88;0,00;0,00;
