35068;02.03.21 14:46:13;10;Repair_strategy;start interrupted (14);20210302115334P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;43,96;0,16;0,00;0,00;
0,00;0,00;44,51;0,11;0,00;0,00;
0,00;0,00;45,53;0,13;0,00;0,00;
0,00;0,00;47,06;0,13;0,00;0,00;
0,00;0,00;49,11;0,11;0,00;0,00;
0,00;0,00;51,67;0,13;0,00;0,00;
0,00;0,00;54,73;0,11;0,00;0,00;
0,00;0,00;57,85;0,09;0,00;0,00;
0,00;0,00;61,03;0,09;0,00;0,00;
0,00;0,00;64,25;0,07;0,00;0,00;
0,00;0,00;67,44;0,04;0,00;0,00;
0,00;0,00;70,65;0,11;0,00;0,00;
0,00;0,00;73,85;0,05;0,00;0,00;
0,00;0,00;77,05;0,06;0,00;0,00;
0,00;0,00;80,25;0,07;0,00;0,00;
0,00;0,00;83,45;0,09;0,00;0,00;
0,00;0,00;86,65;0,09;0,00;0,00;
0,00;0,00;89,85;0,06;0,00;0,00;
0,00;0,00;93,05;0,05;0,00;0,00;
0,00;0,00;96,25;0,09;0,00;0,00;
0,00;0,00;99,45;0,07;0,00;0,00;
0,00;0,00;102,65;0,09;0,00;0,00;
0,00;0,00;105,85;0,05;0,00;0,00;
0,00;0,00;109,05;0,06;0,00;0,00;
0,00;0,00;112,25;0,07;0,00;0,00;
0,00;0,00;115,45;0,09;0,00;0,00;
0,00;0,00;118,65;0,09;0,00;0,00;
0,00;0,00;121,85;0,07;0,00;0,00;
0,00;0,00;125,05;0,02;0,00;0,00;
0,00;0,00;128,25;0,07;0,00;0,00;
0,00;0,00;131,45;0,07;0,00;0,00;
0,00;0,00;134,65;0,09;0,00;0,00;
0,00;0,00;137,85;0,05;0,00;0,00;
0,00;0,00;141,05;0,09;0,00;0,00;
0,00;0,00;144,25;0,07;0,00;0,00;
0,00;0,00;147,45;0,04;0,00;0,00;
0,00;0,00;150,65;0,06;0,00;0,00;
0,00;0,00;153,85;0,05;0,00;0,00;
0,00;0,00;157,05;0,06;0,00;0,00;
0,00;0,00;160,21;-0,02;0,00;0,00;
0,00;0,00;162,90;0,02;0,00;0,00;
0,00;0,00;166,91;-0,02;0,00;0,00;
0,00;0,00;168,15;-0,05;0,00;0,00;
0,00;0,00;168,90;-0,09;0,00;0,00;
0,00;0,00;169,14;-0,07;0,00;0,00;
0,00;0,00;169,21;-0,02;0,00;0,00;
0,00;0,00;169,65;0,02;0,00;0,00;
0,00;0,00;171,25;0,13;0,00;0,00;
0,00;0,00;171,41;0,18;0,00;0,00;
0,00;0,00;171,57;0,20;0,00;0,00;
0,00;0,00;171,73;0,56;0,00;0,00;
0,00;0,00;171,88;0,99;0,00;0,00;
0,00;0,00;172,04;1,65;0,00;0,00;
0,00;0,00;172,20;2,49;0,00;0,00;
0,00;0,00;172,35;3,50;0,00;0,00;
0,00;0,00;172,50;4,41;0,00;0,00;
0,00;0,00;172,66;5,27;0,00;0,00;
0,00;0,00;172,82;6,06;0,00;0,00;
0,00;0,00;172,98;6,97;0,00;0,00;
0,00;0,00;173,14;7,87;0,00;0,00;
0,00;0,00;173,26;8,46;0,00;0,00;
0,00;0,00;173,27;8,46;0,00;0,00;
0,00;0,00;173,28;8,50;0,00;0,00;
0,00;0,00;173,29;8,50;0,00;0,00;
0,00;0,00;173,29;8,50;0,00;0,00;
0,00;0,00;173,29;8,50;0,00;0,00;
0,00;0,00;173,29;8,50;0,00;0,00;
0,00;0,00;173,29;8,50;0,00;0,00;
0,00;0,00;173,30;8,50;0,00;0,00;
0,00;0,00;173,30;8,50;0,00;0,00;
0,00;0,00;173,30;8,48;0,00;0,00;
0,00;0,00;173,30;8,48;0,00;0,00;
0,00;0,00;173,30;8,43;0,00;0,00;
0,00;0,00;173,30;8,41;0,00;0,00;
