8287;27.03.20 10:49:10;10;Repair_strategy;force > max. force (8);20200327062640P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,01;0,00;0,00;
0,00;0,00;0,05;0,07;0,00;0,00;
0,00;0,00;0,58;0,07;0,00;0,00;
0,00;0,00;1,62;0,07;0,00;0,00;
0,00;0,00;3,17;0,06;0,00;0,00;
0,00;0,00;5,24;0,07;0,00;0,00;
0,00;0,00;7,81;0,08;0,00;0,00;
0,00;0,00;10,90;0,08;0,00;0,00;
0,00;0,00;14,38;0,03;0,00;0,00;
0,00;0,00;17,89;0,05;0,00;0,00;
0,00;0,00;21,41;0,06;0,00;0,00;
0,00;0,00;24,93;0,04;0,00;0,00;
0,00;0,00;28,45;0,03;0,00;0,00;
0,00;0,00;31,97;0,03;0,00;0,00;
0,00;0,00;35,49;0,04;0,00;0,00;
0,00;0,00;39,01;0,06;0,00;0,00;
0,00;0,00;42,53;0,03;0,00;0,00;
0,00;0,00;46,05;0,02;0,00;0,00;
0,00;0,00;49,57;0,03;0,00;0,00;
0,00;0,00;53,09;0,04;0,00;0,00;
0,00;0,00;56,61;0,05;0,00;0,00;
0,00;0,00;60,13;0,04;0,00;0,00;
0,00;0,00;63,65;0,03;0,00;0,00;
0,00;0,00;67,17;0,04;0,00;0,00;
0,00;0,00;70,69;0,05;0,00;0,00;
0,00;0,00;74,21;0,05;0,00;0,00;
0,00;0,00;77,73;0,04;0,00;0,00;
0,00;0,00;81,25;0,03;0,00;0,00;
0,00;0,00;84,77;0,02;0,00;0,00;
0,00;0,00;88,28;0,02;0,00;0,00;
0,00;0,00;91,38;0,01;0,00;0,00;
0,00;0,00;94,03;0,01;0,00;0,00;
0,00;0,00;96,17;0,01;0,00;0,00;
0,00;0,00;98,97;0,01;0,00;0,00;
0,00;0,00;99,81;0,24;0,00;0,00;
0,00;0,00;99,82;0,23;0,00;0,00;
0,00;0,00;99,92;0,46;0,00;0,00;
0,00;0,00;100,06;0,53;0,00;0,00;
0,00;0,00;100,21;0,60;0,00;0,00;
0,00;0,00;100,35;0,66;0,00;0,00;
0,00;0,00;100,50;0,71;0,00;0,00;
0,00;0,00;100,64;0,77;0,00;0,00;
0,00;0,00;100,79;0,81;0,00;0,00;
0,00;0,00;100,93;0,84;0,00;0,00;
0,00;0,00;101,08;0,90;0,00;0,00;
0,00;0,00;101,22;0,93;0,00;0,00;
0,00;0,00;101,36;0,95;0,00;0,00;
0,00;0,00;101,51;0,97;0,00;0,00;
0,00;0,00;101,65;0,96;0,00;0,00;
0,00;0,00;101,80;0,95;0,00;0,00;
0,00;0,00;101,81;0,97;0,00;0,00;
0,00;0,00;101,80;0,84;0,00;0,00;
0,00;0,00;101,41;-0,01;0,00;0,00;
0,00;0,00;100,49;-0,02;0,00;0,00;
0,00;0,00;99,21;0,03;0,00;0,00;
0,00;0,00;98,31;0,02;0,00;0,00;
0,00;0,00;97,85;0,03;0,00;0,00;
0,00;0,00;97,79;0,02;0,00;0,00;
0,00;0,00;97,79;0,03;0,00;0,00;
0,00;0,00;97,87;0,01;0,00;0,00;
0,00;0,00;98,02;0,01;0,00;0,00;
0,00;0,00;98,17;0,03;0,00;0,00;
0,00;0,00;98,32;0,02;0,00;0,00;
0,00;0,00;98,46;0,02;0,00;0,00;
0,00;0,00;98,61;0,02;0,00;0,00;
0,00;0,00;98,75;0,02;0,00;0,00;
0,00;0,00;98,90;0,02;0,00;0,00;
0,00;0,00;99,04;0,02;0,00;0,00;
0,00;0,00;99,19;0,02;0,00;0,00;
0,00;0,00;99,33;0,02;0,00;0,00;
0,00;0,00;99,47;0,02;0,00;0,00;
0,00;0,00;99,62;0,02;0,00;0,00;
