3264;12.02.20 09:13:17;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20200211155235;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,02;0,00;0,00;
0,00;0,00;0,05;0,13;0,00;0,00;
0,00;0,00;0,59;0,06;0,00;0,00;
0,00;0,00;1,61;0,06;0,00;0,00;
0,00;0,00;3,14;0,06;0,00;0,00;
0,00;0,00;5,19;0,04;0,00;0,00;
0,00;0,00;7,76;0,09;0,00;0,00;
0,00;0,00;10,77;0,09;0,00;0,00;
0,00;0,00;13,95;0,02;0,00;0,00;
0,00;0,00;17,08;0,02;0,00;0,00;
0,00;0,00;20,39;-0,09;0,00;0,00;
0,00;0,00;23,54;0,04;0,00;0,00;
0,00;0,00;26,67;0,09;0,00;0,00;
0,00;0,00;29,98;-0,05;0,00;0,00;
0,00;0,00;33,10;0,02;0,00;0,00;
0,00;0,00;36,34;-0,00;0,00;0,00;
0,00;0,00;42,72;0,06;0,00;0,00;
0,00;0,00;49,13;0,06;0,00;0,00;
0,00;0,00;52,34;0,02;0,00;0,00;
0,00;0,00;55,54;0,04;0,00;0,00;
0,00;0,00;58,74;0,04;0,00;0,00;
0,00;0,00;65,14;0,04;0,00;0,00;
0,00;0,00;68,34;-0,00;0,00;0,00;
0,00;0,00;71,54;-0,00;0,00;0,00;
0,00;0,00;81,14;0,02;0,00;0,00;
0,00;0,00;84,34;0,02;0,00;0,00;
0,00;0,00;87,54;0,02;0,00;0,00;
0,00;0,00;93,94;0,02;0,00;0,00;
0,00;0,00;97,14;0,02;0,00;0,00;
0,00;0,00;100,34;-0,02;0,00;0,00;
0,00;0,00;103,54;0,02;0,00;0,00;
0,00;0,00;106,74;0,02;0,00;0,00;
0,00;0,00;113,14;0,02;0,00;0,00;
0,00;0,00;116,34;0,02;0,00;0,00;
0,00;0,00;119,54;0,04;0,00;0,00;
0,00;0,00;122,74;0,04;0,00;0,00;
0,00;0,00;125,94;-0,02;0,00;0,00;
0,00;0,00;129,14;0,04;0,00;0,00;
0,00;0,00;132,34;0,02;0,00;0,00;
0,00;0,00;135,54;0,02;0,00;0,00;
0,00;0,00;141,88;-0,12;0,00;0,00;
0,00;0,00;144,50;-0,05;0,00;0,00;
0,00;0,00;146,72;-0,07;0,00;0,00;
0,00;0,00;148,45;-0,07;0,00;0,00;
0,00;0,00;149,68;-0,12;0,00;0,00;
0,00;0,00;150,41;-0,16;0,00;0,00;
0,00;0,00;150,65;-0,14;0,00;0,00;
0,00;0,00;150,72;-0,12;0,00;0,00;
0,00;0,00;150,74;-0,02;0,00;0,00;
0,00;0,00;150,88;-0,09;0,00;0,00;
0,00;0,00;151,03;-0,09;0,00;0,00;
0,00;0,00;151,19;-0,07;0,00;0,00;
0,00;0,00;151,35;-0,07;0,00;0,00;
0,00;0,00;151,51;-0,07;0,00;0,00;
0,00;0,00;151,67;-0,07;0,00;0,00;
0,00;0,00;151,83;-0,07;0,00;0,00;
0,00;0,00;151,99;-0,07;0,00;0,00;
0,00;0,00;152,15;-0,07;0,00;0,00;
0,00;0,00;152,31;-0,07;0,00;0,00;
0,00;0,00;152,47;-0,07;0,00;0,00;
0,00;0,00;152,63;-0,07;0,00;0,00;
0,00;0,00;152,79;-0,07;0,00;0,00;
0,00;0,00;152,95;-0,07;0,00;0,00;
0,00;0,00;153,11;-0,07;0,00;0,00;
0,00;0,00;153,27;-0,07;0,00;0,00;
0,00;0,00;153,43;-0,07;0,00;0,00;
0,00;0,00;153,59;-0,07;0,00;0,00;
0,00;0,00;153,75;-0,07;0,00;0,00;
0,00;0,00;153,91;-0,07;0,00;0,00;
0,00;0,00;154,07;-0,07;0,00;0,00;
0,00;0,00;154,23;-0,07;0,00;0,00;
0,00;0,00;154,39;-0,07;0,00;0,00;
0,00;0,00;154,55;-0,07;0,00;0,00;
0,00;0,00;154,71;-0,07;0,00;0,00;
0,00;0,00;154,87;-0,07;0,00;0,00;
0,00;0,00;155,03;-0,07;0,00;0,00;
0,00;0,00;155,19;-0,07;0,00;0,00;
0,00;0,00;155,35;-0,07;0,00;0,00;
0,00;0,00;155,51;-0,07;0,00;0,00;
0,00;0,00;155,67;-0,07;0,00;0,00;
0,00;0,00;155,72;-0,07;0,00;0,00;
0,00;0,00;155,72;-0,09;0,00;0,00;
0,00;0,00;155,44;-0,25;0,00;0,00;
0,00;0,00;154,66;-0,30;0,00;0,00;
0,00;0,00;154,01;-0,14;0,00;0,00;
0,00;0,00;153,81;-0,12;0,00;0,00;
0,00;0,00;153,72;-0,12;0,00;0,00;
0,00;0,00;153,69;-0,16;0,00;0,00;
0,00;0,00;153,69;-0,16;0,00;0,00;
0,00;0,00;153,81;-0,09;0,00;0,00;
0,00;0,00;153,96;-0,07;0,00;0,00;
0,00;0,00;154,12;-0,05;0,00;0,00;
0,00;0,00;154,29;-0,07;0,00;0,00;
0,00;0,00;154,46;-0,07;0,00;0,00;
0,00;0,00;154,62;-0,07;0,00;0,00;
0,00;0,00;154,78;-0,07;0,00;0,00;
