3183;10.02.20 11:25:28;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20200210100417;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,29;0,00;0,00;
0,00;0,00;0,60;0,22;0,00;0,00;
0,00;0,00;1,62;0,24;0,00;0,00;
0,00;0,00;3,15;0,24;0,00;0,00;
0,00;0,00;5,19;0,24;0,00;0,00;
0,00;0,00;7,76;0,27;0,00;0,00;
0,00;0,00;10,79;0,27;0,00;0,00;
0,00;0,00;13,94;0,18;0,00;0,00;
0,00;0,00;17,06;0,20;0,00;0,00;
0,00;0,00;20,35;0,11;0,00;0,00;
0,00;0,00;23,55;0,24;0,00;0,00;
0,00;0,00;26,64;0,20;0,00;0,00;
0,00;0,00;29,92;0,06;0,00;0,00;
0,00;0,00;33,15;0,13;0,00;0,00;
0,00;0,00;36,25;0,22;0,00;0,00;
0,00;0,00;39,53;0,18;0,00;0,00;
0,00;0,00;42,74;0,18;0,00;0,00;
0,00;0,00;45,85;0,20;0,00;0,00;
0,00;0,00;49,15;0,18;0,00;0,00;
0,00;0,00;52,30;0,20;0,00;0,00;
0,00;0,00;55,50;0,20;0,00;0,00;
0,00;0,00;58,73;0,20;0,00;0,00;
0,00;0,00;61,90;0,18;0,00;0,00;
0,00;0,00;65,13;0,18;0,00;0,00;
0,00;0,00;68,32;0,18;0,00;0,00;
0,00;0,00;71,52;0,20;0,00;0,00;
0,00;0,00;74,72;0,18;0,00;0,00;
0,00;0,00;77,92;0,18;0,00;0,00;
0,00;0,00;81,13;0,24;0,00;0,00;
0,00;0,00;84,33;0,18;0,00;0,00;
0,00;0,00;87,52;0,20;0,00;0,00;
0,00;0,00;90,72;0,22;0,00;0,00;
0,00;0,00;93,93;0,16;0,00;0,00;
0,00;0,00;97,13;0,22;0,00;0,00;
0,00;0,00;100,32;0,20;0,00;0,00;
0,00;0,00;103,52;0,22;0,00;0,00;
0,00;0,00;106,72;0,24;0,00;0,00;
0,00;0,00;109,93;0,20;0,00;0,00;
0,00;0,00;113,13;0,22;0,00;0,00;
0,00;0,00;116,33;0,22;0,00;0,00;
0,00;0,00;119,53;0,20;0,00;0,00;
0,00;0,00;122,72;0,24;0,00;0,00;
0,00;0,00;125,93;0,13;0,00;0,00;
0,00;0,00;129,13;0,22;0,00;0,00;
0,00;0,00;132,33;0,18;0,00;0,00;
0,00;0,00;135,52;0,20;0,00;0,00;
0,00;0,00;138,73;0,20;0,00;0,00;
0,00;0,00;141,93;0,20;0,00;0,00;
0,00;0,00;145,13;0,18;0,00;0,00;
0,00;0,00;148,33;0,22;0,00;0,00;
0,00;0,00;151,41;0,09;0,00;0,00;
0,00;0,00;154,00;0,15;0,00;0,00;
0,00;0,00;156,16;0,13;0,00;0,00;
0,00;0,00;157,84;0,11;0,00;0,00;
0,00;0,00;159,02;0,09;0,00;0,00;
0,00;0,00;159,70;0,06;0,00;0,00;
0,00;0,00;159,91;0,09;0,00;0,00;
0,00;0,00;159,97;0,09;0,00;0,00;
0,00;0,00;159,98;0,13;0,00;0,00;
0,00;0,00;159,99;0,09;0,00;0,00;
0,00;0,00;159,98;0,06;0,00;0,00;
0,00;0,00;159,98;0,04;0,00;0,00;
0,00;0,00;159,97;0,09;0,00;0,00;
0,00;0,00;159,97;0,09;0,00;0,00;
0,00;0,00;159,97;0,09;0,00;0,00;
0,00;0,00;159,97;0,09;0,00;0,00;
0,00;0,00;159,96;0,06;0,00;0,00;
0,00;0,00;159,96;0,09;0,00;0,00;
0,00;0,00;159,96;0,09;0,00;0,00;
0,00;0,00;159,96;0,09;0,00;0,00;
0,00;0,00;159,96;0,09;0,00;0,00;
0,00;0,00;159,96;0,06;0,00;0,00;
