2282;17.12.19 14:48:55;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20191217144209;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,20;0,00;0,00;
0,00;0,00;44,95;0,16;0,00;0,00;
0,00;0,00;46,21;0,16;0,00;0,00;
0,00;0,00;48,00;0,16;0,00;0,00;
0,00;0,00;50,30;0,23;0,00;0,00;
0,00;0,00;53,12;0,16;0,00;0,00;
0,00;0,00;56,28;0,09;0,00;0,00;
0,00;0,00;59,40;0,16;0,00;0,00;
0,00;0,00;62,62;0,25;0,00;0,00;
0,00;0,00;65,88;0,12;0,00;0,00;
0,00;0,00;68,98;0,12;0,00;0,00;
0,00;0,00;72,27;0,07;0,00;0,00;
0,00;0,00;75,41;0,13;0,00;0,00;
0,00;0,00;78,63;0,20;0,00;0,00;
0,00;0,00;81,84;0,16;0,00;0,00;
0,00;0,00;85,03;0,14;0,00;0,00;
0,00;0,00;88,24;0,12;0,00;0,00;
0,00;0,00;91,44;0,09;0,00;0,00;
0,00;0,00;94,64;0,12;0,00;0,00;
0,00;0,00;97,84;0,12;0,00;0,00;
0,00;0,00;101,04;0,12;0,00;0,00;
0,00;0,00;104,24;0,14;0,00;0,00;
0,00;0,00;107,44;0,14;0,00;0,00;
0,00;0,00;110,64;0,13;0,00;0,00;
0,00;0,00;113,84;0,14;0,00;0,00;
0,00;0,00;117,04;0,12;0,00;0,00;
0,00;0,00;120,24;0,14;0,00;0,00;
0,00;0,00;123,44;0,12;0,00;0,00;
0,00;0,00;126,64;0,16;0,00;0,00;
0,00;0,00;129,84;0,12;0,00;0,00;
0,00;0,00;133,04;0,09;0,00;0,00;
0,00;0,00;136,24;0,12;0,00;0,00;
0,00;0,00;139,44;0,09;0,00;0,00;
0,00;0,00;142,64;0,16;0,00;0,00;
0,00;0,00;145,84;0,14;0,00;0,00;
0,00;0,00;149,04;0,07;0,00;0,00;
0,00;0,00;152,24;0,12;0,00;0,00;
0,00;0,00;155,44;0,14;0,00;0,00;
0,00;0,00;158,64;0,12;0,00;0,00;
0,00;0,00;161,84;0,14;0,00;0,00;
