1985;13.12.19 11:23:30;10;Repair_strategy;force > max. force (8);20191213111253;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;43,90;0,02;0,00;0,00;
0,00;0,00;44,17;0,18;0,00;0,00;
0,00;0,00;44,95;0,16;0,00;0,00;
0,00;0,00;46,22;0,16;0,00;0,00;
0,00;0,00;48,01;0,18;0,00;0,00;
0,00;0,00;50,31;0,20;0,00;0,00;
0,00;0,00;53,13;0,20;0,00;0,00;
0,00;0,00;56,30;0,09;0,00;0,00;
0,00;0,00;59,41;0,20;0,00;0,00;
0,00;0,00;62,65;0,20;0,00;0,00;
0,00;0,00;65,84;0,18;0,00;0,00;
0,00;0,00;69,04;0,13;0,00;0,00;
0,00;0,00;72,24;0,16;0,00;0,00;
0,00;0,00;75,44;0,11;0,00;0,00;
0,00;0,00;78,65;0,18;0,00;0,00;
0,00;0,00;81,85;0,13;0,00;0,00;
0,00;0,00;85,05;0,16;0,00;0,00;
0,00;0,00;88,25;0,16;0,00;0,00;
0,00;0,00;91,45;0,13;0,00;0,00;
0,00;0,00;94,65;0,16;0,00;0,00;
0,00;0,00;97,85;0,13;0,00;0,00;
0,00;0,00;101,05;0,13;0,00;0,00;
0,00;0,00;104,25;0,16;0,00;0,00;
0,00;0,00;107,45;0,16;0,00;0,00;
0,00;0,00;110,64;0,16;0,00;0,00;
0,00;0,00;113,85;0,16;0,00;0,00;
0,00;0,00;117,05;0,16;0,00;0,00;
0,00;0,00;120,25;0,16;0,00;0,00;
0,00;0,00;123,44;0,13;0,00;0,00;
0,00;0,00;126,65;0,18;0,00;0,00;
0,00;0,00;129,85;0,16;0,00;0,00;
0,00;0,00;133,05;0,13;0,00;0,00;
0,00;0,00;136,25;0,16;0,00;0,00;
0,00;0,00;139,45;0,16;0,00;0,00;
0,00;0,00;142,65;0,13;0,00;0,00;
0,00;0,00;145,85;0,13;0,00;0,00;
0,00;0,00;149,05;0,13;0,00;0,00;
0,00;0,00;152,25;0,16;0,00;0,00;
0,00;0,00;155,44;0,11;0,00;0,00;
0,00;0,00;158,64;0,16;0,00;0,00;
0,00;0,00;161,85;0,09;0,00;0,00;
0,00;0,00;165,01;0,07;0,00;0,00;
0,00;0,00;167,69;0,11;0,00;0,00;
0,00;0,00;169,94;0,07;0,00;0,00;
0,00;0,00;171,69;0,09;0,00;0,00;
0,00;0,00;172,93;0,02;0,00;0,00;
0,00;0,00;173,67;0,02;0,00;0,00;
0,00;0,00;173,90;-0,02;0,00;0,00;
0,00;0,00;173,97;0,02;0,00;0,00;
0,00;0,00;173,98;0,02;0,00;0,00;
0,00;0,00;174,03;0,09;0,00;0,00;
0,00;0,00;174,16;0,07;0,00;0,00;
0,00;0,00;174,32;0,02;0,00;0,00;
0,00;0,00;174,48;0,02;0,00;0,00;
0,00;0,00;174,64;0,02;0,00;0,00;
0,00;0,00;174,80;0,02;0,00;0,00;
0,00;0,00;174,96;0,05;0,00;0,00;
0,00;0,00;175,12;0,02;0,00;0,00;
0,00;0,00;175,28;0,02;0,00;0,00;
0,00;0,00;175,44;0,05;0,00;0,00;
0,00;0,00;175,60;0,05;0,00;0,00;
0,00;0,00;175,76;0,05;0,00;0,00;
0,00;0,00;175,92;0,02;0,00;0,00;
0,00;0,00;176,08;0,27;0,00;0,00;
0,00;0,00;176,24;0,25;0,00;0,00;
0,00;0,00;176,40;0,38;0,00;0,00;
0,00;0,00;176,56;0,68;0,00;0,00;
0,00;0,00;176,71;1,06;0,00;0,00;
0,00;0,00;176,87;1,62;0,00;0,00;
0,00;0,00;177,03;2,10;0,00;0,00;
0,00;0,00;177,19;2,35;0,00;0,00;
0,00;0,00;177,35;2,64;0,00;0,00;
0,00;0,00;177,51;2,94;0,00;0,00;
0,00;0,00;177,67;3,25;0,00;0,00;
0,00;0,00;177,83;4,52;0,00;0,00;
0,00;0,00;177,96;9,02;0,00;0,00;
0,00;0,00;178,07;13,72;0,00;0,00;
0,00;0,00;178,20;18,99;0,00;0,00;
0,00;0,00;178,29;23,90;0,00;0,00;
0,00;0,00;178,32;24,78;0,00;0,00;
0,00;0,00;178,33;25,62;0,00;0,00;
0,00;0,00;178,35;26,30;0,00;0,00;
0,00;0,00;178,36;26,88;0,00;0,00;
0,00;0,00;178,37;27,45;0,00;0,00;
0,00;0,00;178,39;28,15;0,00;0,00;
0,00;0,00;178,40;28,56;0,00;0,00;
0,00;0,00;178,40;28,83;0,00;0,00;
0,00;0,00;178,41;29,12;0,00;0,00;
0,00;0,00;178,42;29,33;0,00;0,00;
0,00;0,00;178,42;29,55;0,00;0,00;
0,00;0,00;178,43;29,82;0,00;0,00;
0,00;0,00;178,43;29,96;0,00;0,00;
