1986;13.12.19 11:24:17;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20191213111253;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;176,07;-0,07;0,00;0,00;
0,00;0,00;175,29;-0,13;0,00;0,00;
0,00;0,00;174,45;0,09;0,00;0,00;
0,00;0,00;174,09;0,09;0,00;0,00;
0,00;0,00;173,98;0,05;0,00;0,00;
0,00;0,00;173,94;0,02;0,00;0,00;
0,00;0,00;174,03;0,12;0,00;0,00;
0,00;0,00;174,17;0,18;0,00;0,00;
0,00;0,00;174,33;0,16;0,00;0,00;
0,00;0,00;174,50;0,09;0,00;0,00;
0,00;0,00;174,67;0,12;0,00;0,00;
0,00;0,00;174,83;0,09;0,00;0,00;
0,00;0,00;174,99;0,16;0,00;0,00;
0,00;0,00;175,15;0,12;0,00;0,00;
0,00;0,00;175,32;0,14;0,00;0,00;
0,00;0,00;175,48;0,16;0,00;0,00;
0,00;0,00;175,64;0,14;0,00;0,00;
0,00;0,00;175,80;0,18;0,00;0,00;
0,00;0,00;175,96;0,14;0,00;0,00;
0,00;0,00;176,12;0,12;0,00;0,00;
0,00;0,00;176,28;0,14;0,00;0,00;
0,00;0,00;176,44;0,16;0,00;0,00;
0,00;0,00;176,60;0,16;0,00;0,00;
0,00;0,00;176,76;0,16;0,00;0,00;
0,00;0,00;176,92;0,18;0,00;0,00;
0,00;0,00;177,08;0,16;0,00;0,00;
0,00;0,00;177,24;0,14;0,00;0,00;
0,00;0,00;177,40;0,23;0,00;0,00;
0,00;0,00;177,56;0,36;0,00;0,00;
0,00;0,00;177,72;0,63;0,00;0,00;
0,00;0,00;177,86;4,41;0,00;0,00;
0,00;0,00;177,98;9,02;0,00;0,00;
0,00;0,00;178,10;14,11;0,00;0,00;
0,00;0,00;178,22;19,63;0,00;0,00;
0,00;0,00;178,30;23,97;0,00;0,00;
0,00;0,00;178,33;25,03;0,00;0,00;
0,00;0,00;178,35;25,87;0,00;0,00;
0,00;0,00;178,36;26,64;0,00;0,00;
0,00;0,00;178,38;27,36;0,00;0,00;
0,00;0,00;178,39;28,17;0,00;0,00;
0,00;0,00;178,40;28,63;0,00;0,00;
0,00;0,00;178,41;29,06;0,00;0,00;
0,00;0,00;178,42;29,46;0,00;0,00;
0,00;0,00;178,43;29,84;0,00;0,00;
0,00;0,00;178,43;30,14;0,00;0,00;
0,00;0,00;178,44;30,32;0,00;0,00;
0,00;0,00;178,44;30,44;0,00;0,00;
0,00;0,00;178,44;30,59;0,00;0,00;
