13002;03.03.21 14:37:11;21;Avvicinamento Pressata Finale;start interrupted (14);20210302143609A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;236,23;0,04;0,00;0,00;
0,00;0,00;236,42;0,04;0,00;0,00;
0,00;0,00;236,61;0,04;0,00;0,00;
0,00;0,00;236,80;0,04;0,00;0,00;
0,00;0,00;237,00;0,04;0,00;0,00;
0,00;0,00;237,19;0,04;0,00;0,00;
0,00;0,00;237,38;0,04;0,00;0,00;
0,00;0,00;237,57;0,04;0,00;0,00;
0,00;0,00;237,76;0,04;0,00;0,00;
0,00;0,00;237,96;0,04;0,00;0,00;
0,00;0,00;238,15;0,04;0,00;0,00;
0,00;0,00;238,34;0,04;0,00;0,00;
0,00;0,00;238,53;0,04;0,00;0,00;
0,00;0,00;238,72;0,04;0,00;0,00;
0,00;0,00;238,92;0,04;0,00;0,00;
0,00;0,00;239,11;0,04;0,00;0,00;
0,00;0,00;239,30;0,04;0,00;0,00;
0,00;0,00;239,49;0,04;0,00;0,00;
0,00;0,00;239,68;0,04;0,00;0,00;
0,00;0,00;239,88;0,04;0,00;0,00;
0,00;0,00;240,07;0,04;0,00;0,00;
0,00;0,00;240,26;0,04;0,00;0,00;
0,00;0,00;240,45;0,04;0,00;0,00;
0,00;0,00;240,64;0,04;0,00;0,00;
0,00;0,00;240,84;0,04;0,00;0,00;
0,00;0,00;241,03;0,04;0,00;0,00;
0,00;0,00;241,22;0,04;0,00;0,00;
0,00;0,00;241,41;0,04;0,00;0,00;
0,00;0,00;241,60;0,04;0,00;0,00;
0,00;0,00;241,80;0,04;0,00;0,00;
0,00;0,00;241,99;0,04;0,00;0,00;
0,00;0,00;242,18;0,04;0,00;0,00;
0,00;0,00;242,37;0,04;0,00;0,00;
0,00;0,00;242,56;0,04;0,00;0,00;
0,00;0,00;242,76;0,04;0,00;0,00;
0,00;0,00;242,95;0,04;0,00;0,00;
0,00;0,00;243,14;0,04;0,00;0,00;
0,00;0,00;243,33;0,04;0,00;0,00;
0,00;0,00;243,52;0,04;0,00;0,00;
0,00;0,00;243,72;0,04;0,00;0,00;
0,00;0,00;243,91;0,04;0,00;0,00;
0,00;0,00;244,10;0,04;0,00;0,00;
0,00;0,00;244,29;0,04;0,00;0,00;
0,00;0,00;244,48;0,04;0,00;0,00;
0,00;0,00;244,68;0,04;0,00;0,00;
0,00;0,00;244,87;0,04;0,00;0,00;
0,00;0,00;245,06;0,04;0,00;0,00;
0,00;0,00;245,25;0,04;0,00;0,00;
0,00;0,00;245,44;0,04;0,00;0,00;
0,00;0,00;245,64;0,04;0,00;0,00;
0,00;0,00;245,83;0,04;0,00;0,00;
0,00;0,00;246,02;0,04;0,00;0,00;
0,00;0,00;246,21;0,04;0,00;0,00;
0,00;0,00;246,40;0,04;0,00;0,00;
0,00;0,00;246,60;0,04;0,00;0,00;
0,00;0,00;246,79;0,04;0,00;0,00;
0,00;0,00;246,98;0,04;0,00;0,00;
0,00;0,00;247,17;0,04;0,00;0,00;
0,00;0,00;247,36;0,04;0,00;0,00;
0,00;0,00;247,56;0,04;0,00;0,00;
0,00;0,00;247,75;0,04;0,00;0,00;
0,00;0,00;247,94;0,04;0,00;0,00;
0,00;0,00;248,13;0,04;0,00;0,00;
0,00;0,00;248,32;0,04;0,00;0,00;
0,00;0,00;248,52;0,04;0,00;0,00;
0,00;0,00;248,71;0,04;0,00;0,00;
0,00;0,00;248,90;0,04;0,00;0,00;
0,00;0,00;249,09;0,04;0,00;0,00;
0,00;0,00;249,28;0,04;0,00;0,00;
0,00;0,00;249,48;0,04;0,00;0,00;
0,00;0,00;249,67;0,04;0,00;0,00;
0,00;0,00;249,86;0,04;0,00;0,00;
0,00;0,00;250,05;0,04;0,00;0,00;
0,00;0,00;250,24;0,04;0,00;0,00;
0,00;0,00;250,44;0,04;0,00;0,00;
0,00;0,00;250,63;0,04;0,00;0,00;
0,00;0,00;250,82;0,04;0,00;0,00;
0,00;0,00;251,01;0,04;0,00;0,00;
0,00;0,00;251,20;0,04;0,00;0,00;
0,00;0,00;251,40;0,04;0,00;0,00;
0,00;0,00;251,59;0,04;0,00;0,00;
0,00;0,00;251,78;0,04;0,00;0,00;
0,00;0,00;251,97;0,04;0,00;0,00;
0,00;0,00;252,16;0,04;0,00;0,00;
0,00;0,00;252,36;0,04;0,00;0,00;
0,00;0,00;252,55;0,04;0,00;0,00;
0,00;0,00;252,74;0,04;0,00;0,00;
0,00;0,00;252,93;0,04;0,00;0,00;
0,00;0,00;253,12;0,04;0,00;0,00;
0,00;0,00;253,32;0,04;0,00;0,00;
0,00;0,00;253,51;0,04;0,00;0,00;
0,00;0,00;253,70;0,04;0,00;0,00;
0,00;0,00;253,89;0,04;0,00;0,00;
0,00;0,00;254,08;0,04;0,00;0,00;
0,00;0,00;254,28;0,04;0,00;0,00;
0,00;0,00;254,47;0,04;0,00;0,00;
0,00;0,00;254,66;0,04;0,00;0,00;
0,00;0,00;254,85;0,04;0,00;0,00;
0,00;0,00;255,04;0,04;0,00;0,00;
0,00;0,00;255,24;0,04;0,00;0,00;
0,00;0,00;255,43;0,04;0,00;0,00;
0,00;0,00;255,62;0,04;0,00;0,00;
0,00;0,00;255,81;0,04;0,00;0,00;
0,00;0,00;256,00;0,04;0,00;0,00;
0,00;0,00;256,20;0,04;0,00;0,00;
0,00;0,00;256,39;0,04;0,00;0,00;
0,00;0,00;256,58;0,04;0,00;0,00;
0,00;0,00;256,77;0,04;0,00;0,00;
0,00;0,00;256,96;0,04;0,00;0,00;
0,00;0,00;257,16;0,04;0,00;0,00;
0,00;0,00;257,35;0,04;0,00;0,00;
0,00;0,00;257,54;0,04;0,00;0,00;
0,00;0,00;257,73;0,04;0,00;0,00;
0,00;0,00;257,92;0,04;0,00;0,00;
0,00;0,00;258,12;0,04;0,00;0,00;
0,00;0,00;258,31;0,04;0,00;0,00;
0,00;0,00;258,50;0,04;0,00;0,00;
0,00;0,00;258,69;0,04;0,00;0,00;
0,00;0,00;258,88;0,04;0,00;0,00;
0,00;0,00;259,08;0,04;0,00;0,00;
0,00;0,00;259,27;0,04;0,00;0,00;
0,00;0,00;259,46;0,04;0,00;0,00;
0,00;0,00;259,65;0,04;0,00;0,00;
0,00;0,00;259,84;0,04;0,00;0,00;
0,00;0,00;260,04;0,04;0,00;0,00;
0,00;0,00;260,23;0,04;0,00;0,00;
0,00;0,00;260,42;0,04;0,00;0,00;
0,00;0,00;260,61;0,04;0,00;0,00;
0,00;0,00;260,80;0,04;0,00;0,00;
0,00;0,00;261,00;0,04;0,00;0,00;
0,00;0,00;261,19;0,04;0,00;0,00;
0,00;0,00;261,38;0,04;0,00;0,00;
0,00;0,00;261,57;0,04;0,00;0,00;
0,00;0,00;261,76;0,04;0,00;0,00;
0,00;0,00;261,96;0,04;0,00;0,00;
0,00;0,00;262,15;0,04;0,00;0,00;
