2546;14.01.20 10:35:53;21;Avvicinamento Pressata Finale;position < min position (11);20200114101935;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,04;0,00;0,00;
0,00;0,00;1,11;0,04;0,00;0,00;
0,00;0,00;2,39;0,04;0,00;0,00;
0,00;0,00;4,19;-0,04;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;11,21;0,04;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;16,02;0,08;0,00;0,00;
0,00;0,00;20,82;-0,04;0,00;0,00;
0,00;0,00;25,62;0,04;0,00;0,00;
0,00;0,00;28,02;-0,01;0,00;0,00;
0,00;0,00;30,42;0,04;0,00;0,00;
0,00;0,00;35,22;0,04;0,00;0,00;
0,00;0,00;42,42;0,04;0,00;0,00;
0,00;0,00;47,22;0,04;0,00;0,00;
0,00;0,00;49,62;0,04;0,00;0,00;
0,00;0,00;52,02;-0,04;0,00;0,00;
0,00;0,00;54,42;0,04;0,00;0,00;
0,00;0,00;56,82;-0,04;0,00;0,00;
0,00;0,00;61,62;0,04;0,00;0,00;
0,00;0,00;66,42;-0,04;0,00;0,00;
0,00;0,00;68,82;0,04;0,00;0,00;
0,00;0,00;73,62;0,04;0,00;0,00;
0,00;0,00;85,62;0,04;0,00;0,00;
0,00;0,00;90,42;-0,04;0,00;0,00;
0,00;0,00;95,22;0,04;0,00;0,00;
0,00;0,00;97,62;-0,04;0,00;0,00;
0,00;0,00;102,42;0,04;0,00;0,00;
0,00;0,00;114,42;-0,04;0,00;0,00;
0,00;0,00;121,62;0,04;0,00;0,00;
0,00;0,00;124,02;0,04;0,00;0,00;
0,00;0,00;126,42;-0,04;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;138,42;-0,04;0,00;0,00;
0,00;0,00;143,22;0,04;0,00;0,00;
0,00;0,00;150,42;-0,04;0,00;0,00;
0,00;0,00;155,22;0,04;0,00;0,00;
0,00;0,00;157,62;0,04;0,00;0,00;
0,00;0,00;167,22;0,04;0,00;0,00;
0,00;0,00;176,82;-0,04;0,00;0,00;
0,00;0,00;181,62;0,04;0,00;0,00;
0,00;0,00;186,42;-0,04;0,00;0,00;
0,00;0,00;188,82;-0,04;0,00;0,00;
0,00;0,00;193,62;0,04;0,00;0,00;
0,00;0,00;198,42;-0,04;0,00;0,00;
0,00;0,00;205,62;-0,04;0,00;0,00;
0,00;0,00;215,22;0,08;0,00;0,00;
0,00;0,00;220,02;-0,04;0,00;0,00;
0,00;0,00;222,42;0,04;0,00;0,00;
0,00;0,00;224,82;0,04;0,00;0,00;
0,00;0,00;227,22;-0,04;0,00;0,00;
0,00;0,00;232,02;-0,04;0,00;0,00;
0,00;0,00;234,42;-0,04;0,00;0,00;
0,00;0,00;239,22;-0,04;0,00;0,00;
0,00;0,00;241,62;0,04;0,00;0,00;
0,00;0,00;256,62;-0,04;0,00;0,00;
0,00;0,00;257,47;-0,09;0,00;0,00;
0,00;0,00;257,83;-0,09;0,00;0,00;
0,00;0,00;257,89;0,09;0,00;0,00;
0,00;0,00;257,90;0,09;0,00;0,00;
