14875;03.02.21 11:06:45;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210203091744P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;11,75;0,07;0,00;0,00;
0,00;0,00;12,55;0,04;0,00;0,00;
0,00;0,00;13,84;0,05;0,00;0,00;
0,00;0,00;15,65;0,06;0,00;0,00;
0,00;0,00;17,97;0,05;0,00;0,00;
0,00;0,00;20,80;0,07;0,00;0,00;
0,00;0,00;24,14;0,06;0,00;0,00;
0,00;0,00;27,62;0,04;0,00;0,00;
0,00;0,00;31,15;0,04;0,00;0,00;
0,00;0,00;34,66;0,05;0,00;0,00;
0,00;0,00;38,19;0,04;0,00;0,00;
0,00;0,00;41,71;0,04;0,00;0,00;
0,00;0,00;45,23;0,03;0,00;0,00;
0,00;0,00;48,75;0,04;0,00;0,00;
0,00;0,00;52,27;0,05;0,00;0,00;
0,00;0,00;55,78;0,04;0,00;0,00;
0,00;0,00;59,31;0,04;0,00;0,00;
0,00;0,00;62,83;0,03;0,00;0,00;
0,00;0,00;66,35;0,04;0,00;0,00;
0,00;0,00;69,87;0,04;0,00;0,00;
0,00;0,00;73,39;0,05;0,00;0,00;
0,00;0,00;76,91;0,03;0,00;0,00;
0,00;0,00;80,43;0,04;0,00;0,00;
0,00;0,00;83,95;0,04;0,00;0,00;
0,00;0,00;87,46;0,05;0,00;0,00;
0,00;0,00;90,99;0,05;0,00;0,00;
0,00;0,00;94,51;0,04;0,00;0,00;
0,00;0,00;98,03;0,02;0,00;0,00;
0,00;0,00;101,55;0,03;0,00;0,00;
0,00;0,00;105,07;0,04;0,00;0,00;
0,00;0,00;108,58;0,05;0,00;0,00;
0,00;0,00;112,11;0,03;0,00;0,00;
0,00;0,00;115,63;0,01;0,00;0,00;
0,00;0,00;119,15;0,03;0,00;0,00;
0,00;0,00;122,50;0,02;0,00;0,00;
0,00;0,00;125,39;0,03;0,00;0,00;
0,00;0,00;127,77;0,01;0,00;0,00;
0,00;0,00;129,67;0,01;0,00;0,00;
0,00;0,00;131,06;0,01;0,00;0,00;
0,00;0,00;132,41;0,01;0,00;0,00;
0,00;0,00;132,46;0,01;0,00;0,00;
0,00;0,00;132,54;0,01;0,00;0,00;
0,00;0,00;132,62;0,01;0,00;0,00;
0,00;0,00;132,70;0,02;0,00;0,00;
0,00;0,00;132,78;0,01;0,00;0,00;
0,00;0,00;132,86;0,01;0,00;0,00;
0,00;0,00;132,94;0,02;0,00;0,00;
0,00;0,00;133,02;0,01;0,00;0,00;
0,00;0,00;133,10;0,02;0,00;0,00;
0,00;0,00;133,19;0,01;0,00;0,00;
0,00;0,00;133,26;0,02;0,00;0,00;
0,00;0,00;133,34;0,01;0,00;0,00;
0,00;0,00;133,42;0,01;0,00;0,00;
0,00;0,00;133,51;0,01;0,00;0,00;
0,00;0,00;133,59;0,01;0,00;0,00;
0,00;0,00;133,66;0,01;0,00;0,00;
0,00;0,00;133,74;0,03;0,00;0,00;
0,00;0,00;133,82;0,01;0,00;0,00;
0,00;0,00;133,91;0,02;0,00;0,00;
0,00;0,00;133,98;0,01;0,00;0,00;
0,00;0,00;134,06;0,01;0,00;0,00;
0,00;0,00;134,15;0,02;0,00;0,00;
0,00;0,00;134,23;0,01;0,00;0,00;
0,00;0,00;134,30;0,02;0,00;0,00;
0,00;0,00;134,39;0,02;0,00;0,00;
