5115;15.12.20 08:44:29;21;Avvicinamento Pressata Fuori Ingombro;position < min position (11);20201210110906P0028;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,26;0,17;0,00;0,00;
0,00;0,00;1,05;0,13;0,00;0,00;
0,00;0,00;2,32;0,11;0,00;0,00;
0,00;0,00;4,11;0,13;0,00;0,00;
0,00;0,00;6,41;0,18;0,00;0,00;
0,00;0,00;9,23;0,18;0,00;0,00;
0,00;0,00;12,39;0,06;0,00;0,00;
0,00;0,00;15,50;0,11;0,00;0,00;
0,00;0,00;18,76;-0,03;0,00;0,00;
0,00;0,00;21,94;0,11;0,00;0,00;
0,00;0,00;25,13;0,18;0,00;0,00;
0,00;0,00;28,34;0,04;0,00;0,00;
0,00;0,00;31,54;0,15;0,00;0,00;
0,00;0,00;34,74;0,06;0,00;0,00;
0,00;0,00;37,94;0,04;0,00;0,00;
0,00;0,00;41,15;0,13;0,00;0,00;
0,00;0,00;44,35;0,02;0,00;0,00;
0,00;0,00;47,55;0,11;0,00;0,00;
0,00;0,00;50,75;0,11;0,00;0,00;
0,00;0,00;53,95;0,09;0,00;0,00;
0,00;0,00;57,15;0,20;0,00;0,00;
0,00;0,00;60,35;0,04;0,00;0,00;
0,00;0,00;63,55;0,11;0,00;0,00;
0,00;0,00;66,75;0,11;0,00;0,00;
0,00;0,00;69,95;0,11;0,00;0,00;
0,00;0,00;73,15;0,13;0,00;0,00;
0,00;0,00;76,35;0,02;0,00;0,00;
0,00;0,00;79,55;0,11;0,00;0,00;
0,00;0,00;82,75;0,13;0,00;0,00;
0,00;0,00;85,95;0,06;0,00;0,00;
0,00;0,00;89,15;0,15;0,00;0,00;
0,00;0,00;92,35;0,04;0,00;0,00;
0,00;0,00;95,55;0,13;0,00;0,00;
0,00;0,00;98,75;0,09;0,00;0,00;
0,00;0,00;101,95;0,06;0,00;0,00;
0,00;0,00;105,15;0,17;0,00;0,00;
0,00;0,00;108,35;0,04;0,00;0,00;
0,00;0,00;111,55;0,09;0,00;0,00;
0,00;0,00;114,74;0,11;0,00;0,00;
0,00;0,00;117,95;0,09;0,00;0,00;
0,00;0,00;121,15;0,17;0,00;0,00;
0,00;0,00;124,35;0,06;0,00;0,00;
0,00;0,00;127,55;0,13;0,00;0,00;
0,00;0,00;130,75;0,11;0,00;0,00;
0,00;0,00;133,94;0,11;0,00;0,00;
0,00;0,00;137,15;0,13;0,00;0,00;
0,00;0,00;140,35;0,06;0,00;0,00;
0,00;0,00;143,55;0,13;0,00;0,00;
0,00;0,00;146,75;0,09;0,00;0,00;
0,00;0,00;149,95;0,09;0,00;0,00;
0,00;0,00;153,15;0,15;0,00;0,00;
0,00;0,00;156,35;0,06;0,00;0,00;
0,00;0,00;159,55;0,11;0,00;0,00;
0,00;0,00;162,63;-0,03;0,00;0,00;
0,00;0,00;165,20;0,06;0,00;0,00;
0,00;0,00;167,34;0,04;0,00;0,00;
0,00;0,00;168,97;0,20;0,00;0,00;
0,00;0,00;170,09;0,20;0,00;0,00;
0,00;0,00;170,70;0,22;0,00;0,00;
0,00;0,00;170,87;0,38;0,00;0,00;
0,00;0,00;170,92;0,27;0,00;0,00;
0,00;0,00;170,92;0,24;0,00;0,00;
0,00;0,00;170,99;0,38;0,00;0,00;
0,00;0,00;171,13;0,36;0,00;0,00;
0,00;0,00;171,28;0,34;0,00;0,00;
0,00;0,00;171,45;0,36;0,00;0,00;
0,00;0,00;171,61;0,38;0,00;0,00;
0,00;0,00;171,77;0,45;0,00;0,00;
0,00;0,00;171,93;0,45;0,00;0,00;
0,00;0,00;172,09;0,45;0,00;0,00;
0,00;0,00;172,25;0,45;0,00;0,00;
0,00;0,00;172,41;0,52;0,00;0,00;
0,00;0,00;172,57;0,76;0,00;0,00;
0,00;0,00;172,73;1,19;0,00;0,00;
0,00;0,00;172,88;1,78;0,00;0,00;
0,00;0,00;173,04;2,23;0,00;0,00;
0,00;0,00;173,20;2,64;0,00;0,00;
0,00;0,00;173,36;3,03;0,00;0,00;
0,00;0,00;173,43;2,80;0,00;0,00;
0,00;0,00;173,44;2,75;0,00;0,00;
0,00;0,00;173,44;2,64;0,00;0,00;
0,00;0,00;173,44;2,35;0,00;0,00;
