7947;18.02.20 16:44:27;10;Repair_strategy;force > max. force (8);20200218163003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;15,50;-0,01;0,00;0,00;
0,00;0,00;15,76;0,04;0,00;0,00;
0,00;0,00;16,54;0,03;0,00;0,00;
0,00;0,00;17,84;0,03;0,00;0,00;
0,00;0,00;19,65;0,04;0,00;0,00;
0,00;0,00;21,96;0,04;0,00;0,00;
0,00;0,00;24,79;0,04;0,00;0,00;
0,00;0,00;28,13;0,04;0,00;0,00;
0,00;0,00;31,62;0,04;0,00;0,00;
0,00;0,00;35,15;0,02;0,00;0,00;
0,00;0,00;38,67;0,04;0,00;0,00;
0,00;0,00;42,19;0,03;0,00;0,00;
0,00;0,00;45,71;0,02;0,00;0,00;
0,00;0,00;49,23;0,01;0,00;0,00;
0,00;0,00;52,75;0,02;0,00;0,00;
0,00;0,00;56,27;0,02;0,00;0,00;
0,00;0,00;59,79;0,04;0,00;0,00;
0,00;0,00;63,31;0,03;0,00;0,00;
0,00;0,00;66,83;0,01;0,00;0,00;
0,00;0,00;70,35;0,02;0,00;0,00;
0,00;0,00;73,87;0,03;0,00;0,00;
0,00;0,00;77,39;0,02;0,00;0,00;
0,00;0,00;80,90;0,04;0,00;0,00;
0,00;0,00;84,43;0,01;0,00;0,00;
0,00;0,00;87,95;0,02;0,00;0,00;
0,00;0,00;91,47;0,04;0,00;0,00;
0,00;0,00;94,99;0,02;0,00;0,00;
0,00;0,00;98,51;0,03;0,00;0,00;
0,00;0,00;102,03;0,03;0,00;0,00;
0,00;0,00;105,55;0,01;0,00;0,00;
0,00;0,00;109,07;0,03;0,00;0,00;
0,00;0,00;112,59;0,03;0,00;0,00;
0,00;0,00;116,11;0,01;0,00;0,00;
0,00;0,00;119,63;0,02;0,00;0,00;
0,00;0,00;123,15;0,01;0,00;0,00;
0,00;0,00;126,50;0,01;0,00;0,00;
0,00;0,00;129,39;0,01;0,00;0,00;
0,00;0,00;135,07;-0,01;0,00;0,00;
0,00;0,00;135,96;-0,01;0,00;0,00;
0,00;0,00;136,37;-0,01;0,00;0,00;
0,00;0,00;136,41;0,01;0,00;0,00;
0,00;0,00;136,55;0,01;0,00;0,00;
0,00;0,00;136,63;0,01;0,00;0,00;
0,00;0,00;136,71;0,01;0,00;0,00;
0,00;0,00;136,79;0,01;0,00;0,00;
0,00;0,00;136,87;0,01;0,00;0,00;
0,00;0,00;136,95;0,01;0,00;0,00;
0,00;0,00;137,03;0,01;0,00;0,00;
0,00;0,00;137,11;0,01;0,00;0,00;
0,00;0,00;137,19;0,01;0,00;0,00;
0,00;0,00;137,27;0,01;0,00;0,00;
0,00;0,00;137,35;0,01;0,00;0,00;
0,00;0,00;137,43;0,01;0,00;0,00;
0,00;0,00;137,51;0,01;0,00;0,00;
0,00;0,00;137,60;0,01;0,00;0,00;
0,00;0,00;137,68;0,01;0,00;0,00;
0,00;0,00;137,75;0,01;0,00;0,00;
0,00;0,00;137,83;0,01;0,00;0,00;
0,00;0,00;137,91;0,01;0,00;0,00;
0,00;0,00;138,00;0,01;0,00;0,00;
0,00;0,00;138,07;0,01;0,00;0,00;
0,00;0,00;138,15;0,01;0,00;0,00;
0,00;0,00;138,23;0,01;0,00;0,00;
0,00;0,00;138,31;0,01;0,00;0,00;
0,00;0,00;138,39;0,01;0,00;0,00;
0,00;0,00;138,47;0,01;0,00;0,00;
0,00;0,00;138,55;0,01;0,00;0,00;
0,00;0,00;138,63;0,01;0,00;0,00;
0,00;0,00;138,71;0,01;0,00;0,00;
0,00;0,00;138,80;0,01;0,00;0,00;
0,00;0,00;138,87;0,01;0,00;0,00;
0,00;0,00;138,95;0,01;0,00;0,00;
0,00;0,00;139,03;0,01;0,00;0,00;
0,00;0,00;139,12;0,01;0,00;0,00;
0,00;0,00;139,20;0,01;0,00;0,00;
0,00;0,00;139,27;0,01;0,00;0,00;
0,00;0,00;139,35;0,01;0,00;0,00;
0,00;0,00;139,44;0,01;0,00;0,00;
0,00;0,00;139,51;0,01;0,00;0,00;
0,00;0,00;139,59;0,01;0,00;0,00;
0,00;0,00;139,67;0,01;0,00;0,00;
0,00;0,00;139,75;0,01;0,00;0,00;
0,00;0,00;139,83;0,01;0,00;0,00;
0,00;0,00;139,91;0,01;0,00;0,00;
0,00;0,00;139,99;0,01;0,00;0,00;
0,00;0,00;140,07;0,01;0,00;0,00;
0,00;0,00;140,15;0,01;0,00;0,00;
0,00;0,00;140,23;0,01;0,00;0,00;
0,00;0,00;140,31;0,01;0,00;0,00;
0,00;0,00;140,40;0,01;0,00;0,00;
0,00;0,00;140,48;0,01;0,00;0,00;
0,00;0,00;140,55;0,01;0,00;0,00;
0,00;0,00;140,63;0,01;0,00;0,00;
0,00;0,00;140,71;0,01;0,00;0,00;
0,00;0,00;140,80;0,01;0,00;0,00;
0,00;0,00;140,87;0,01;0,00;0,00;
0,00;0,00;140,96;0,01;0,00;0,00;
0,00;0,00;141,04;0,01;0,00;0,00;
0,00;0,00;141,12;0,01;0,00;0,00;
0,00;0,00;141,19;0,01;0,00;0,00;
0,00;0,00;141,28;0,01;0,00;0,00;
0,00;0,00;141,35;0,01;0,00;0,00;
0,00;0,00;141,43;0,01;0,00;0,00;
0,00;0,00;141,51;0,01;0,00;0,00;
0,00;0,00;141,59;0,01;0,00;0,00;
0,00;0,00;141,67;0,01;0,00;0,00;
0,00;0,00;141,75;0,01;0,00;0,00;
0,00;0,00;141,83;0,01;0,00;0,00;
0,00;0,00;141,91;0,01;0,00;0,00;
0,00;0,00;141,99;0,01;0,00;0,00;
0,00;0,00;142,07;0,07;0,00;0,00;
0,00;0,00;142,15;0,09;0,00;0,00;
0,00;0,00;142,23;0,34;0,00;0,00;
0,00;0,00;142,30;1,11;0,00;0,00;
0,00;0,00;142,38;2,09;0,00;0,00;
0,00;0,00;142,45;3,21;0,00;0,00;
0,00;0,00;142,52;4,39;0,00;0,00;
0,00;0,00;142,60;5,63;0,00;0,00;
0,00;0,00;142,68;6,93;0,00;0,00;
0,00;0,00;142,76;8,15;0,00;0,00;
0,00;0,00;142,83;9,32;0,00;0,00;
0,00;0,00;142,91;10,45;0,00;0,00;
0,00;0,00;142,94;10,69;0,00;0,00;
0,00;0,00;142,95;10,77;0,00;0,00;
0,00;0,00;142,95;10,86;0,00;0,00;
0,00;0,00;142,95;10,96;0,00;0,00;
