28316;15.09.21 12:03:09;21;Avvicinamento Pressata Finale;force < min. force (9);20210915103352P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;84,50;-0,04;0,00;0,00;
0,00;0,00;85,62;0,09;0,00;0,00;
0,00;0,00;88,70;0,09;0,00;0,00;
0,00;0,00;93,32;0,04;0,00;0,00;
0,00;0,00;131,72;0,04;0,00;0,00;
0,00;0,00;174,92;-0,04;0,00;0,00;
0,00;0,00;179,72;-0,04;0,00;0,00;
0,00;0,00;213,32;-0,04;0,00;0,00;
0,00;0,00;218,12;-0,04;0,00;0,00;
0,00;0,00;227,72;0,04;0,00;0,00;
0,00;0,00;232,52;-0,04;0,00;0,00;
0,00;0,00;237,32;-0,04;0,00;0,00;
0,00;0,00;309,00;-0,09;0,00;0,00;
0,00;0,00;313,02;0,04;0,00;0,00;
0,00;0,00;313,60;0,04;0,00;0,00;
0,00;0,00;313,98;0,04;0,00;0,00;
0,00;0,00;314,36;0,09;0,00;0,00;
0,00;0,00;315,32;0,04;0,00;0,00;
0,00;0,00;316,28;0,04;0,00;0,00;
0,00;0,00;316,86;0,04;0,00;0,00;
0,00;0,00;317,05;0,04;0,00;0,00;
0,00;0,00;317,44;0,09;0,00;0,00;
0,00;0,00;317,63;0,04;0,00;0,00;
0,00;0,00;318,01;0,04;0,00;0,00;
0,00;0,00;318,40;0,04;0,00;0,00;
0,00;0,00;318,59;0,04;0,00;0,00;
0,00;0,00;318,78;0,04;0,00;0,00;
0,00;0,00;318,97;0,09;0,00;0,00;
0,00;0,00;319,16;0,04;0,00;0,00;
0,00;0,00;319,36;0,13;0,00;0,00;
0,00;0,00;319,74;0,04;0,00;0,00;
0,00;0,00;319,93;0,09;0,00;0,00;
0,00;0,00;320,12;0,04;0,00;0,00;
0,00;0,00;320,32;0,04;0,00;0,00;
0,00;0,00;320,51;0,09;0,00;0,00;
0,00;0,00;320,70;0,04;0,00;0,00;
0,00;0,00;320,89;0,04;0,00;0,00;
0,00;0,00;321,28;0,09;0,00;0,00;
0,00;0,00;321,47;0,09;0,00;0,00;
0,00;0,00;321,66;0,09;0,00;0,00;
0,00;0,00;321,85;0,09;0,00;0,00;
0,00;0,00;322,04;0,13;0,00;0,00;
0,00;0,00;322,43;0,13;0,00;0,00;
0,00;0,00;322,81;0,09;0,00;0,00;
0,00;0,00;323,00;0,09;0,00;0,00;
0,00;0,00;323,20;0,13;0,00;0,00;
0,00;0,00;323,39;0,09;0,00;0,00;
0,00;0,00;323,58;0,04;0,00;0,00;
0,00;0,00;323,77;0,09;0,00;0,00;
0,00;0,00;323,96;0,13;0,00;0,00;
0,00;0,00;324,16;0,13;0,00;0,00;
0,00;0,00;324,35;0,18;0,00;0,00;
0,00;0,00;324,54;0,18;0,00;0,00;
0,00;0,00;324,73;0,18;0,00;0,00;
0,00;0,00;324,92;0,18;0,00;0,00;
0,00;0,00;325,12;0,18;0,00;0,00;
0,00;0,00;325,31;0,18;0,00;0,00;
0,00;0,00;325,50;0,18;0,00;0,00;
0,00;0,00;325,69;0,18;0,00;0,00;
0,00;0,00;325,88;0,21;0,00;0,00;
0,00;0,00;326,08;0,18;0,00;0,00;
0,00;0,00;326,27;0,18;0,00;0,00;
0,00;0,00;326,46;0,18;0,00;0,00;
0,00;0,00;326,65;0,18;0,00;0,00;
0,00;0,00;326,84;0,18;0,00;0,00;
0,00;0,00;327,04;0,21;0,00;0,00;
0,00;0,00;327,23;0,18;0,00;0,00;
0,00;0,00;327,42;0,35;0,00;0,00;
0,00;0,00;327,61;0,30;0,00;0,00;
0,00;0,00;327,80;0,35;0,00;0,00;
0,00;0,00;328,00;0,35;0,00;0,00;
0,00;0,00;328,19;0,35;0,00;0,00;
0,00;0,00;328,25;0,21;0,00;0,00;
0,00;0,00;328,25;0,21;0,00;0,00;
0,00;0,00;328,25;0,30;0,00;0,00;
