3713;06.02.20 11:55:37;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20200206114821;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,10;-0,08;0,00;0,00;
0,00;0,00;74,34;0,22;0,00;0,00;
0,00;0,00;74,95;0,14;0,00;0,00;
0,00;0,00;75,90;0,30;0,00;0,00;
0,00;0,00;77,25;0,14;0,00;0,00;
0,00;0,00;78,99;0,30;0,00;0,00;
0,00;0,00;81,10;0,06;0,00;0,00;
0,00;0,00;83,47;0,30;0,00;0,00;
0,00;0,00;85,82;0,22;0,00;0,00;
0,00;0,00;88,24;0,08;0,00;0,00;
0,00;0,00;90,64;0,22;0,00;0,00;
0,00;0,00;93,05;0,14;0,00;0,00;
0,00;0,00;95,44;0,14;0,00;0,00;
0,00;0,00;97,84;0,22;0,00;0,00;
0,00;0,00;100,25;0,22;0,00;0,00;
0,00;0,00;102,64;0,14;0,00;0,00;
0,00;0,00;105,05;0,14;0,00;0,00;
0,00;0,00;107,45;0,14;0,00;0,00;
0,00;0,00;109,85;0,14;0,00;0,00;
0,00;0,00;112,25;0,22;0,00;0,00;
0,00;0,00;114,64;0,14;0,00;0,00;
0,00;0,00;117,05;0,22;0,00;0,00;
0,00;0,00;119,45;0,22;0,00;0,00;
0,00;0,00;121,85;0,08;0,00;0,00;
0,00;0,00;124,25;0,14;0,00;0,00;
0,00;0,00;126,65;0,14;0,00;0,00;
0,00;0,00;129,05;0,22;0,00;0,00;
0,00;0,00;131,45;0,14;0,00;0,00;
0,00;0,00;133,85;0,08;0,00;0,00;
0,00;0,00;136,25;0,14;0,00;0,00;
0,00;0,00;138,64;0,08;0,00;0,00;
0,00;0,00;141,05;0,14;0,00;0,00;
0,00;0,00;143,45;0,14;0,00;0,00;
0,00;0,00;145,85;0,08;0,00;0,00;
0,00;0,00;148,25;0,14;0,00;0,00;
0,00;0,00;150,64;0,14;0,00;0,00;
0,00;0,00;153,05;0,22;0,00;0,00;
0,00;0,00;155,45;0,14;0,00;0,00;
0,00;0,00;157,85;0,08;0,00;0,00;
0,00;0,00;160,25;0,14;0,00;0,00;
0,00;0,00;162,64;0,06;0,00;0,00;
0,00;0,00;165,05;0,06;0,00;0,00;
0,00;0,00;167,45;-0,02;0,00;0,00;
0,00;0,00;169,53;0,08;0,00;0,00;
0,00;0,00;171,29;0,14;0,00;0,00;
0,00;0,00;173,69;-0,08;0,00;0,00;
0,00;0,00;174,31;0,08;0,00;0,00;
0,00;0,00;174,62;0,08;0,00;0,00;
0,00;0,00;174,66;0,06;0,00;0,00;
0,00;0,00;174,96;0,14;0,00;0,00;
0,00;0,00;175,13;0,08;0,00;0,00;
0,00;0,00;175,29;0,08;0,00;0,00;
0,00;0,00;175,45;0,08;0,00;0,00;
0,00;0,00;175,61;0,22;0,00;0,00;
0,00;0,00;175,77;0,08;0,00;0,00;
0,00;0,00;175,93;0,08;0,00;0,00;
0,00;0,00;176,09;0,14;0,00;0,00;
0,00;0,00;176,25;0,22;0,00;0,00;
0,00;0,00;176,41;0,08;0,00;0,00;
0,00;0,00;176,57;0,08;0,00;0,00;
0,00;0,00;176,73;0,08;0,00;0,00;
0,00;0,00;176,89;0,08;0,00;0,00;
0,00;0,00;177,05;0,69;0,00;0,00;
0,00;0,00;177,21;1,43;0,00;0,00;
0,00;0,00;177,36;2,74;0,00;0,00;
0,00;0,00;177,52;4,49;0,00;0,00;
0,00;0,00;177,68;6,62;0,00;0,00;
0,00;0,00;177,84;8,89;0,00;0,00;
0,00;0,00;178,00;10,42;0,00;0,00;
0,00;0,00;178,16;11,63;0,00;0,00;
0,00;0,00;178,32;12,63;0,00;0,00;
0,00;0,00;178,48;13,77;0,00;0,00;
0,00;0,00;178,64;14,84;0,00;0,00;
0,00;0,00;178,80;15,90;0,00;0,00;
0,00;0,00;178,96;17,12;0,00;0,00;
0,00;0,00;179,12;18,27;0,00;0,00;
0,00;0,00;179,28;19,41;0,00;0,00;
0,00;0,00;179,44;20,78;0,00;0,00;
0,00;0,00;179,60;21,99;0,00;0,00;
0,00;0,00;179,76;23,29;0,00;0,00;
0,00;0,00;179,92;24,42;0,00;0,00;
0,00;0,00;180,08;25,71;0,00;0,00;
0,00;0,00;180,24;26,87;0,00;0,00;
0,00;0,00;180,40;28,24;0,00;0,00;
0,00;0,00;180,56;29,45;0,00;0,00;
0,00;0,00;180,72;30,82;0,00;0,00;
0,00;0,00;180,72;29,22;0,00;0,00;
0,00;0,00;180,74;30,53;0,00;0,00;
0,00;0,00;180,74;30,22;0,00;0,00;
0,00;0,00;180,74;30,22;0,00;0,00;
0,00;0,00;180,74;29,90;0,00;0,00;
0,00;0,00;180,74;29,90;0,00;0,00;
