56464;25.08.21 09:03:16;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210824140327A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,66;0,30;0,00;0,00;
0,00;0,00;74,11;0,30;0,00;0,00;
0,00;0,00;74,88;0,22;0,00;0,00;
0,00;0,00;76,03;0,37;0,00;0,00;
0,00;0,00;77,57;0,37;0,00;0,00;
0,00;0,00;79,50;0,22;0,00;0,00;
0,00;0,00;81,80;0,30;0,00;0,00;
0,00;0,00;84,14;0,30;0,00;0,00;
0,00;0,00;86,53;0,22;0,00;0,00;
0,00;0,00;88,94;0,22;0,00;0,00;
0,00;0,00;91,34;0,30;0,00;0,00;
0,00;0,00;93,74;0,30;0,00;0,00;
0,00;0,00;96,15;0,22;0,00;0,00;
0,00;0,00;98,54;0,22;0,00;0,00;
0,00;0,00;100,95;0,22;0,00;0,00;
0,00;0,00;103,35;0,22;0,00;0,00;
0,00;0,00;105,75;0,30;0,00;0,00;
0,00;0,00;108,15;0,22;0,00;0,00;
0,00;0,00;110,55;0,14;0,00;0,00;
0,00;0,00;112,95;0,22;0,00;0,00;
0,00;0,00;115,35;0,30;0,00;0,00;
0,00;0,00;117,75;0,22;0,00;0,00;
0,00;0,00;120,15;0,22;0,00;0,00;
0,00;0,00;122,55;0,22;0,00;0,00;
0,00;0,00;124,95;0,22;0,00;0,00;
0,00;0,00;127,35;0,30;0,00;0,00;
0,00;0,00;129,75;0,30;0,00;0,00;
0,00;0,00;132,15;0,30;0,00;0,00;
0,00;0,00;134,54;0,14;0,00;0,00;
0,00;0,00;136,95;0,22;0,00;0,00;
0,00;0,00;139,35;0,30;0,00;0,00;
0,00;0,00;141,75;0,22;0,00;0,00;
0,00;0,00;144,15;0,30;0,00;0,00;
0,00;0,00;146,55;0,30;0,00;0,00;
0,00;0,00;148,95;0,30;0,00;0,00;
0,00;0,00;151,35;0,30;0,00;0,00;
0,00;0,00;153,74;0,30;0,00;0,00;
0,00;0,00;156,15;0,30;0,00;0,00;
0,00;0,00;158,54;0,37;0,00;0,00;
0,00;0,00;160,94;0,22;0,00;0,00;
0,00;0,00;162,97;0,37;0,00;0,00;
0,00;0,00;164,68;0,22;0,00;0,00;
0,00;0,00;166,04;0,22;0,00;0,00;
0,00;0,00;166,99;0,14;0,00;0,00;
0,00;0,00;167,56;0,06;0,00;0,00;
0,00;0,00;167,75;0,14;0,00;0,00;
0,00;0,00;167,81;0,30;0,00;0,00;
0,00;0,00;167,82;0,30;0,00;0,00;
0,00;0,00;168,12;0,22;0,00;0,00;
0,00;0,00;168,29;0,22;0,00;0,00;
0,00;0,00;168,45;0,22;0,00;0,00;
0,00;0,00;168,61;0,22;0,00;0,00;
0,00;0,00;168,77;0,30;0,00;0,00;
0,00;0,00;168,93;0,30;0,00;0,00;
0,00;0,00;169,09;0,30;0,00;0,00;
0,00;0,00;169,25;0,30;0,00;0,00;
0,00;0,00;169,41;0,14;0,00;0,00;
0,00;0,00;169,57;0,30;0,00;0,00;
0,00;0,00;169,73;0,30;0,00;0,00;
0,00;0,00;169,89;0,30;0,00;0,00;
0,00;0,00;170,05;0,14;0,00;0,00;
0,00;0,00;170,21;0,30;0,00;0,00;
0,00;0,00;170,37;0,30;0,00;0,00;
0,00;0,00;170,53;0,30;0,00;0,00;
0,00;0,00;170,69;0,30;0,00;0,00;
0,00;0,00;170,85;0,14;0,00;0,00;
0,00;0,00;171,01;0,30;0,00;0,00;
0,00;0,00;171,17;0,30;0,00;0,00;
0,00;0,00;171,33;0,22;0,00;0,00;
0,00;0,00;171,49;0,30;0,00;0,00;
0,00;0,00;171,65;0,14;0,00;0,00;
0,00;0,00;171,81;0,30;0,00;0,00;
0,00;0,00;171,97;0,30;0,00;0,00;
0,00;0,00;172,13;0,22;0,00;0,00;
0,00;0,00;172,29;0,22;0,00;0,00;
0,00;0,00;172,45;0,30;0,00;0,00;
0,00;0,00;172,61;0,30;0,00;0,00;
0,00;0,00;172,77;0,30;0,00;0,00;
0,00;0,00;172,93;0,30;0,00;0,00;
0,00;0,00;173,09;0,30;0,00;0,00;
0,00;0,00;173,25;0,22;0,00;0,00;
0,00;0,00;173,41;0,30;0,00;0,00;
0,00;0,00;173,57;0,30;0,00;0,00;
0,00;0,00;173,73;0,30;0,00;0,00;
0,00;0,00;173,89;0,30;0,00;0,00;
0,00;0,00;174,05;0,30;0,00;0,00;
0,00;0,00;174,21;0,30;0,00;0,00;
0,00;0,00;174,37;0,30;0,00;0,00;
0,00;0,00;174,53;0,30;0,00;0,00;
0,00;0,00;174,69;0,22;0,00;0,00;
0,00;0,00;174,85;0,30;0,00;0,00;
0,00;0,00;175,01;0,30;0,00;0,00;
0,00;0,00;175,17;0,30;0,00;0,00;
0,00;0,00;175,33;0,30;0,00;0,00;
0,00;0,00;175,49;0,30;0,00;0,00;
0,00;0,00;175,65;0,30;0,00;0,00;
0,00;0,00;175,81;0,30;0,00;0,00;
0,00;0,00;175,97;0,30;0,00;0,00;
0,00;0,00;176,13;0,30;0,00;0,00;
0,00;0,00;176,29;0,30;0,00;0,00;
0,00;0,00;176,45;0,22;0,00;0,00;
0,00;0,00;176,61;0,30;0,00;0,00;
0,00;0,00;176,77;0,30;0,00;0,00;
0,00;0,00;176,93;0,30;0,00;0,00;
0,00;0,00;177,09;0,30;0,00;0,00;
0,00;0,00;177,25;0,30;0,00;0,00;
0,00;0,00;177,41;0,30;0,00;0,00;
0,00;0,00;177,57;0,22;0,00;0,00;
0,00;0,00;177,73;0,22;0,00;0,00;
0,00;0,00;177,89;0,30;0,00;0,00;
0,00;0,00;178,05;0,30;0,00;0,00;
0,00;0,00;178,21;0,30;0,00;0,00;
0,00;0,00;178,37;0,53;0,00;0,00;
0,00;0,00;178,53;0,61;0,00;0,00;
0,00;0,00;178,69;0,75;0,00;0,00;
0,00;0,00;178,85;0,75;0,00;0,00;
0,00;0,00;179,01;0,90;0,00;0,00;
0,00;0,00;179,17;0,90;0,00;0,00;
0,00;0,00;179,33;0,90;0,00;0,00;
0,00;0,00;179,49;0,90;0,00;0,00;
0,00;0,00;179,65;0,90;0,00;0,00;
0,00;0,00;179,81;0,90;0,00;0,00;
0,00;0,00;179,97;0,90;0,00;0,00;
0,00;0,00;180,13;0,98;0,00;0,00;
0,00;0,00;180,29;0,98;0,00;0,00;
0,00;0,00;180,45;1,06;0,00;0,00;
0,00;0,00;180,61;1,21;0,00;0,00;
0,00;0,00;180,77;0,98;0,00;0,00;
0,00;0,00;180,93;1,06;0,00;0,00;
0,00;0,00;181,09;1,21;0,00;0,00;
0,00;0,00;181,25;1,14;0,00;0,00;
0,00;0,00;181,41;1,21;0,00;0,00;
0,00;0,00;181,57;1,21;0,00;0,00;
0,00;0,00;181,73;1,14;0,00;0,00;
0,00;0,00;181,80;0,67;0,00;0,00;
0,00;0,00;181,80;0,61;0,00;0,00;
0,00;0,00;181,66;-0,23;0,00;0,00;
0,00;0,00;181,13;-0,23;0,00;0,00;
0,00;0,00;180,27;-0,23;0,00;0,00;
0,00;0,00;179,02;-0,23;0,00;0,00;
0,00;0,00;177,38;-0,31;0,00;0,00;
0,00;0,00;175,36;-0,31;0,00;0,00;
0,00;0,00;173,62;-0,31;0,00;0,00;
0,00;0,00;172,17;-0,31;0,00;0,00;
0,00;0,00;171,01;-0,16;0,00;0,00;
0,00;0,00;169,81;-0,16;0,00;0,00;
0,00;0,00;169,79;-0,23;0,00;0,00;
0,00;0,00;169,79;-0,08;0,00;0,00;
0,00;0,00;169,95;0,22;0,00;0,00;
0,00;0,00;170,08;0,30;0,00;0,00;
0,00;0,00;170,24;0,30;0,00;0,00;
0,00;0,00;170,41;0,30;0,00;0,00;
0,00;0,00;170,57;0,30;0,00;0,00;
0,00;0,00;170,73;0,30;0,00;0,00;
