22762;06.07.21 09:36:05;21;Avvicinamento Pressata Finale;position > max position (10);20210705100331P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,10;-0,04;0,00;0,00;
0,00;0,00;33,30;-0,01;0,00;0,00;
0,00;0,00;37,92;-0,01;0,00;0,00;
0,00;0,00;52,32;-0,04;0,00;0,00;
0,00;0,00;57,12;-0,04;0,00;0,00;
0,00;0,00;66,72;-0,04;0,00;0,00;
0,00;0,00;71,52;-0,04;0,00;0,00;
0,00;0,00;81,12;-0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;90,72;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,04;0,00;0,00;
0,00;0,00;100,32;-0,04;0,00;0,00;
0,00;0,00;109,92;-0,04;0,00;0,00;
0,00;0,00;114,72;-0,04;0,00;0,00;
0,00;0,00;119,52;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,01;0,00;0,00;
0,00;0,00;143,52;-0,04;0,00;0,00;
0,00;0,00;148,32;-0,04;0,00;0,00;
0,00;0,00;153,12;-0,04;0,00;0,00;
0,00;0,00;157,92;-0,04;0,00;0,00;
0,00;0,00;162,72;-0,04;0,00;0,00;
0,00;0,00;167,52;-0,09;0,00;0,00;
0,00;0,00;172,32;-0,04;0,00;0,00;
0,00;0,00;177,12;-0,04;0,00;0,00;
0,00;0,00;191,52;-0,04;0,00;0,00;
0,00;0,00;196,32;-0,09;0,00;0,00;
0,00;0,00;201,12;-0,04;0,00;0,00;
0,00;0,00;205,92;-0,09;0,00;0,00;
0,00;0,00;215,52;-0,09;0,00;0,00;
0,00;0,00;220,32;-0,04;0,00;0,00;
0,00;0,00;225,12;-0,04;0,00;0,00;
0,00;0,00;229,92;-0,04;0,00;0,00;
0,00;0,00;234,72;-0,05;0,00;0,00;
0,00;0,00;239,52;-0,04;0,00;0,00;
0,00;0,00;249,12;-0,04;0,00;0,00;
0,00;0,00;253,92;-0,04;0,00;0,00;
0,00;0,00;258,72;-0,04;0,00;0,00;
0,00;0,00;263,52;-0,01;0,00;0,00;
0,00;0,00;273,12;-0,04;0,00;0,00;
0,00;0,00;277,92;-0,04;0,00;0,00;
0,00;0,00;282,72;-0,04;0,00;0,00;
0,00;0,00;287,13;-0,09;0,00;0,00;
0,00;0,00;289,81;-0,09;0,00;0,00;
0,00;0,00;290,56;-0,04;0,00;0,00;
0,00;0,00;290,80;-0,04;0,00;0,00;
0,00;0,00;297,84;0,08;0,00;0,00;
0,00;0,00;298,16;0,17;0,00;0,00;
0,00;0,00;298,48;0,35;0,00;0,00;
0,00;0,00;298,80;0,35;0,00;0,00;
0,00;0,00;299,12;0,35;0,00;0,00;
0,00;0,00;299,44;0,30;0,00;0,00;
0,00;0,00;299,76;0,35;0,00;0,00;
0,00;0,00;300,08;1,30;0,00;0,00;
0,00;0,00;300,39;1,65;0,00;0,00;
0,00;0,00;300,72;1,69;0,00;0,00;
0,00;0,00;301,04;1,69;0,00;0,00;
0,00;0,00;301,36;1,82;0,00;0,00;
0,00;0,00;301,68;1,99;0,00;0,00;
0,00;0,00;302,00;2,04;0,00;0,00;
0,00;0,00;302,32;2,13;0,00;0,00;
0,00;0,00;302,64;2,26;0,00;0,00;
0,00;0,00;302,96;2,39;0,00;0,00;
0,00;0,00;303,28;2,39;0,00;0,00;
0,00;0,00;303,60;2,44;0,00;0,00;
0,00;0,00;303,91;2,78;0,00;0,00;
0,00;0,00;304,24;2,74;0,00;0,00;
0,00;0,00;304,56;3,04;0,00;0,00;
0,00;0,00;304,88;3,12;0,00;0,00;
0,00;0,00;305,20;3,26;0,00;0,00;
0,00;0,00;305,52;3,39;0,00;0,00;
0,00;0,00;305,84;3,56;0,00;0,00;
0,00;0,00;306,16;3,74;0,00;0,00;
0,00;0,00;306,48;3,82;0,00;0,00;
0,00;0,00;306,80;3,87;0,00;0,00;
0,00;0,00;307,12;3,91;0,00;0,00;
0,00;0,00;307,44;3,91;0,00;0,00;
0,00;0,00;307,76;4,08;0,00;0,00;
0,00;0,00;308,07;4,35;0,00;0,00;
0,00;0,00;308,40;4,35;0,00;0,00;
0,00;0,00;308,72;4,52;0,00;0,00;
0,00;0,00;309,04;4,70;0,00;0,00;
0,00;0,00;309,36;4,82;0,00;0,00;
0,00;0,00;309,67;5,08;0,00;0,00;
0,00;0,00;310,00;5,21;0,00;0,00;
0,00;0,00;310,32;5,35;0,00;0,00;
0,00;0,00;310,64;5,43;0,00;0,00;
0,00;0,00;310,96;5,43;0,00;0,00;
0,00;0,00;311,28;5,60;0,00;0,00;
0,00;0,00;311,60;5,69;0,00;0,00;
0,00;0,00;311,92;5,78;0,00;0,00;
0,00;0,00;312,24;6,04;0,00;0,00;
0,00;0,00;312,56;5,95;0,00;0,00;
0,00;0,00;312,88;6,08;0,00;0,00;
0,00;0,00;313,20;6,25;0,00;0,00;
0,00;0,00;313,52;6,52;0,00;0,00;
0,00;0,00;313,83;8,61;0,00;0,00;
0,00;0,00;314,09;23,35;0,00;0,00;
0,00;0,00;314,19;30,30;0,00;0,00;
0,00;0,00;314,21;31,10;0,00;0,00;
0,00;0,00;314,22;31,82;0,00;0,00;
0,00;0,00;314,24;32,66;0,00;0,00;
0,00;0,00;314,25;33,09;0,00;0,00;
0,00;0,00;314,25;33,40;0,00;0,00;
0,00;0,00;314,26;33,57;0,00;0,00;
