2572;23.01.20 16:43:23;21;Avvicinamento Pressata Finale;force > max. force (8);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,30;0,04;0,00;0,00;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;2,40;0,04;0,00;0,00;
0,00;0,00;4,19;-0,01;0,00;0,00;
0,00;0,00;6,50;-0,05;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;11,21;0,04;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;18,42;-0,04;0,00;0,00;
0,00;0,00;20,82;0,08;0,00;0,00;
0,00;0,00;23,22;-0,04;0,00;0,00;
0,00;0,00;28,02;-0,04;0,00;0,00;
0,00;0,00;32,82;0,04;0,00;0,00;
0,00;0,00;40,02;0,04;0,00;0,00;
0,00;0,00;42,42;-0,04;0,00;0,00;
0,00;0,00;44,82;-0,09;0,00;0,00;
0,00;0,00;47,22;-0,04;0,00;0,00;
0,00;0,00;49,62;-0,04;0,00;0,00;
0,00;0,00;52,02;-0,01;0,00;0,00;
0,00;0,00;54,42;-0,01;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;59,22;-0,04;0,00;0,00;
0,00;0,00;61,62;-0,04;0,00;0,00;
0,00;0,00;68,82;-0,04;0,00;0,00;
0,00;0,00;71,22;-0,04;0,00;0,00;
0,00;0,00;73,62;-0,04;0,00;0,00;
0,00;0,00;78,42;-0,04;0,00;0,00;
0,00;0,00;80,82;-0,04;0,00;0,00;
0,00;0,00;83,22;-0,04;0,00;0,00;
0,00;0,00;88,02;-0,09;0,00;0,00;
0,00;0,00;92,82;0,04;0,00;0,00;
0,00;0,00;95,22;-0,04;0,00;0,00;
0,00;0,00;97,62;-0,04;0,00;0,00;
0,00;0,00;100,02;-0,01;0,00;0,00;
0,00;0,00;102,42;0,04;0,00;0,00;
0,00;0,00;104,82;-0,09;0,00;0,00;
0,00;0,00;107,22;-0,04;0,00;0,00;
0,00;0,00;112,02;-0,04;0,00;0,00;
0,00;0,00;114,42;-0,04;0,00;0,00;
0,00;0,00;116,82;-0,01;0,00;0,00;
0,00;0,00;119,22;-0,04;0,00;0,00;
0,00;0,00;121,62;-0,04;0,00;0,00;
0,00;0,00;124,02;-0,09;0,00;0,00;
0,00;0,00;126,42;-0,04;0,00;0,00;
0,00;0,00;128,82;-0,01;0,00;0,00;
0,00;0,00;131,22;-0,04;0,00;0,00;
0,00;0,00;138,42;-0,04;0,00;0,00;
0,00;0,00;140,82;-0,04;0,00;0,00;
0,00;0,00;143,22;-0,01;0,00;0,00;
0,00;0,00;148,02;-0,09;0,00;0,00;
0,00;0,00;155,22;-0,04;0,00;0,00;
0,00;0,00;157,62;-0,04;0,00;0,00;
0,00;0,00;160,02;-0,01;0,00;0,00;
0,00;0,00;162,42;-0,04;0,00;0,00;
0,00;0,00;164,82;-0,09;0,00;0,00;
0,00;0,00;172,02;-0,04;0,00;0,00;
0,00;0,00;174,42;0,04;0,00;0,00;
0,00;0,00;181,22;-0,04;0,00;0,00;
0,00;0,00;182,76;-0,04;0,00;0,00;
0,00;0,00;183,82;-0,09;0,00;0,00;
0,00;0,00;184,36;-0,09;0,00;0,00;
0,00;0,00;184,47;-0,01;0,00;0,00;
0,00;0,00;184,58;0,04;0,00;0,00;
0,00;0,00;188,42;0,04;0,00;0,00;
0,00;0,00;189,70;0,04;0,00;0,00;
0,00;0,00;189,86;0,04;0,00;0,00;
0,00;0,00;190,82;0,04;0,00;0,00;
0,00;0,00;195,30;0,04;0,00;0,00;
0,00;0,00;196,10;0,04;0,00;0,00;
0,00;0,00;201,38;0,04;0,00;0,00;
0,00;0,00;201,70;0,04;0,00;0,00;
0,00;0,00;205,54;0,04;0,00;0,00;
0,00;0,00;206,34;0,04;0,00;0,00;
0,00;0,00;208,90;0,04;0,00;0,00;
0,00;0,00;210,50;0,04;0,00;0,00;
0,00;0,00;210,66;0,04;0,00;0,00;
0,00;0,00;211,46;0,04;0,00;0,00;
0,00;0,00;214,02;0,04;0,00;0,00;
0,00;0,00;215,78;0,04;0,00;0,00;
0,00;0,00;218,18;0,04;0,00;0,00;
0,00;0,00;218,50;0,04;0,00;0,00;
0,00;0,00;219,14;0,04;0,00;0,00;
0,00;0,00;219,78;0,04;0,00;0,00;
0,00;0,00;220,58;0,04;0,00;0,00;
0,00;0,00;222,50;0,04;0,00;0,00;
0,00;0,00;222,82;0,04;0,00;0,00;
0,00;0,00;226,18;0,04;0,00;0,00;
0,00;0,00;229,86;0,04;0,00;0,00;
0,00;0,00;231,30;0,04;0,00;0,00;
0,00;0,00;233,06;0,04;0,00;0,00;
0,00;0,00;237,06;0,26;0,00;0,00;
0,00;0,00;237,21;2,43;0,00;0,00;
0,00;0,00;237,35;7,95;0,00;0,00;
0,00;0,00;237,48;15,48;0,00;0,00;
0,00;0,00;237,61;24,13;0,00;0,00;
0,00;0,00;237,62;25,83;0,00;0,00;
0,00;0,00;237,63;26,66;0,00;0,00;
0,00;0,00;237,64;27,31;0,00;0,00;
0,00;0,00;237,66;28,39;0,00;0,00;
0,00;0,00;237,67;29,17;0,00;0,00;
0,00;0,00;237,68;29,61;0,00;0,00;
0,00;0,00;237,68;30,00;0,00;0,00;
0,00;0,00;237,69;30,27;0,00;0,00;
0,00;0,00;237,69;30,27;0,00;0,00;
0,00;0,00;237,69;30,44;0,00;0,00;
0,00;0,00;237,69;30,44;0,00;0,00;
0,00;0,00;237,69;30,57;0,00;0,00;
0,00;0,00;237,69;30,61;0,00;0,00;
0,00;0,00;237,69;30,61;0,00;0,00;
0,00;0,00;237,69;30,61;0,00;0,00;
0,00;0,00;237,70;30,61;0,00;0,00;
0,00;0,00;237,70;30,74;0,00;0,00;
0,00;0,00;237,70;30,74;0,00;0,00;
0,00;0,00;237,70;30,78;0,00;0,00;
0,00;0,00;237,70;30,83;0,00;0,00;
