2571;23.01.20 16:40:14;21;Avvicinamento Pressata Finale;position > max position (10);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;182,10;0,04;0,00;0,00;
0,00;0,00;182,26;0,04;0,00;0,00;
0,00;0,00;182,42;0,08;0,00;0,00;
0,00;0,00;182,58;0,04;0,00;0,00;
0,00;0,00;182,74;0,04;0,00;0,00;
0,00;0,00;182,90;0,04;0,00;0,00;
0,00;0,00;183,06;0,08;0,00;0,00;
0,00;0,00;183,22;0,04;0,00;0,00;
0,00;0,00;183,38;0,04;0,00;0,00;
0,00;0,00;183,54;0,04;0,00;0,00;
0,00;0,00;183,70;0,04;0,00;0,00;
0,00;0,00;183,86;0,04;0,00;0,00;
0,00;0,00;184,02;0,04;0,00;0,00;
0,00;0,00;184,18;0,04;0,00;0,00;
0,00;0,00;184,34;0,04;0,00;0,00;
0,00;0,00;184,50;0,04;0,00;0,00;
0,00;0,00;184,66;0,04;0,00;0,00;
0,00;0,00;184,82;0,04;0,00;0,00;
0,00;0,00;184,98;0,04;0,00;0,00;
0,00;0,00;185,14;0,04;0,00;0,00;
0,00;0,00;185,30;0,04;0,00;0,00;
0,00;0,00;185,46;0,04;0,00;0,00;
0,00;0,00;185,62;0,04;0,00;0,00;
0,00;0,00;185,78;0,04;0,00;0,00;
0,00;0,00;185,94;0,08;0,00;0,00;
0,00;0,00;186,10;0,04;0,00;0,00;
0,00;0,00;186,26;0,04;0,00;0,00;
0,00;0,00;186,42;0,04;0,00;0,00;
0,00;0,00;186,58;0,04;0,00;0,00;
0,00;0,00;186,74;0,04;0,00;0,00;
0,00;0,00;186,90;0,04;0,00;0,00;
0,00;0,00;187,06;0,04;0,00;0,00;
0,00;0,00;187,22;0,04;0,00;0,00;
0,00;0,00;187,38;0,04;0,00;0,00;
0,00;0,00;187,54;0,04;0,00;0,00;
0,00;0,00;187,70;0,04;0,00;0,00;
0,00;0,00;187,86;0,04;0,00;0,00;
0,00;0,00;188,02;0,04;0,00;0,00;
0,00;0,00;188,18;0,04;0,00;0,00;
0,00;0,00;188,34;0,04;0,00;0,00;
0,00;0,00;188,50;0,04;0,00;0,00;
0,00;0,00;188,66;0,04;0,00;0,00;
0,00;0,00;188,82;0,08;0,00;0,00;
0,00;0,00;188,98;0,04;0,00;0,00;
0,00;0,00;189,14;0,04;0,00;0,00;
0,00;0,00;189,30;0,04;0,00;0,00;
0,00;0,00;189,46;0,04;0,00;0,00;
0,00;0,00;189,62;0,04;0,00;0,00;
0,00;0,00;189,78;0,04;0,00;0,00;
0,00;0,00;189,94;0,04;0,00;0,00;
0,00;0,00;190,10;0,04;0,00;0,00;
0,00;0,00;190,26;0,04;0,00;0,00;
