2715;23.01.20 11:17:20;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;161,75;5,04;0,00;0,00;
0,00;0,00;161,91;5,11;0,00;0,00;
0,00;0,00;162,07;5,18;0,00;0,00;
0,00;0,00;162,23;5,25;0,00;0,00;
0,00;0,00;162,39;5,36;0,00;0,00;
0,00;0,00;162,55;5,43;0,00;0,00;
0,00;0,00;162,71;5,54;0,00;0,00;
0,00;0,00;162,87;5,63;0,00;0,00;
0,00;0,00;163,03;5,74;0,00;0,00;
0,00;0,00;163,19;5,81;0,00;0,00;
0,00;0,00;163,35;5,88;0,00;0,00;
0,00;0,00;163,51;5,97;0,00;0,00;
0,00;0,00;163,67;6,06;0,00;0,00;
0,00;0,00;163,83;6,15;0,00;0,00;
0,00;0,00;163,99;6,24;0,00;0,00;
0,00;0,00;164,15;6,31;0,00;0,00;
0,00;0,00;164,31;6,42;0,00;0,00;
0,00;0,00;164,47;6,51;0,00;0,00;
0,00;0,00;164,63;6,60;0,00;0,00;
0,00;0,00;164,79;6,72;0,00;0,00;
0,00;0,00;164,95;6,78;0,00;0,00;
0,00;0,00;165,11;6,88;0,00;0,00;
0,00;0,00;165,27;6,97;0,00;0,00;
0,00;0,00;165,43;7,06;0,00;0,00;
0,00;0,00;165,59;7,15;0,00;0,00;
0,00;0,00;165,75;7,24;0,00;0,00;
0,00;0,00;165,91;7,33;0,00;0,00;
0,00;0,00;166,07;7,42;0,00;0,00;
0,00;0,00;166,20;7,30;0,00;0,00;
0,00;0,00;166,22;7,12;0,00;0,00;
0,00;0,00;166,16;5,58;0,00;0,00;
0,00;0,00;165,67;-0,02;0,00;0,00;
0,00;0,00;164,81;0,20;0,00;0,00;
0,00;0,00;164,43;0,05;0,00;0,00;
0,00;0,00;164,30;-0,07;0,00;0,00;
0,00;0,00;164,22;-0,05;0,00;0,00;
0,00;0,00;164,32;0,09;0,00;0,00;
0,00;0,00;164,46;0,09;0,00;0,00;
0,00;0,00;164,63;0,09;0,00;0,00;
0,00;0,00;164,79;0,09;0,00;0,00;
0,00;0,00;164,96;0,09;0,00;0,00;
0,00;0,00;165,12;0,09;0,00;0,00;
0,00;0,00;165,29;0,09;0,00;0,00;
0,00;0,00;165,45;0,09;0,00;0,00;
0,00;0,00;165,61;0,09;0,00;0,00;
0,00;0,00;165,71;0,05;0,00;0,00;
0,00;0,00;165,72;0,07;0,00;0,00;
0,00;0,00;165,72;0,09;0,00;0,00;
0,00;0,00;165,72;0,07;0,00;0,00;
0,00;0,00;165,71;0,09;0,00;0,00;
0,00;0,00;165,71;0,07;0,00;0,00;
0,00;0,00;165,71;0,02;0,00;0,00;
0,00;0,00;165,70;0,05;0,00;0,00;
0,00;0,00;165,70;0,02;0,00;0,00;
