1260;23.01.20 14:20:39;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;-0,04;0,16;0,00;0,00;
0,00;0,00;0,49;0,16;0,00;0,00;
0,00;0,00;1,50;0,18;0,00;0,00;
0,00;0,00;3,03;0,27;0,00;0,00;
0,00;0,00;5,08;0,11;0,00;0,00;
0,00;0,00;7,64;0,16;0,00;0,00;
0,00;0,00;10,65;0,27;0,00;0,00;
0,00;0,00;13,83;0,14;0,00;0,00;
0,00;0,00;16,98;0,13;0,00;0,00;
0,00;0,00;20,30;-0,07;0,00;0,00;
0,00;0,00;23,42;0,14;0,00;0,00;
0,00;0,00;26,51;0,16;0,00;0,00;
0,00;0,00;29,71;0,27;0,00;0,00;
0,00;0,00;33,02;0,18;0,00;0,00;
0,00;0,00;36,17;0,27;0,00;0,00;
0,00;0,00;39,44;0,16;0,00;0,00;
0,00;0,00;42,63;0,20;0,00;0,00;
0,00;0,00;45,85;0,05;0,00;0,00;
0,00;0,00;49,04;0,16;0,00;0,00;
0,00;0,00;52,25;0,14;0,00;0,00;
0,00;0,00;55,44;0,11;0,00;0,00;
0,00;0,00;58,65;0,16;0,00;0,00;
0,00;0,00;61,85;0,09;0,00;0,00;
0,00;0,00;65,05;0,18;0,00;0,00;
0,00;0,00;68,25;0,11;0,00;0,00;
0,00;0,00;71,45;0,11;0,00;0,00;
0,00;0,00;74,65;0,18;0,00;0,00;
0,00;0,00;77,85;0,09;0,00;0,00;
0,00;0,00;81,05;0,20;0,00;0,00;
0,00;0,00;84,25;0,14;0,00;0,00;
0,00;0,00;87,45;0,11;0,00;0,00;
0,00;0,00;90,65;0,18;0,00;0,00;
0,00;0,00;93,85;0,11;0,00;0,00;
0,00;0,00;97,05;0,18;0,00;0,00;
0,00;0,00;100,25;0,14;0,00;0,00;
0,00;0,00;103,45;0,11;0,00;0,00;
0,00;0,00;106,65;0,16;0,00;0,00;
0,00;0,00;109,85;0,11;0,00;0,00;
0,00;0,00;113,05;0,18;0,00;0,00;
0,00;0,00;116,25;0,18;0,00;0,00;
0,00;0,00;119,45;0,14;0,00;0,00;
0,00;0,00;122,65;0,16;0,00;0,00;
0,00;0,00;125,85;0,09;0,00;0,00;
0,00;0,00;129,05;0,18;0,00;0,00;
0,00;0,00;132,25;0,13;0,00;0,00;
0,00;0,00;135,45;0,14;0,00;0,00;
0,00;0,00;138,65;0,16;0,00;0,00;
0,00;0,00;141,85;0,09;0,00;0,00;
0,00;0,00;145,05;0,18;0,00;0,00;
0,00;0,00;148,25;0,14;0,00;0,00;
0,00;0,00;151,22;0,02;0,00;0,00;
0,00;0,00;153,68;0,07;0,00;0,00;
0,00;0,00;155,71;0,07;0,00;0,00;
0,00;0,00;157,24;0,57;0,00;0,00;
0,00;0,00;158,25;1,24;0,00;0,00;
0,00;0,00;158,77;1,56;0,00;0,00;
0,00;0,00;158,89;1,58;0,00;0,00;
0,00;0,00;158,93;1,36;0,00;0,00;
0,00;0,00;158,94;1,18;0,00;0,00;
0,00;0,00;158,93;1,13;0,00;0,00;
0,00;0,00;158,93;1,02;0,00;0,00;
0,00;0,00;158,93;0,86;0,00;0,00;
0,00;0,00;158,92;0,77;0,00;0,00;
0,00;0,00;158,92;0,68;0,00;0,00;
0,00;0,00;158,91;0,59;0,00;0,00;
0,00;0,00;158,91;0,50;0,00;0,00;
0,00;0,00;158,91;0,47;0,00;0,00;
0,00;0,00;158,91;0,43;0,00;0,00;
