2574;23.01.20 16:45:46;21;Avvicinamento Pressata Finale;force > max. force (8);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,04;0,00;0,00;
0,00;0,00;0,30;-0,04;0,00;0,00;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;2,40;-0,01;0,00;0,00;
0,00;0,00;4,19;-0,05;0,00;0,00;
0,00;0,00;6,50;-0,05;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;11,21;-0,01;0,00;0,00;
0,00;0,00;18,42;-0,09;0,00;0,00;
0,00;0,00;20,82;0,04;0,00;0,00;
0,00;0,00;23,22;-0,09;0,00;0,00;
0,00;0,00;25,62;-0,04;0,00;0,00;
0,00;0,00;28,02;-0,04;0,00;0,00;
0,00;0,00;30,42;-0,04;0,00;0,00;
0,00;0,00;32,82;-0,01;0,00;0,00;
0,00;0,00;35,22;-0,04;0,00;0,00;
0,00;0,00;37,62;-0,09;0,00;0,00;
0,00;0,00;40,02;0,04;0,00;0,00;
0,00;0,00;47,22;-0,05;0,00;0,00;
0,00;0,00;49,62;-0,04;0,00;0,00;
0,00;0,00;54,42;-0,04;0,00;0,00;
0,00;0,00;59,22;-0,05;0,00;0,00;
0,00;0,00;66,42;-0,01;0,00;0,00;
0,00;0,00;68,82;-0,04;0,00;0,00;
0,00;0,00;71,22;-0,04;0,00;0,00;
0,00;0,00;76,02;-0,04;0,00;0,00;
0,00;0,00;78,42;-0,09;0,00;0,00;
0,00;0,00;80,82;-0,04;0,00;0,00;
0,00;0,00;85,62;-0,13;0,00;0,00;
0,00;0,00;88,02;-0,09;0,00;0,00;
0,00;0,00;90,42;-0,04;0,00;0,00;
0,00;0,00;95,22;-0,04;0,00;0,00;
0,00;0,00;97,62;-0,04;0,00;0,00;
0,00;0,00;100,02;-0,04;0,00;0,00;
0,00;0,00;104,82;-0,09;0,00;0,00;
0,00;0,00;107,22;-0,09;0,00;0,00;
0,00;0,00;109,62;-0,04;0,00;0,00;
0,00;0,00;112,02;-0,09;0,00;0,00;
0,00;0,00;114,42;-0,04;0,00;0,00;
0,00;0,00;116,82;-0,04;0,00;0,00;
0,00;0,00;119,22;-0,04;0,00;0,00;
0,00;0,00;121,62;-0,04;0,00;0,00;
0,00;0,00;124,02;-0,04;0,00;0,00;
0,00;0,00;126,42;-0,05;0,00;0,00;
0,00;0,00;128,82;-0,09;0,00;0,00;
0,00;0,00;136,02;0,04;0,00;0,00;
0,00;0,00;138,42;-0,09;0,00;0,00;
0,00;0,00;140,82;-0,04;0,00;0,00;
0,00;0,00;143,22;-0,04;0,00;0,00;
0,00;0,00;145,62;-0,04;0,00;0,00;
0,00;0,00;148,02;-0,09;0,00;0,00;
0,00;0,00;150,42;-0,04;0,00;0,00;
0,00;0,00;152,82;-0,04;0,00;0,00;
0,00;0,00;155,22;-0,04;0,00;0,00;
0,00;0,00;157,62;-0,04;0,00;0,00;
0,00;0,00;160,02;-0,09;0,00;0,00;
0,00;0,00;167,22;-0,05;0,00;0,00;
0,00;0,00;169,62;-0,09;0,00;0,00;
0,00;0,00;172,02;-0,04;0,00;0,00;
0,00;0,00;174,42;-0,04;0,00;0,00;
0,00;0,00;176,82;-0,04;0,00;0,00;
0,00;0,00;179,22;0,04;0,00;0,00;
0,00;0,00;181,22;-0,09;0,00;0,00;
0,00;0,00;183,82;-0,04;0,00;0,00;
0,00;0,00;184,36;-0,04;0,00;0,00;
0,00;0,00;184,58;0,08;0,00;0,00;
0,00;0,00;184,89;0,04;0,00;0,00;
0,00;0,00;195,46;-0,04;0,00;0,00;
0,00;0,00;197,38;0,04;0,00;0,00;
0,00;0,00;197,54;0,04;0,00;0,00;
0,00;0,00;202,18;0,04;0,00;0,00;
0,00;0,00;205,86;0,04;0,00;0,00;
0,00;0,00;206,50;0,04;0,00;0,00;
0,00;0,00;210,02;0,04;0,00;0,00;
0,00;0,00;210,34;0,04;0,00;0,00;
0,00;0,00;218,98;0,04;0,00;0,00;
0,00;0,00;219,94;0,04;0,00;0,00;
0,00;0,00;227,94;0,04;0,00;0,00;
0,00;0,00;232,10;0,04;0,00;0,00;
0,00;0,00;235,62;0,04;0,00;0,00;
0,00;0,00;236,74;0,04;0,00;0,00;
0,00;0,00;237,06;0,17;0,00;0,00;
0,00;0,00;237,21;2,26;0,00;0,00;
0,00;0,00;237,35;7,74;0,00;0,00;
0,00;0,00;237,48;15,34;0,00;0,00;
0,00;0,00;237,61;24,04;0,00;0,00;
0,00;0,00;237,74;33,18;0,00;0,00;
0,00;0,00;237,77;36,26;0,00;0,00;
0,00;0,00;237,79;35,87;0,00;0,00;
0,00;0,00;237,89;27,13;0,00;0,00;
0,00;0,00;237,91;26,09;0,00;0,00;
0,00;0,00;237,91;26,04;0,00;0,00;
0,00;0,00;237,90;25,95;0,00;0,00;
0,00;0,00;237,90;25,92;0,00;0,00;
0,00;0,00;237,90;25,92;0,00;0,00;
0,00;0,00;237,90;25,92;0,00;0,00;
0,00;0,00;237,90;25,83;0,00;0,00;
0,00;0,00;237,90;25,83;0,00;0,00;
0,00;0,00;237,89;25,83;0,00;0,00;
0,00;0,00;237,89;25,79;0,00;0,00;
0,00;0,00;237,89;25,74;0,00;0,00;
