1263;23.01.20 14:29:46;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,23;0,00;0,00;
0,00;0,00;0,59;0,16;0,00;0,00;
0,00;0,00;1,61;0,13;0,00;0,00;
0,00;0,00;3,14;0,14;0,00;0,00;
0,00;0,00;5,19;0,20;0,00;0,00;
0,00;0,00;7,75;0,29;0,00;0,00;
0,00;0,00;10,77;0,09;0,00;0,00;
0,00;0,00;13,94;0,14;0,00;0,00;
0,00;0,00;17,08;0,20;0,00;0,00;
0,00;0,00;20,40;0,05;0,00;0,00;
0,00;0,00;23,52;0,11;0,00;0,00;
0,00;0,00;26,66;0,29;0,00;0,00;
0,00;0,00;30,00;0,29;0,00;0,00;
0,00;0,00;33,12;0,16;0,00;0,00;
0,00;0,00;36,29;0,05;0,00;0,00;
0,00;0,00;39,53;0,09;0,00;0,00;
0,00;0,00;42,71;0,13;0,00;0,00;
0,00;0,00;45,93;0,09;0,00;0,00;
0,00;0,00;49,13;0,18;0,00;0,00;
0,00;0,00;52,34;0,09;0,00;0,00;
0,00;0,00;55,53;0,18;0,00;0,00;
0,00;0,00;58,73;0,09;0,00;0,00;
0,00;0,00;61,93;0,09;0,00;0,00;
0,00;0,00;65,14;0,18;0,00;0,00;
0,00;0,00;68,33;0,09;0,00;0,00;
0,00;0,00;71,53;0,18;0,00;0,00;
0,00;0,00;74,73;0,11;0,00;0,00;
0,00;0,00;77,93;0,16;0,00;0,00;
0,00;0,00;81,13;0,18;0,00;0,00;
0,00;0,00;84,34;0,09;0,00;0,00;
0,00;0,00;87,54;0,18;0,00;0,00;
0,00;0,00;90,73;0,07;0,00;0,00;
0,00;0,00;93,93;0,09;0,00;0,00;
0,00;0,00;97,14;0,16;0,00;0,00;
0,00;0,00;100,34;0,09;0,00;0,00;
0,00;0,00;103,54;0,11;0,00;0,00;
0,00;0,00;106,74;0,11;0,00;0,00;
0,00;0,00;109,94;0,09;0,00;0,00;
0,00;0,00;113,13;0,23;0,00;0,00;
0,00;0,00;116,34;0,07;0,00;0,00;
0,00;0,00;119,54;0,14;0,00;0,00;
0,00;0,00;122,73;0,09;0,00;0,00;
0,00;0,00;125,94;0,11;0,00;0,00;
0,00;0,00;129,14;0,23;0,00;0,00;
0,00;0,00;132,34;0,09;0,00;0,00;
0,00;0,00;135,54;0,18;0,00;0,00;
0,00;0,00;138,74;0,14;0,00;0,00;
0,00;0,00;141,94;0,09;0,00;0,00;
0,00;0,00;145,14;0,25;0,00;0,00;
0,00;0,00;148,34;0,07;0,00;0,00;
0,00;0,00;155,79;0,05;0,00;0,00;
0,00;0,00;157,30;0,05;0,00;0,00;
0,00;0,00;158,78;-0,04;0,00;0,00;
0,00;0,00;158,90;0,02;0,00;0,00;
0,00;0,00;158,93;0,05;0,00;0,00;
0,00;0,00;159,16;0,07;0,00;0,00;
0,00;0,00;159,31;0,05;0,00;0,00;
0,00;0,00;159,47;0,05;0,00;0,00;
0,00;0,00;159,63;0,05;0,00;0,00;
0,00;0,00;159,79;0,05;0,00;0,00;
0,00;0,00;159,95;0,05;0,00;0,00;
0,00;0,00;160,11;0,05;0,00;0,00;
0,00;0,00;160,27;0,05;0,00;0,00;
0,00;0,00;160,43;0,05;0,00;0,00;
0,00;0,00;160,59;0,05;0,00;0,00;
0,00;0,00;160,75;0,05;0,00;0,00;
0,00;0,00;160,91;0,05;0,00;0,00;
0,00;0,00;161,07;0,05;0,00;0,00;
0,00;0,00;161,23;0,05;0,00;0,00;
0,00;0,00;161,39;0,05;0,00;0,00;
0,00;0,00;161,55;0,05;0,00;0,00;
0,00;0,00;161,71;0,05;0,00;0,00;
0,00;0,00;161,87;0,07;0,00;0,00;
0,00;0,00;161,91;0,05;0,00;0,00;
0,00;0,00;161,91;0,07;0,00;0,00;
0,00;0,00;161,64;-0,16;0,00;0,00;
0,00;0,00;160,85;-0,09;0,00;0,00;
0,00;0,00;160,01;0,05;0,00;0,00;
0,00;0,00;159,92;-0,05;0,00;0,00;
0,00;0,00;159,90;-0,09;0,00;0,00;
0,00;0,00;159,90;-0,06;0,00;0,00;
0,00;0,00;159,98;0,02;0,00;0,00;
0,00;0,00;160,12;0,11;0,00;0,00;
0,00;0,00;160,29;0,09;0,00;0,00;
0,00;0,00;160,45;0,02;0,00;0,00;
0,00;0,00;160,62;0,05;0,00;0,00;
0,00;0,00;160,78;0,05;0,00;0,00;
0,00;0,00;160,94;0,07;0,00;0,00;
0,00;0,00;161,10;0,09;0,00;0,00;
0,00;0,00;161,27;0,05;0,00;0,00;
0,00;0,00;161,43;0,05;0,00;0,00;
0,00;0,00;161,59;0,05;0,00;0,00;
0,00;0,00;161,75;0,05;0,00;0,00;
0,00;0,00;161,91;0,07;0,00;0,00;
0,00;0,00;162,07;0,05;0,00;0,00;
0,00;0,00;162,23;0,05;0,00;0,00;
0,00;0,00;162,39;0,05;0,00;0,00;
0,00;0,00;162,55;0,05;0,00;0,00;
0,00;0,00;162,71;0,05;0,00;0,00;
0,00;0,00;162,87;0,05;0,00;0,00;
0,00;0,00;163,03;0,05;0,00;0,00;
0,00;0,00;163,19;0,05;0,00;0,00;
0,00;0,00;163,35;0,05;0,00;0,00;
0,00;0,00;163,51;0,05;0,00;0,00;
0,00;0,00;163,67;0,05;0,00;0,00;
0,00;0,00;163,83;0,05;0,00;0,00;
0,00;0,00;163,99;0,05;0,00;0,00;
0,00;0,00;164,15;0,05;0,00;0,00;
0,00;0,00;164,31;0,05;0,00;0,00;
0,00;0,00;164,47;0,05;0,00;0,00;
0,00;0,00;164,63;0,05;0,00;0,00;
0,00;0,00;164,79;0,05;0,00;0,00;
0,00;0,00;164,95;0,07;0,00;0,00;
0,00;0,00;165,11;0,05;0,00;0,00;
0,00;0,00;165,27;0,05;0,00;0,00;
0,00;0,00;165,43;0,07;0,00;0,00;
0,00;0,00;165,59;0,05;0,00;0,00;
0,00;0,00;165,75;0,05;0,00;0,00;
0,00;0,00;165,91;0,05;0,00;0,00;
0,00;0,00;166,07;0,05;0,00;0,00;
0,00;0,00;166,23;0,07;0,00;0,00;
0,00;0,00;166,39;0,05;0,00;0,00;
0,00;0,00;166,55;0,05;0,00;0,00;
0,00;0,00;166,71;0,05;0,00;0,00;
0,00;0,00;166,87;0,05;0,00;0,00;
0,00;0,00;167,03;0,05;0,00;0,00;
0,00;0,00;167,19;0,05;0,00;0,00;
