35126;03.03.21 08:25:35;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20210302101832P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,20;0,00;0,00;
0,00;0,00;0,61;0,13;0,00;0,00;
0,00;0,00;1,64;0,13;0,00;0,00;
0,00;0,00;3,17;0,13;0,00;0,00;
0,00;0,00;5,21;0,16;0,00;0,00;
0,00;0,00;7,77;0,11;0,00;0,00;
0,00;0,00;10,83;0,07;0,00;0,00;
0,00;0,00;13,94;0,07;0,00;0,00;
0,00;0,00;17,12;0,11;0,00;0,00;
0,00;0,00;20,33;0,06;0,00;0,00;
0,00;0,00;23,53;0,09;0,00;0,00;
0,00;0,00;26,73;0,13;0,00;0,00;
0,00;0,00;29,94;0,09;0,00;0,00;
0,00;0,00;33,14;0,11;0,00;0,00;
0,00;0,00;36,33;0,11;0,00;0,00;
0,00;0,00;39,53;0,11;0,00;0,00;
0,00;0,00;42,74;0,09;0,00;0,00;
0,00;0,00;45,94;0,07;0,00;0,00;
0,00;0,00;49,14;0,13;0,00;0,00;
0,00;0,00;52,34;0,07;0,00;0,00;
0,00;0,00;55,54;0,06;0,00;0,00;
0,00;0,00;58,74;0,11;0,00;0,00;
0,00;0,00;61,94;0,11;0,00;0,00;
0,00;0,00;65,14;0,09;0,00;0,00;
0,00;0,00;68,34;0,09;0,00;0,00;
0,00;0,00;71,54;0,09;0,00;0,00;
0,00;0,00;74,74;0,06;0,00;0,00;
0,00;0,00;77,94;0,07;0,00;0,00;
0,00;0,00;81,14;0,11;0,00;0,00;
0,00;0,00;84,34;0,09;0,00;0,00;
0,00;0,00;87,54;0,09;0,00;0,00;
0,00;0,00;90,74;0,11;0,00;0,00;
0,00;0,00;93,94;0,05;0,00;0,00;
0,00;0,00;97,14;0,07;0,00;0,00;
0,00;0,00;100,34;0,09;0,00;0,00;
0,00;0,00;103,54;0,13;0,00;0,00;
0,00;0,00;106,74;0,06;0,00;0,00;
0,00;0,00;109,94;0,07;0,00;0,00;
0,00;0,00;113,14;0,07;0,00;0,00;
0,00;0,00;116,34;0,05;0,00;0,00;
0,00;0,00;119,54;0,06;0,00;0,00;
0,00;0,00;122,74;0,11;0,00;0,00;
0,00;0,00;125,94;0,07;0,00;0,00;
0,00;0,00;129,14;0,11;0,00;0,00;
0,00;0,00;132,34;0,06;0,00;0,00;
0,00;0,00;135,54;0,13;0,00;0,00;
0,00;0,00;138,74;0,07;0,00;0,00;
0,00;0,00;141,94;0,07;0,00;0,00;
0,00;0,00;145,14;0,09;0,00;0,00;
0,00;0,00;148,34;0,09;0,00;0,00;
0,00;0,00;151,54;0,09;0,00;0,00;
0,00;0,00;154,74;0,11;0,00;0,00;
0,00;0,00;157,94;0,07;0,00;0,00;
0,00;0,00;161,02;-0,05;0,00;0,00;
0,00;0,00;163,59;0,02;0,00;0,00;
0,00;0,00;165,71;-0,02;0,00;0,00;
0,00;0,00;168,43;-0,05;0,00;0,00;
0,00;0,00;169,02;-0,05;0,00;0,00;
0,00;0,00;169,27;0,05;0,00;0,00;
0,00;0,00;169,41;0,05;0,00;0,00;
0,00;0,00;171,65;0,02;0,00;0,00;
0,00;0,00;172,13;0,02;0,00;0,00;
0,00;0,00;173,70;-0,02;0,00;0,00;
0,00;0,00;173,71;-0,02;0,00;0,00;
0,00;0,00;173,71;-0,02;0,00;0,00;
