57331;27.08.21 16:32:27;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210827091447P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;171,20;-0,08;0,00;0,00;
0,00;0,00;171,26;0,14;0,00;0,00;
0,00;0,00;171,52;-0,23;0,00;0,00;
0,00;0,00;171,47;-0,23;0,00;0,00;
0,00;0,00;171,55;0,06;0,00;0,00;
0,00;0,00;171,86;0,08;0,00;0,00;
0,00;0,00;172,19;0,08;0,00;0,00;
0,00;0,00;172,35;0,08;0,00;0,00;
0,00;0,00;172,67;0,08;0,00;0,00;
0,00;0,00;172,83;0,08;0,00;0,00;
0,00;0,00;172,99;0,08;0,00;0,00;
0,00;0,00;173,15;0,08;0,00;0,00;
0,00;0,00;173,31;0,08;0,00;0,00;
0,00;0,00;173,47;0,08;0,00;0,00;
0,00;0,00;173,63;0,08;0,00;0,00;
0,00;0,00;173,95;0,08;0,00;0,00;
0,00;0,00;174,11;0,08;0,00;0,00;
0,00;0,00;174,27;0,08;0,00;0,00;
0,00;0,00;174,43;0,08;0,00;0,00;
0,00;0,00;174,59;0,08;0,00;0,00;
0,00;0,00;174,75;0,08;0,00;0,00;
0,00;0,00;174,91;0,08;0,00;0,00;
0,00;0,00;175,07;0,08;0,00;0,00;
0,00;0,00;175,23;0,08;0,00;0,00;
0,00;0,00;175,39;0,08;0,00;0,00;
0,00;0,00;175,55;0,08;0,00;0,00;
0,00;0,00;175,71;0,08;0,00;0,00;
0,00;0,00;175,87;0,08;0,00;0,00;
0,00;0,00;176,03;0,08;0,00;0,00;
0,00;0,00;176,19;0,08;0,00;0,00;
0,00;0,00;176,35;0,08;0,00;0,00;
0,00;0,00;176,51;0,08;0,00;0,00;
0,00;0,00;176,67;0,08;0,00;0,00;
0,00;0,00;176,83;0,08;0,00;0,00;
0,00;0,00;176,99;0,08;0,00;0,00;
0,00;0,00;177,15;0,22;0,00;0,00;
0,00;0,00;177,31;0,37;0,00;0,00;
0,00;0,00;177,47;0,61;0,00;0,00;
0,00;0,00;177,63;1,14;0,00;0,00;
0,00;0,00;177,79;1,74;0,00;0,00;
0,00;0,00;177,95;2,57;0,00;0,00;
0,00;0,00;178,10;3,27;0,00;0,00;
0,00;0,00;178,26;4,17;0,00;0,00;
0,00;0,00;178,42;5,31;0,00;0,00;
0,00;0,00;178,49;5,25;0,00;0,00;
0,00;0,00;178,49;5,47;0,00;0,00;
0,00;0,00;178,36;1,82;0,00;0,00;
0,00;0,00;177,84;-0,23;0,00;0,00;
0,00;0,00;177,09;-0,23;0,00;0,00;
0,00;0,00;176,74;-0,23;0,00;0,00;
0,00;0,00;176,58;-0,16;0,00;0,00;
0,00;0,00;176,49;-0,23;0,00;0,00;
0,00;0,00;176,49;-0,23;0,00;0,00;
0,00;0,00;176,55;-0,02;0,00;0,00;
0,00;0,00;176,72;0,08;0,00;0,00;
0,00;0,00;176,86;0,08;0,00;0,00;
0,00;0,00;177,02;0,08;0,00;0,00;
0,00;0,00;177,19;0,08;0,00;0,00;
0,00;0,00;177,35;0,08;0,00;0,00;
0,00;0,00;177,51;0,08;0,00;0,00;
0,00;0,00;177,67;0,08;0,00;0,00;
0,00;0,00;177,83;0,14;0,00;0,00;
0,00;0,00;177,99;0,08;0,00;0,00;
0,00;0,00;178,15;0,45;0,00;0,00;
0,00;0,00;178,31;1,43;0,00;0,00;
0,00;0,00;178,46;4,49;0,00;0,00;
0,00;0,00;178,62;6,46;0,00;0,00;
0,00;0,00;178,78;7,83;0,00;0,00;
0,00;0,00;178,94;9,05;0,00;0,00;
0,00;0,00;179,10;10,26;0,00;0,00;
0,00;0,00;179,26;11,48;0,00;0,00;
0,00;0,00;179,42;12,85;0,00;0,00;
0,00;0,00;179,58;14,30;0,00;0,00;
0,00;0,00;179,74;15,44;0,00;0,00;
0,00;0,00;179,90;16,73;0,00;0,00;
0,00;0,00;180,06;18,10;0,00;0,00;
0,00;0,00;180,22;19,41;0,00;0,00;
0,00;0,00;180,38;20,62;0,00;0,00;
0,00;0,00;180,54;21,91;0,00;0,00;
0,00;0,00;180,70;23,29;0,00;0,00;
0,00;0,00;180,86;24,66;0,00;0,00;
0,00;0,00;181,02;25,95;0,00;0,00;
0,00;0,00;181,18;27,16;0,00;0,00;
0,00;0,00;181,34;28,38;0,00;0,00;
0,00;0,00;181,50;29,59;0,00;0,00;
0,00;0,00;181,65;30,59;0,00;0,00;
0,00;0,00;181,65;28,69;0,00;0,00;
0,00;0,00;181,66;30,51;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
0,00;0,00;181,66;30,14;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
0,00;0,00;181,66;30,14;0,00;0,00;
0,00;0,00;181,66;30,22;0,00;0,00;
