2938;30.01.20 17:31:01;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20200130171947;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,20;0,00;0,00;
0,00;0,00;44,96;0,16;0,00;0,00;
0,00;0,00;46,22;0,13;0,00;0,00;
0,00;0,00;48,01;0,18;0,00;0,00;
0,00;0,00;50,31;0,20;0,00;0,00;
0,00;0,00;53,14;0,18;0,00;0,00;
0,00;0,00;56,30;0,07;0,00;0,00;
0,00;0,00;59,40;0,16;0,00;0,00;
0,00;0,00;62,64;0,12;0,00;0,00;
0,00;0,00;65,84;0,14;0,00;0,00;
0,00;0,00;69,05;0,09;0,00;0,00;
0,00;0,00;72,25;0,12;0,00;0,00;
0,00;0,00;75,45;0,09;0,00;0,00;
0,00;0,00;78,65;0,09;0,00;0,00;
0,00;0,00;81,85;0,09;0,00;0,00;
0,00;0,00;85,05;0,09;0,00;0,00;
0,00;0,00;88,25;0,07;0,00;0,00;
0,00;0,00;91,45;0,12;0,00;0,00;
0,00;0,00;94,65;0,12;0,00;0,00;
0,00;0,00;97,85;0,07;0,00;0,00;
0,00;0,00;101,05;0,09;0,00;0,00;
0,00;0,00;104,25;0,12;0,00;0,00;
0,00;0,00;107,45;0,12;0,00;0,00;
0,00;0,00;110,65;0,16;0,00;0,00;
0,00;0,00;113,85;0,12;0,00;0,00;
0,00;0,00;117,05;0,07;0,00;0,00;
0,00;0,00;120,25;0,16;0,00;0,00;
0,00;0,00;123,44;0,12;0,00;0,00;
0,00;0,00;126,65;0,16;0,00;0,00;
0,00;0,00;129,85;0,12;0,00;0,00;
0,00;0,00;133,05;0,09;0,00;0,00;
0,00;0,00;136,25;0,12;0,00;0,00;
0,00;0,00;139,45;0,05;0,00;0,00;
0,00;0,00;142,65;0,12;0,00;0,00;
0,00;0,00;145,85;0,09;0,00;0,00;
0,00;0,00;149,05;0,09;0,00;0,00;
0,00;0,00;152,25;0,07;0,00;0,00;
0,00;0,00;155,45;0,05;0,00;0,00;
0,00;0,00;158,65;0,12;0,00;0,00;
0,00;0,00;161,85;0,12;0,00;0,00;
0,00;0,00;165,01;0,05;0,00;0,00;
0,00;0,00;167,70;0,07;0,00;0,00;
0,00;0,00;169,94;0,05;0,00;0,00;
0,00;0,00;171,70;0,05;0,00;0,00;
0,00;0,00;173,66;-0,02;0,00;0,00;
0,00;0,00;174,03;0,09;0,00;0,00;
0,00;0,00;174,16;0,05;0,00;0,00;
0,00;0,00;174,64;0,02;0,00;0,00;
0,00;0,00;174,80;0,02;0,00;0,00;
0,00;0,00;174,96;0,13;0,00;0,00;
0,00;0,00;175,12;0,25;0,00;0,00;
0,00;0,00;175,28;0,81;0,00;0,00;
0,00;0,00;175,42;4,86;0,00;0,00;
0,00;0,00;175,53;9,31;0,00;0,00;
0,00;0,00;175,66;14,02;0,00;0,00;
0,00;0,00;175,79;18,72;0,00;0,00;
0,00;0,00;175,92;22,20;0,00;0,00;
0,00;0,00;175,95;22,07;0,00;0,00;
0,00;0,00;175,98;22,18;0,00;0,00;
0,00;0,00;176,00;22,18;0,00;0,00;
0,00;0,00;176,01;22,07;0,00;0,00;
0,00;0,00;176,03;22,04;0,00;0,00;
0,00;0,00;176,04;21,93;0,00;0,00;
0,00;0,00;176,05;21,98;0,00;0,00;
0,00;0,00;176,06;21,84;0,00;0,00;
0,00;0,00;176,06;21,64;0,00;0,00;
0,00;0,00;176,07;21,44;0,00;0,00;
0,00;0,00;176,07;21,28;0,00;0,00;
0,00;0,00;176,07;21,14;0,00;0,00;
0,00;0,00;176,07;21,01;0,00;0,00;
