3698;10.09.20 16:37:25;21;Avvicinamento Pressata Finale;force > max. force (8);20200908092949A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,09;0,00;0,00;
0,00;0,00;0,30;-0,01;0,00;0,00;
0,00;0,00;1,12;-0,01;0,00;0,00;
0,00;0,00;2,40;0,04;0,00;0,00;
0,00;0,00;4,20;-0,05;0,00;0,00;
0,00;0,00;6,50;-0,01;0,00;0,00;
0,00;0,00;8,82;-0,01;0,00;0,00;
0,00;0,00;13,62;-0,01;0,00;0,00;
0,00;0,00;16,02;0,04;0,00;0,00;
0,00;0,00;18,42;0,04;0,00;0,00;
0,00;0,00;20,82;-0,04;0,00;0,00;
0,00;0,00;28,02;-0,01;0,00;0,00;
0,00;0,00;32,82;-0,04;0,00;0,00;
0,00;0,00;35,22;-0,04;0,00;0,00;
0,00;0,00;37,62;-0,04;0,00;0,00;
0,00;0,00;40,02;-0,01;0,00;0,00;
0,00;0,00;42,42;-0,04;0,00;0,00;
0,00;0,00;44,82;-0,04;0,00;0,00;
0,00;0,00;47,22;-0,09;0,00;0,00;
0,00;0,00;52,02;-0,01;0,00;0,00;
0,00;0,00;59,22;-0,09;0,00;0,00;
0,00;0,00;61,62;-0,04;0,00;0,00;
0,00;0,00;68,82;-0,09;0,00;0,00;
0,00;0,00;73,62;0,04;0,00;0,00;
0,00;0,00;76,02;0,04;0,00;0,00;
0,00;0,00;78,42;-0,04;0,00;0,00;
0,00;0,00;80,82;-0,04;0,00;0,00;
0,00;0,00;83,22;-0,04;0,00;0,00;
0,00;0,00;85,62;-0,09;0,00;0,00;
0,00;0,00;88,02;-0,05;0,00;0,00;
0,00;0,00;92,82;-0,01;0,00;0,00;
0,00;0,00;95,22;-0,01;0,00;0,00;
0,00;0,00;97,62;-0,04;0,00;0,00;
0,00;0,00;102,42;-0,04;0,00;0,00;
0,00;0,00;104,82;-0,09;0,00;0,00;
0,00;0,00;107,22;-0,09;0,00;0,00;
0,00;0,00;109,62;-0,04;0,00;0,00;
0,00;0,00;112,02;-0,04;0,00;0,00;
0,00;0,00;114,42;-0,04;0,00;0,00;
0,00;0,00;119,22;-0,09;0,00;0,00;
0,00;0,00;121,62;-0,04;0,00;0,00;
0,00;0,00;126,42;-0,09;0,00;0,00;
0,00;0,00;128,82;-0,09;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;136,02;-0,04;0,00;0,00;
0,00;0,00;140,82;0,04;0,00;0,00;
0,00;0,00;143,22;-0,04;0,00;0,00;
0,00;0,00;145,62;-0,04;0,00;0,00;
0,00;0,00;148,02;-0,09;0,00;0,00;
0,00;0,00;150,42;-0,04;0,00;0,00;
0,00;0,00;152,82;-0,04;0,00;0,00;
0,00;0,00;155,22;-0,04;0,00;0,00;
0,00;0,00;157,62;-0,04;0,00;0,00;
0,00;0,00;160,02;-0,01;0,00;0,00;
0,00;0,00;162,42;-0,04;0,00;0,00;
0,00;0,00;164,82;-0,09;0,00;0,00;
0,00;0,00;169,62;-0,04;0,00;0,00;
0,00;0,00;172,02;-0,04;0,00;0,00;
0,00;0,00;174,42;0,04;0,00;0,00;
0,00;0,00;176,82;-0,04;0,00;0,00;
0,00;0,00;181,22;-0,09;0,00;0,00;
0,00;0,00;183,82;-0,09;0,00;0,00;
0,00;0,00;184,36;-0,09;0,00;0,00;
0,00;0,00;184,46;0,04;0,00;0,00;
0,00;0,00;184,58;0,12;0,00;0,00;
0,00;0,00;185,38;0,04;0,00;0,00;
0,00;0,00;188,90;0,04;0,00;0,00;
0,00;0,00;189,06;0,04;0,00;0,00;
0,00;0,00;191,62;0,04;0,00;0,00;
0,00;0,00;192,90;0,08;0,00;0,00;
0,00;0,00;193,22;0,04;0,00;0,00;
0,00;0,00;194,02;0,04;0,00;0,00;
0,00;0,00;194,34;0,04;0,00;0,00;
0,00;0,00;195,30;0,04;0,00;0,00;
0,00;0,00;196,58;0,04;0,00;0,00;
0,00;0,00;197,54;0,04;0,00;0,00;
0,00;0,00;197,86;0,04;0,00;0,00;
0,00;0,00;198,34;0,04;0,00;0,00;
0,00;0,00;198,50;0,04;0,00;0,00;
0,00;0,00;199,46;0,04;0,00;0,00;
0,00;0,00;202,50;0,04;0,00;0,00;
0,00;0,00;202,82;0,04;0,00;0,00;
0,00;0,00;204,58;0,04;0,00;0,00;
0,00;0,00;205,70;0,04;0,00;0,00;
0,00;0,00;206,34;0,04;0,00;0,00;
0,00;0,00;206,82;0,04;0,00;0,00;
0,00;0,00;206,98;0,04;0,00;0,00;
0,00;0,00;207,14;0,04;0,00;0,00;
0,00;0,00;207,94;0,04;0,00;0,00;
0,00;0,00;208,10;0,04;0,00;0,00;
0,00;0,00;208,26;0,04;0,00;0,00;
0,00;0,00;209,22;0,04;0,00;0,00;
0,00;0,00;209,54;0,04;0,00;0,00;
0,00;0,00;210,34;0,04;0,00;0,00;
0,00;0,00;210,66;0,04;0,00;0,00;
0,00;0,00;212,10;0,04;0,00;0,00;
0,00;0,00;213,38;0,04;0,00;0,00;
0,00;0,00;214,50;0,04;0,00;0,00;
0,00;0,00;214,82;0,04;0,00;0,00;
0,00;0,00;216,42;0,04;0,00;0,00;
0,00;0,00;217,54;0,04;0,00;0,00;
0,00;0,00;218,34;0,04;0,00;0,00;
0,00;0,00;219,62;0,04;0,00;0,00;
0,00;0,00;220,10;0,04;0,00;0,00;
0,00;0,00;221,06;0,04;0,00;0,00;
0,00;0,00;221,22;0,04;0,00;0,00;
0,00;0,00;223,46;0,04;0,00;0,00;
0,00;0,00;224,10;0,04;0,00;0,00;
0,00;0,00;224,58;0,08;0,00;0,00;
0,00;0,00;228,26;0,04;0,00;0,00;
0,00;0,00;229,22;0,04;0,00;0,00;
0,00;0,00;233,38;0,04;0,00;0,00;
0,00;0,00;233,86;0,04;0,00;0,00;
0,00;0,00;234,18;0,04;0,00;0,00;
0,00;0,00;234,82;0,04;0,00;0,00;
0,00;0,00;236,26;0,04;0,00;0,00;
0,00;0,00;236,42;0,04;0,00;0,00;
0,00;0,00;237,22;0,04;0,00;0,00;
0,00;0,00;238,02;0,08;0,00;0,00;
0,00;0,00;238,18;0,82;0,00;0,00;
0,00;0,00;238,32;4,82;0,00;0,00;
0,00;0,00;238,46;10,69;0,00;0,00;
0,00;0,00;238,59;18,61;0,00;0,00;
0,00;0,00;238,72;27,31;0,00;0,00;
0,00;0,00;238,83;35,39;0,00;0,00;
0,00;0,00;238,85;36,26;0,00;0,00;
0,00;0,00;238,86;37,05;0,00;0,00;
0,00;0,00;238,87;37,83;0,00;0,00;
0,00;0,00;238,90;39,62;0,00;0,00;
0,00;0,00;238,91;40,96;0,00;0,00;
0,00;0,00;238,92;41,05;0,00;0,00;
0,00;0,00;238,92;41,23;0,00;0,00;
0,00;0,00;238,92;41,31;0,00;0,00;
0,00;0,00;238,92;41,44;0,00;0,00;
0,00;0,00;238,93;41,57;0,00;0,00;
0,00;0,00;238,93;41,74;0,00;0,00;
0,00;0,00;238,93;41,92;0,00;0,00;
0,00;0,00;238,93;41,96;0,00;0,00;
