16533;08.01.21 09:10:10;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210105143535P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,16;0,00;0,00;
0,00;0,00;0,51;0,23;0,00;0,00;
0,00;0,00;1,28;0,37;0,00;0,00;
0,00;0,00;2,43;0,37;0,00;0,00;
0,00;0,00;3,97;0,37;0,00;0,00;
0,00;0,00;5,90;0,30;0,00;0,00;
0,00;0,00;8,20;0,16;0,00;0,00;
0,00;0,00;10,54;0,30;0,00;0,00;
0,00;0,00;12,93;0,23;0,00;0,00;
0,00;0,00;15,34;0,31;0,00;0,00;
0,00;0,00;17,74;0,23;0,00;0,00;
0,00;0,00;20,15;0,14;0,00;0,00;
0,00;0,00;22,54;0,16;0,00;0,00;
0,00;0,00;24,95;0,23;0,00;0,00;
0,00;0,00;27,35;0,31;0,00;0,00;
0,00;0,00;29,75;0,16;0,00;0,00;
0,00;0,00;32,15;0,23;0,00;0,00;
0,00;0,00;34,54;0,08;0,00;0,00;
0,00;0,00;36,95;0,23;0,00;0,00;
0,00;0,00;39,35;0,23;0,00;0,00;
0,00;0,00;41,75;0,16;0,00;0,00;
0,00;0,00;44,15;0,08;0,00;0,00;
0,00;0,00;46,54;0,16;0,00;0,00;
0,00;0,00;48,95;0,23;0,00;0,00;
0,00;0,00;51,35;0,31;0,00;0,00;
0,00;0,00;53,75;0,16;0,00;0,00;
0,00;0,00;56,15;0,16;0,00;0,00;
0,00;0,00;58,54;0,16;0,00;0,00;
0,00;0,00;60,95;0,16;0,00;0,00;
0,00;0,00;63,35;0,31;0,00;0,00;
0,00;0,00;65,74;0,16;0,00;0,00;
0,00;0,00;68,15;0,16;0,00;0,00;
0,00;0,00;70,55;0,23;0,00;0,00;
0,00;0,00;72,95;0,23;0,00;0,00;
0,00;0,00;75,35;0,23;0,00;0,00;
0,00;0,00;77,75;0,16;0,00;0,00;
0,00;0,00;80,15;0,08;0,00;0,00;
0,00;0,00;82,54;0,23;0,00;0,00;
0,00;0,00;84,95;0,23;0,00;0,00;
0,00;0,00;87,35;0,23;0,00;0,00;
0,00;0,00;89,75;0,23;0,00;0,00;
0,00;0,00;92,15;0,16;0,00;0,00;
0,00;0,00;94,54;0,16;0,00;0,00;
0,00;0,00;96,95;0,23;0,00;0,00;
0,00;0,00;99,35;0,23;0,00;0,00;
0,00;0,00;101,74;0,16;0,00;0,00;
0,00;0,00;104,15;0,16;0,00;0,00;
0,00;0,00;106,54;0,08;0,00;0,00;
0,00;0,00;108,95;0,08;0,00;0,00;
0,00;0,00;111,35;0,23;0,00;0,00;
0,00;0,00;113,75;0,16;0,00;0,00;
0,00;0,00;116,15;0,16;0,00;0,00;
0,00;0,00;118,54;0,16;0,00;0,00;
0,00;0,00;120,95;0,23;0,00;0,00;
0,00;0,00;123,35;0,23;0,00;0,00;
0,00;0,00;125,75;0,08;0,00;0,00;
0,00;0,00;128,15;0,08;0,00;0,00;
0,00;0,00;130,54;0,16;0,00;0,00;
0,00;0,00;132,95;0,23;0,00;0,00;
0,00;0,00;135,35;0,31;0,00;0,00;
0,00;0,00;137,74;0,16;0,00;0,00;
0,00;0,00;140,15;0,08;0,00;0,00;
0,00;0,00;142,54;0,16;0,00;0,00;
0,00;0,00;144,95;0,16;0,00;0,00;
0,00;0,00;147,35;0,23;0,00;0,00;
0,00;0,00;149,75;0,16;0,00;0,00;
0,00;0,00;152,15;0,08;0,00;0,00;
0,00;0,00;154,54;0,16;0,00;0,00;
0,00;0,00;156,95;0,08;0,00;0,00;
0,00;0,00;159,35;0,23;0,00;0,00;
0,00;0,00;161,74;0,16;0,00;0,00;
0,00;0,00;164,15;0,08;0,00;0,00;
0,00;0,00;166,54;0,08;0,00;0,00;
0,00;0,00;168,95;0,23;0,00;0,00;
0,00;0,00;171,35;0,31;0,00;0,00;
0,00;0,00;173,75;0,22;0,00;0,00;
0,00;0,00;176,15;0,23;0,00;0,00;
0,00;0,00;178,30;0,23;0,00;0,00;
0,00;0,00;180,11;0,16;0,00;0,00;
0,00;0,00;181,58;0,08;0,00;0,00;
0,00;0,00;182,67;0,08;0,00;0,00;
0,00;0,00;183,38;0,08;0,00;0,00;
0,00;0,00;183,90;0,08;0,00;0,00;
0,00;0,00;184,04;0,08;0,00;0,00;
0,00;0,00;184,18;0,08;0,00;0,00;
0,00;0,00;185,31;0,08;0,00;0,00;
0,00;0,00;185,47;0,16;0,00;0,00;
0,00;0,00;185,79;0,08;0,00;0,00;
0,00;0,00;185,95;0,23;0,00;0,00;
0,00;0,00;186,11;0,08;0,00;0,00;
0,00;0,00;186,27;0,08;0,00;0,00;
0,00;0,00;186,43;0,08;0,00;0,00;
0,00;0,00;186,59;0,08;0,00;0,00;
0,00;0,00;186,75;0,16;0,00;0,00;
0,00;0,00;186,91;0,08;0,00;0,00;
0,00;0,00;187,07;0,23;0,00;0,00;
0,00;0,00;187,23;0,23;0,00;0,00;
0,00;0,00;187,39;0,16;0,00;0,00;
0,00;0,00;187,55;0,08;0,00;0,00;
0,00;0,00;187,71;0,16;0,00;0,00;
0,00;0,00;187,87;0,08;0,00;0,00;
0,00;0,00;188,03;0,08;0,00;0,00;
0,00;0,00;188,19;0,23;0,00;0,00;
0,00;0,00;188,35;0,16;0,00;0,00;
0,00;0,00;188,51;0,08;0,00;0,00;
0,00;0,00;188,67;0,23;0,00;0,00;
0,00;0,00;188,83;0,23;0,00;0,00;
0,00;0,00;188,99;0,08;0,00;0,00;
0,00;0,00;189,15;0,16;0,00;0,00;
0,00;0,00;189,31;0,23;0,00;0,00;
0,00;0,00;189,47;0,16;0,00;0,00;
0,00;0,00;189,63;0,23;0,00;0,00;
0,00;0,00;189,79;0,16;0,00;0,00;
0,00;0,00;189,95;0,16;0,00;0,00;
0,00;0,00;190,11;0,23;0,00;0,00;
0,00;0,00;190,27;0,23;0,00;0,00;
0,00;0,00;190,43;0,08;0,00;0,00;
0,00;0,00;190,59;0,23;0,00;0,00;
0,00;0,00;190,75;0,31;0,00;0,00;
0,00;0,00;190,91;0,31;0,00;0,00;
0,00;0,00;191,07;0,16;0,00;0,00;
0,00;0,00;191,23;0,31;0,00;0,00;
0,00;0,00;191,39;0,23;0,00;0,00;
0,00;0,00;191,55;0,23;0,00;0,00;
0,00;0,00;191,71;0,23;0,00;0,00;
0,00;0,00;191,87;0,16;0,00;0,00;
0,00;0,00;192,03;0,23;0,00;0,00;
0,00;0,00;192,19;0,23;0,00;0,00;
0,00;0,00;192,35;0,23;0,00;0,00;
0,00;0,00;192,51;0,16;0,00;0,00;
0,00;0,00;192,67;0,23;0,00;0,00;
0,00;0,00;192,83;0,31;0,00;0,00;
0,00;0,00;192,99;0,31;0,00;0,00;
0,00;0,00;193,15;0,23;0,00;0,00;
0,00;0,00;193,31;0,31;0,00;0,00;
0,00;0,00;193,47;0,23;0,00;0,00;
0,00;0,00;193,63;0,31;0,00;0,00;
0,00;0,00;193,79;0,31;0,00;0,00;
0,00;0,00;193,95;2,43;0,00;0,00;
0,00;0,00;194,09;12,18;0,00;0,00;
0,00;0,00;194,10;14,39;0,00;0,00;
0,00;0,00;194,14;16,82;0,00;0,00;
0,00;0,00;194,15;17,37;0,00;0,00;
0,00;0,00;194,15;17,66;0,00;0,00;
0,00;0,00;194,15;17,82;0,00;0,00;
0,00;0,00;194,15;17,97;0,00;0,00;
0,00;0,00;194,16;18,19;0,00;0,00;
0,00;0,00;194,16;18,19;0,00;0,00;
0,00;0,00;194,16;18,27;0,00;0,00;
0,00;0,00;194,16;18,27;0,00;0,00;
0,00;0,00;194,16;18,27;0,00;0,00;
0,00;0,00;194,16;18,27;0,00;0,00;
0,00;0,00;194,16;18,27;0,00;0,00;
0,00;0,00;194,16;18,27;0,00;0,00;
