4825;13.10.20 10:36:18;21;Avvicinamento Pressata Finale;position < min position (11);20201012151653;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;290,36;-0,12;0,00;0,00;
0,00;0,00;290,55;-0,04;0,00;0,00;
0,00;0,00;290,60;-0,09;0,00;0,00;
0,00;0,00;290,60;-0,09;0,00;0,00;
0,00;0,00;290,80;-0,09;0,00;0,00;
0,00;0,00;290,95;-0,04;0,00;0,00;
0,00;0,00;291,12;-0,04;0,00;0,00;
0,00;0,00;291,28;-0,09;0,00;0,00;
0,00;0,00;291,60;-0,09;0,00;0,00;
0,00;0,00;291,76;-0,09;0,00;0,00;
0,00;0,00;291,92;-0,09;0,00;0,00;
0,00;0,00;292,24;-0,04;0,00;0,00;
0,00;0,00;292,40;-0,09;0,00;0,00;
0,00;0,00;292,56;-0,04;0,00;0,00;
0,00;0,00;292,72;-0,09;0,00;0,00;
0,00;0,00;292,88;-0,09;0,00;0,00;
0,00;0,00;293,04;-0,04;0,00;0,00;
0,00;0,00;293,20;-0,12;0,00;0,00;
0,00;0,00;293,36;-0,09;0,00;0,00;
0,00;0,00;293,52;-0,09;0,00;0,00;
0,00;0,00;293,84;-0,09;0,00;0,00;
0,00;0,00;294,00;0,04;0,00;0,00;
0,00;0,00;294,16;-0,04;0,00;0,00;
0,00;0,00;294,32;-0,09;0,00;0,00;
0,00;0,00;294,48;0,04;0,00;0,00;
0,00;0,00;294,64;-0,04;0,00;0,00;
0,00;0,00;294,96;-0,04;0,00;0,00;
0,00;0,00;295,12;-0,09;0,00;0,00;
0,00;0,00;295,60;-0,09;0,00;0,00;
0,00;0,00;295,76;-0,09;0,00;0,00;
0,00;0,00;296,08;-0,04;0,00;0,00;
0,00;0,00;296,40;-0,12;0,00;0,00;
0,00;0,00;296,56;0,04;0,00;0,00;
0,00;0,00;296,72;-0,04;0,00;0,00;
0,00;0,00;296,88;-0,09;0,00;0,00;
0,00;0,00;297,04;-0,09;0,00;0,00;
0,00;0,00;297,20;-0,12;0,00;0,00;
0,00;0,00;297,52;-0,04;0,00;0,00;
0,00;0,00;297,68;-0,04;0,00;0,00;
0,00;0,00;298,00;-0,04;0,00;0,00;
0,00;0,00;298,16;-0,04;0,00;0,00;
0,00;0,00;298,32;-0,04;0,00;0,00;
0,00;0,00;298,48;-0,04;0,00;0,00;
0,00;0,00;298,64;-0,04;0,00;0,00;
0,00;0,00;298,96;-0,04;0,00;0,00;
0,00;0,00;299,28;0,04;0,00;0,00;
0,00;0,00;299,44;-0,04;0,00;0,00;
0,00;0,00;299,60;0,04;0,00;0,00;
0,00;0,00;299,76;-0,04;0,00;0,00;
0,00;0,00;299,92;-0,04;0,00;0,00;
0,00;0,00;300,40;0,22;0,00;0,00;
0,00;0,00;300,56;0,22;0,00;0,00;
0,00;0,00;300,72;0,22;0,00;0,00;
0,00;0,00;300,88;0,22;0,00;0,00;
0,00;0,00;301,04;0,22;0,00;0,00;
0,00;0,00;301,20;0,40;0,00;0,00;
0,00;0,00;301,36;0,36;0,00;0,00;
0,00;0,00;301,52;0,40;0,00;0,00;
0,00;0,00;301,68;0,40;0,00;0,00;
0,00;0,00;301,84;0,40;0,00;0,00;
0,00;0,00;302,00;0,40;0,00;0,00;
0,00;0,00;302,16;0,44;0,00;0,00;
0,00;0,00;302,32;0,52;0,00;0,00;
0,00;0,00;302,48;0,52;0,00;0,00;
0,00;0,00;302,64;0,57;0,00;0,00;
0,00;0,00;302,80;0,57;0,00;0,00;
0,00;0,00;302,96;0,61;0,00;0,00;
0,00;0,00;303,12;0,57;0,00;0,00;
0,00;0,00;303,28;0,61;0,00;0,00;
0,00;0,00;303,44;0,66;0,00;0,00;
0,00;0,00;303,60;0,66;0,00;0,00;
0,00;0,00;303,76;0,70;0,00;0,00;
0,00;0,00;303,91;1,09;0,00;0,00;
0,00;0,00;304,07;1,13;0,00;0,00;
0,00;0,00;304,24;1,13;0,00;0,00;
0,00;0,00;304,40;1,26;0,00;0,00;
0,00;0,00;304,56;1,26;0,00;0,00;
0,00;0,00;304,72;1,26;0,00;0,00;
0,00;0,00;304,88;1,31;0,00;0,00;
0,00;0,00;305,04;1,40;0,00;0,00;
0,00;0,00;305,20;1,40;0,00;0,00;
0,00;0,00;305,36;1,44;0,00;0,00;
0,00;0,00;305,52;1,44;0,00;0,00;
0,00;0,00;305,68;1,52;0,00;0,00;
0,00;0,00;305,84;1,57;0,00;0,00;
0,00;0,00;306,00;1,61;0,00;0,00;
0,00;0,00;306,16;1,61;0,00;0,00;
0,00;0,00;306,32;1,65;0,00;0,00;
0,00;0,00;306,48;1,65;0,00;0,00;
0,00;0,00;306,64;1,70;0,00;0,00;
0,00;0,00;306,80;1,79;0,00;0,00;
0,00;0,00;306,96;1,79;0,00;0,00;
0,00;0,00;307,12;1,79;0,00;0,00;
0,00;0,00;307,28;1,88;0,00;0,00;
0,00;0,00;307,44;1,92;0,00;0,00;
0,00;0,00;307,60;1,97;0,00;0,00;
0,00;0,00;307,76;1,97;0,00;0,00;
0,00;0,00;307,92;2,00;0,00;0,00;
0,00;0,00;308,08;2,05;0,00;0,00;
0,00;0,00;308,24;2,13;0,00;0,00;
0,00;0,00;308,40;2,13;0,00;0,00;
0,00;0,00;308,56;2,13;0,00;0,00;
0,00;0,00;308,72;2,13;0,00;0,00;
0,00;0,00;308,88;2,13;0,00;0,00;
0,00;0,00;309,04;2,13;0,00;0,00;
0,00;0,00;309,20;2,13;0,00;0,00;
0,00;0,00;309,36;2,18;0,00;0,00;
0,00;0,00;309,52;2,18;0,00;0,00;
0,00;0,00;309,68;2,18;0,00;0,00;
0,00;0,00;309,84;2,18;0,00;0,00;
0,00;0,00;310,00;2,22;0,00;0,00;
0,00;0,00;310,16;2,22;0,00;0,00;
0,00;0,00;310,32;2,18;0,00;0,00;
0,00;0,00;310,48;2,22;0,00;0,00;
0,00;0,00;310,64;2,22;0,00;0,00;
0,00;0,00;310,80;2,31;0,00;0,00;
0,00;0,00;310,96;2,65;0,00;0,00;
0,00;0,00;311,11;4,05;0,00;0,00;
0,00;0,00;311,26;6,79;0,00;0,00;
0,00;0,00;311,40;10,87;0,00;0,00;
0,00;0,00;311,44;12,75;0,00;0,00;
0,00;0,00;311,45;13,00;0,00;0,00;
0,00;0,00;311,45;13,23;0,00;0,00;
0,00;0,00;311,46;13,40;0,00;0,00;
0,00;0,00;311,46;13,62;0,00;0,00;
0,00;0,00;311,47;13,62;0,00;0,00;
0,00;0,00;311,47;13,74;0,00;0,00;
0,00;0,00;311,47;13,79;0,00;0,00;
0,00;0,00;311,47;13,88;0,00;0,00;
0,00;0,00;311,47;13,88;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
0,00;0,00;311,48;14,05;0,00;0,00;
0,00;0,00;311,48;13,96;0,00;0,00;
