3355;13.02.20 11:43:38;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20200213105049;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;41,90;0,02;0,00;0,00;
0,00;0,00;41,96;0,16;0,00;0,00;
0,00;0,00;42,50;0,13;0,00;0,00;
0,00;0,00;43,51;0,16;0,00;0,00;
0,00;0,00;45,04;0,16;0,00;0,00;
0,00;0,00;47,09;0,18;0,00;0,00;
0,00;0,00;49,66;0,20;0,00;0,00;
0,00;0,00;52,69;0,27;0,00;0,00;
0,00;0,00;55,85;0,16;0,00;0,00;
0,00;0,00;59,00;0,13;0,00;0,00;
0,00;0,00;62,27;0,07;0,00;0,00;
0,00;0,00;65,41;0,16;0,00;0,00;
0,00;0,00;68,65;0,11;0,00;0,00;
0,00;0,00;71,83;0,16;0,00;0,00;
0,00;0,00;75,05;0,09;0,00;0,00;
0,00;0,00;78,24;0,16;0,00;0,00;
0,00;0,00;81,44;0,11;0,00;0,00;
0,00;0,00;84,64;0,16;0,00;0,00;
0,00;0,00;87,85;0,18;0,00;0,00;
0,00;0,00;91,05;0,11;0,00;0,00;
0,00;0,00;94,25;0,16;0,00;0,00;
0,00;0,00;97,45;0,13;0,00;0,00;
0,00;0,00;100,65;0,16;0,00;0,00;
0,00;0,00;103,85;0,13;0,00;0,00;
0,00;0,00;107,05;0,11;0,00;0,00;
0,00;0,00;110,25;0,13;0,00;0,00;
0,00;0,00;113,45;0,11;0,00;0,00;
0,00;0,00;116,65;0,16;0,00;0,00;
0,00;0,00;119,85;0,16;0,00;0,00;
0,00;0,00;123,05;0,13;0,00;0,00;
0,00;0,00;126,25;0,18;0,00;0,00;
0,00;0,00;129,45;0,13;0,00;0,00;
0,00;0,00;132,65;0,16;0,00;0,00;
0,00;0,00;135,85;0,16;0,00;0,00;
0,00;0,00;139,05;0,11;0,00;0,00;
0,00;0,00;142,18;-0,02;0,00;0,00;
0,00;0,00;144,80;0,09;0,00;0,00;
0,00;0,00;146,98;0,07;0,00;0,00;
0,00;0,00;148,67;0,05;0,00;0,00;
0,00;0,00;150,68;0,05;0,00;0,00;
0,00;0,00;150,73;0,02;0,00;0,00;
0,00;0,00;150,78;0,09;0,00;0,00;
0,00;0,00;150,91;0,07;0,00;0,00;
0,00;0,00;151,07;0,02;0,00;0,00;
0,00;0,00;151,23;0,02;0,00;0,00;
0,00;0,00;151,39;0,02;0,00;0,00;
0,00;0,00;151,55;0,02;0,00;0,00;
0,00;0,00;151,71;0,02;0,00;0,00;
0,00;0,00;151,87;0,02;0,00;0,00;
0,00;0,00;152,03;0,05;0,00;0,00;
0,00;0,00;152,19;0,23;0,00;0,00;
0,00;0,00;152,35;0,23;0,00;0,00;
0,00;0,00;152,50;2,31;0,00;0,00;
0,00;0,00;152,64;5,38;0,00;0,00;
0,00;0,00;152,77;7,87;0,00;0,00;
0,00;0,00;152,87;6,67;0,00;0,00;
0,00;0,00;152,92;5,29;0,00;0,00;
0,00;0,00;152,95;4,20;0,00;0,00;
0,00;0,00;152,96;3,91;0,00;0,00;
0,00;0,00;152,96;3,82;0,00;0,00;
0,00;0,00;152,96;3,73;0,00;0,00;
0,00;0,00;152,96;3,73;0,00;0,00;
0,00;0,00;152,96;3,73;0,00;0,00;
0,00;0,00;152,96;3,73;0,00;0,00;
0,00;0,00;152,96;3,64;0,00;0,00;
0,00;0,00;152,96;3,62;0,00;0,00;
0,00;0,00;152,95;3,55;0,00;0,00;
0,00;0,00;152,95;3,48;0,00;0,00;
