3946;17.02.20 16:49:46;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,14;0,37;0,00;0,00;
0,00;0,00;30,75;0,23;0,00;0,00;
0,00;0,00;31,70;0,30;0,00;0,00;
0,00;0,00;33,05;0,45;0,00;0,00;
0,00;0,00;34,79;0,30;0,00;0,00;
0,00;0,00;36,90;0,37;0,00;0,00;
0,00;0,00;39,27;0,31;0,00;0,00;
0,00;0,00;41,62;0,23;0,00;0,00;
0,00;0,00;44,04;0,31;0,00;0,00;
0,00;0,00;46,44;0,16;0,00;0,00;
0,00;0,00;48,84;0,31;0,00;0,00;
0,00;0,00;51,25;0,16;0,00;0,00;
0,00;0,00;53,64;0,22;0,00;0,00;
0,00;0,00;56,05;0,16;0,00;0,00;
0,00;0,00;58,45;0,23;0,00;0,00;
0,00;0,00;60,85;0,31;0,00;0,00;
0,00;0,00;63,25;0,23;0,00;0,00;
0,00;0,00;65,64;0,23;0,00;0,00;
0,00;0,00;68,05;0,30;0,00;0,00;
0,00;0,00;70,45;0,23;0,00;0,00;
0,00;0,00;72,85;0,23;0,00;0,00;
0,00;0,00;75,25;0,22;0,00;0,00;
0,00;0,00;77,64;0,23;0,00;0,00;
0,00;0,00;80,05;0,23;0,00;0,00;
0,00;0,00;82,45;0,16;0,00;0,00;
0,00;0,00;84,85;0,23;0,00;0,00;
0,00;0,00;87,25;0,16;0,00;0,00;
0,00;0,00;89,64;0,23;0,00;0,00;
0,00;0,00;92,05;0,23;0,00;0,00;
0,00;0,00;94,45;0,23;0,00;0,00;
0,00;0,00;96,85;0,16;0,00;0,00;
0,00;0,00;99,25;0,23;0,00;0,00;
0,00;0,00;101,65;0,23;0,00;0,00;
0,00;0,00;104,05;0,16;0,00;0,00;
0,00;0,00;106,45;0,23;0,00;0,00;
0,00;0,00;108,85;0,23;0,00;0,00;
0,00;0,00;111,25;0,16;0,00;0,00;
0,00;0,00;113,64;0,22;0,00;0,00;
0,00;0,00;116,05;0,16;0,00;0,00;
0,00;0,00;118,45;0,16;0,00;0,00;
0,00;0,00;120,85;0,16;0,00;0,00;
0,00;0,00;123,25;0,23;0,00;0,00;
0,00;0,00;125,64;0,16;0,00;0,00;
0,00;0,00;128,05;0,08;0,00;0,00;
0,00;0,00;130,45;0,16;0,00;0,00;
0,00;0,00;132,85;0,31;0,00;0,00;
0,00;0,00;135,25;0,08;0,00;0,00;
0,00;0,00;137,64;0,16;0,00;0,00;
0,00;0,00;140,05;0,23;0,00;0,00;
0,00;0,00;142,45;0,08;0,00;0,00;
0,00;0,00;144,85;0,23;0,00;0,00;
0,00;0,00;147,25;0,16;0,00;0,00;
0,00;0,00;149,64;0,16;0,00;0,00;
0,00;0,00;152,05;0,16;0,00;0,00;
0,00;0,00;154,45;0,23;0,00;0,00;
0,00;0,00;156,85;0,23;0,00;0,00;
0,00;0,00;159,25;0,16;0,00;0,00;
0,00;0,00;161,64;0,16;0,00;0,00;
0,00;0,00;165,78;0,16;0,00;0,00;
0,00;0,00;167,35;0,23;0,00;0,00;
0,00;0,00;168,53;0,23;0,00;0,00;
0,00;0,00;169,34;0,08;0,00;0,00;
0,00;0,00;169,77;0,08;0,00;0,00;
0,00;0,00;169,87;0,16;0,00;0,00;
0,00;0,00;169,92;0,08;0,00;0,00;
0,00;0,00;169,92;0,16;0,00;0,00;
0,00;0,00;170,06;0,08;0,00;0,00;
0,00;0,00;170,19;0,23;0,00;0,00;
0,00;0,00;170,34;0,16;0,00;0,00;
0,00;0,00;170,51;0,08;0,00;0,00;
0,00;0,00;170,67;0,23;0,00;0,00;
0,00;0,00;170,83;0,08;0,00;0,00;
0,00;0,00;170,99;0,23;0,00;0,00;
0,00;0,00;171,15;0,16;0,00;0,00;
0,00;0,00;171,31;0,23;0,00;0,00;
0,00;0,00;171,47;0,31;0,00;0,00;
0,00;0,00;171,63;0,23;0,00;0,00;
0,00;0,00;171,79;0,23;0,00;0,00;
0,00;0,00;171,95;0,23;0,00;0,00;
0,00;0,00;172,11;0,23;0,00;0,00;
0,00;0,00;172,27;0,23;0,00;0,00;
0,00;0,00;172,43;0,31;0,00;0,00;
0,00;0,00;172,59;0,16;0,00;0,00;
0,00;0,00;172,75;0,16;0,00;0,00;
0,00;0,00;172,91;0,23;0,00;0,00;
0,00;0,00;173,07;0,16;0,00;0,00;
0,00;0,00;173,23;0,16;0,00;0,00;
0,00;0,00;173,39;0,23;0,00;0,00;
0,00;0,00;173,55;0,16;0,00;0,00;
0,00;0,00;173,71;0,23;0,00;0,00;
0,00;0,00;173,87;0,23;0,00;0,00;
0,00;0,00;174,03;0,16;0,00;0,00;
0,00;0,00;174,19;0,31;0,00;0,00;
0,00;0,00;174,35;0,23;0,00;0,00;
0,00;0,00;174,51;0,16;0,00;0,00;
0,00;0,00;174,67;0,23;0,00;0,00;
0,00;0,00;174,83;0,31;0,00;0,00;
0,00;0,00;174,99;0,23;0,00;0,00;
0,00;0,00;175,15;0,23;0,00;0,00;
0,00;0,00;175,31;0,23;0,00;0,00;
0,00;0,00;175,47;0,23;0,00;0,00;
0,00;0,00;175,63;0,31;0,00;0,00;
0,00;0,00;175,79;0,31;0,00;0,00;
0,00;0,00;175,95;0,16;0,00;0,00;
0,00;0,00;176,11;0,23;0,00;0,00;
0,00;0,00;176,27;0,31;0,00;0,00;
0,00;0,00;176,43;0,23;0,00;0,00;
0,00;0,00;176,59;0,31;0,00;0,00;
0,00;0,00;176,75;0,31;0,00;0,00;
0,00;0,00;176,91;0,31;0,00;0,00;
0,00;0,00;177,07;0,23;0,00;0,00;
0,00;0,00;177,23;0,23;0,00;0,00;
0,00;0,00;177,39;0,23;0,00;0,00;
0,00;0,00;177,55;0,31;0,00;0,00;
0,00;0,00;177,71;0,16;0,00;0,00;
0,00;0,00;177,87;0,90;0,00;0,00;
0,00;0,00;178,02;2,82;0,00;0,00;
0,00;0,00;178,18;3,12;0,00;0,00;
0,00;0,00;178,35;3,05;0,00;0,00;
0,00;0,00;178,51;2,74;0,00;0,00;
0,00;0,00;178,67;2,66;0,00;0,00;
0,00;0,00;178,83;2,66;0,00;0,00;
0,00;0,00;178,99;2,82;0,00;0,00;
0,00;0,00;179,15;3,12;0,00;0,00;
0,00;0,00;179,31;3,12;0,00;0,00;
0,00;0,00;179,47;3,35;0,00;0,00;
0,00;0,00;179,63;3,66;0,00;0,00;
0,00;0,00;179,79;3,72;0,00;0,00;
0,00;0,00;179,95;3,96;0,00;0,00;
0,00;0,00;180,11;4,11;0,00;0,00;
0,00;0,00;180,27;4,27;0,00;0,00;
0,00;0,00;180,43;4,49;0,00;0,00;
0,00;0,00;180,59;4,72;0,00;0,00;
0,00;0,00;180,75;4,88;0,00;0,00;
0,00;0,00;180,91;4,88;0,00;0,00;
0,00;0,00;181,07;5,17;0,00;0,00;
0,00;0,00;181,23;5,40;0,00;0,00;
0,00;0,00;181,39;5,48;0,00;0,00;
0,00;0,00;181,55;5,56;0,00;0,00;
0,00;0,00;181,71;5,86;0,00;0,00;
0,00;0,00;181,87;6,09;0,00;0,00;
0,00;0,00;182,03;6,09;0,00;0,00;
0,00;0,00;182,19;6,40;0,00;0,00;
0,00;0,00;182,35;6,54;0,00;0,00;
0,00;0,00;182,51;6,70;0,00;0,00;
0,00;0,00;182,67;6,78;0,00;0,00;
0,00;0,00;182,83;7,01;0,00;0,00;
0,00;0,00;182,99;7,07;0,00;0,00;
0,00;0,00;183,15;7,30;0,00;0,00;
0,00;0,00;183,31;7,38;0,00;0,00;
0,00;0,00;183,47;7,68;0,00;0,00;
0,00;0,00;183,63;7,76;0,00;0,00;
0,00;0,00;183,79;7,91;0,00;0,00;
0,00;0,00;183,95;8,07;0,00;0,00;
0,00;0,00;184,11;8,22;0,00;0,00;
0,00;0,00;184,27;8,38;0,00;0,00;
0,00;0,00;184,43;8,46;0,00;0,00;
0,00;0,00;184,59;8,60;0,00;0,00;
0,00;0,00;184,75;8,75;0,00;0,00;
0,00;0,00;184,91;8,91;0,00;0,00;
0,00;0,00;185,07;9,14;0,00;0,00;
0,00;0,00;185,23;9,14;0,00;0,00;
0,00;0,00;185,39;9,36;0,00;0,00;
0,00;0,00;185,55;9,44;0,00;0,00;
0,00;0,00;185,71;9,67;0,00;0,00;
0,00;0,00;185,87;9,75;0,00;0,00;
0,00;0,00;186,03;9,89;0,00;0,00;
0,00;0,00;186,19;10,05;0,00;0,00;
0,00;0,00;186,35;10,05;0,00;0,00;
0,00;0,00;186,51;10,36;0,00;0,00;
0,00;0,00;186,67;10,36;0,00;0,00;
0,00;0,00;186,83;10,42;0,00;0,00;
0,00;0,00;186,99;10,65;0,00;0,00;
0,00;0,00;187,15;10,65;0,00;0,00;
0,00;0,00;187,31;10,89;0,00;0,00;
0,00;0,00;187,47;10,97;0,00;0,00;
0,00;0,00;187,63;11,11;0,00;0,00;
0,00;0,00;187,79;11,26;0,00;0,00;
0,00;0,00;187,95;11,26;0,00;0,00;
0,00;0,00;188,11;11,49;0,00;0,00;
0,00;0,00;188,27;11,57;0,00;0,00;
0,00;0,00;188,43;11,65;0,00;0,00;
0,00;0,00;188,59;11,73;0,00;0,00;
0,00;0,00;188,75;11,81;0,00;0,00;
0,00;0,00;188,91;11,88;0,00;0,00;
0,00;0,00;189,07;12,02;0,00;0,00;
0,00;0,00;189,23;12,18;0,00;0,00;
0,00;0,00;189,34;11,42;0,00;0,00;
0,00;0,00;189,35;10,89;0,00;0,00;
0,00;0,00;189,35;10,65;0,00;0,00;
0,00;0,00;189,12;0,45;0,00;0,00;
0,00;0,00;188,53;-0,16;0,00;0,00;
0,00;0,00;187,56;-0,39;0,00;0,00;
0,00;0,00;186,21;-0,23;0,00;0,00;
0,00;0,00;184,47;-0,31;0,00;0,00;
0,00;0,00;182,35;-0,16;0,00;0,00;
0,00;0,00;179,99;-0,23;0,00;0,00;
0,00;0,00;177,63;-0,31;0,00;0,00;
0,00;0,00;175,22;-0,23;0,00;0,00;
0,00;0,00;172,81;-0,16;0,00;0,00;
0,00;0,00;170,40;-0,23;0,00;0,00;
0,00;0,00;168,01;-0,23;0,00;0,00;
0,00;0,00;165,60;-0,16;0,00;0,00;
0,00;0,00;163,20;-0,23;0,00;0,00;
0,00;0,00;160,81;-0,16;0,00;0,00;
0,00;0,00;158,40;-0,08;0,00;0,00;
0,00;0,00;156,01;-0,16;0,00;0,00;
0,00;0,00;153,60;-0,16;0,00;0,00;
0,00;0,00;151,20;-0,16;0,00;0,00;
0,00;0,00;148,80;-0,16;0,00;0,00;
0,00;0,00;146,40;-0,16;0,00;0,00;
0,00;0,00;144,01;-0,16;0,00;0,00;
0,00;0,00;141,60;-0,16;0,00;0,00;
0,00;0,00;139,20;-0,23;0,00;0,00;
0,00;0,00;136,80;-0,16;0,00;0,00;
0,00;0,00;134,40;-0,16;0,00;0,00;
0,00;0,00;132,00;-0,16;0,00;0,00;
0,00;0,00;129,60;-0,16;0,00;0,00;
0,00;0,00;127,20;-0,16;0,00;0,00;
0,00;0,00;124,80;-0,16;0,00;0,00;
0,00;0,00;122,40;-0,08;0,00;0,00;
0,00;0,00;120,01;-0,16;0,00;0,00;
0,00;0,00;117,60;-0,16;0,00;0,00;
0,00;0,00;115,20;-0,23;0,00;0,00;
0,00;0,00;112,80;-0,08;0,00;0,00;
0,00;0,00;110,40;-0,08;0,00;0,00;
0,00;0,00;108,01;-0,16;0,00;0,00;
0,00;0,00;105,60;-0,16;0,00;0,00;
0,00;0,00;103,20;-0,16;0,00;0,00;
0,00;0,00;100,80;-0,08;0,00;0,00;
0,00;0,00;98,40;-0,08;0,00;0,00;
0,00;0,00;96,01;-0,16;0,00;0,00;
0,00;0,00;93,60;-0,16;0,00;0,00;
0,00;0,00;91,20;-0,16;0,00;0,00;
0,00;0,00;88,80;-0,08;0,00;0,00;
0,00;0,00;86,40;-0,16;0,00;0,00;
0,00;0,00;84,01;-0,08;0,00;0,00;
0,00;0,00;81,60;-0,16;0,00;0,00;
0,00;0,00;79,20;-0,16;0,00;0,00;
0,00;0,00;76,80;-0,08;0,00;0,00;
0,00;0,00;74,40;-0,16;0,00;0,00;
0,00;0,00;72,00;-0,16;0,00;0,00;
0,00;0,00;69,60;-0,08;0,00;0,00;
0,00;0,00;67,20;-0,23;0,00;0,00;
0,00;0,00;64,80;-0,16;0,00;0,00;
0,00;0,00;62,40;-0,08;0,00;0,00;
0,00;0,00;60,01;-0,16;0,00;0,00;
0,00;0,00;57,60;-0,08;0,00;0,00;
0,00;0,00;55,20;-0,08;0,00;0,00;
0,00;0,00;52,80;-0,08;0,00;0,00;
0,00;0,00;48,01;-0,08;0,00;0,00;
0,00;0,00;45,60;-0,23;0,00;0,00;
0,00;0,00;43,20;-0,16;0,00;0,00;
0,00;0,00;40,80;-0,08;0,00;0,00;
0,00;0,00;38,40;-0,16;0,00;0,00;
0,00;0,00;36,11;-0,08;0,00;0,00;
0,00;0,00;34,19;-0,08;0,00;0,00;
0,00;0,00;31,36;-0,16;0,00;0,00;
0,00;0,00;29,94;0,08;0,00;0,00;
