3551;17.02.20 11:52:53;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20200217113305;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;43,90;0,02;0,00;0,00;
0,00;0,00;43,96;0,29;0,00;0,00;
0,00;0,00;44,51;0,27;0,00;0,00;
0,00;0,00;45,53;0,24;0,00;0,00;
0,00;0,00;47,05;0,27;0,00;0,00;
0,00;0,00;49,10;0,31;0,00;0,00;
0,00;0,00;51,67;0,29;0,00;0,00;
0,00;0,00;54,71;0,31;0,00;0,00;
0,00;0,00;57,85;0,24;0,00;0,00;
0,00;0,00;61,01;0,22;0,00;0,00;
0,00;0,00;64,25;0,20;0,00;0,00;
0,00;0,00;67,43;0,20;0,00;0,00;
0,00;0,00;70,65;0,20;0,00;0,00;
0,00;0,00;73,85;0,24;0,00;0,00;
0,00;0,00;77,05;0,22;0,00;0,00;
0,00;0,00;80,25;0,24;0,00;0,00;
0,00;0,00;83,45;0,22;0,00;0,00;
0,00;0,00;86,65;0,24;0,00;0,00;
0,00;0,00;89,85;0,24;0,00;0,00;
0,00;0,00;93,05;0,18;0,00;0,00;
0,00;0,00;96,25;0,24;0,00;0,00;
0,00;0,00;99,45;0,20;0,00;0,00;
0,00;0,00;102,65;0,24;0,00;0,00;
0,00;0,00;105,85;0,24;0,00;0,00;
0,00;0,00;109,05;0,22;0,00;0,00;
0,00;0,00;112,25;0,24;0,00;0,00;
0,00;0,00;115,45;0,22;0,00;0,00;
0,00;0,00;118,65;0,24;0,00;0,00;
0,00;0,00;121,85;0,24;0,00;0,00;
0,00;0,00;125,05;0,22;0,00;0,00;
0,00;0,00;128,25;0,22;0,00;0,00;
0,00;0,00;131,45;0,22;0,00;0,00;
0,00;0,00;134,65;0,24;0,00;0,00;
0,00;0,00;137,85;0,22;0,00;0,00;
0,00;0,00;141,05;0,24;0,00;0,00;
0,00;0,00;144,25;0,22;0,00;0,00;
0,00;0,00;147,45;0,24;0,00;0,00;
0,00;0,00;150,64;0,20;0,00;0,00;
0,00;0,00;153,38;0,20;0,00;0,00;
0,00;0,00;155,69;0,16;0,00;0,00;
0,00;0,00;157,51;0,09;0,00;0,00;
0,00;0,00;158,81;0,09;0,00;0,00;
0,00;0,00;159,60;0,06;0,00;0,00;
0,00;0,00;159,89;0,09;0,00;0,00;
0,00;0,00;159,96;0,11;0,00;0,00;
0,00;0,00;159,97;0,11;0,00;0,00;
0,00;0,00;160,08;0,13;0,00;0,00;
0,00;0,00;160,22;0,16;0,00;0,00;
0,00;0,00;160,38;0,16;0,00;0,00;
0,00;0,00;160,54;0,13;0,00;0,00;
0,00;0,00;160,70;0,11;0,00;0,00;
0,00;0,00;160,86;0,13;0,00;0,00;
0,00;0,00;161,02;0,16;0,00;0,00;
0,00;0,00;161,18;0,13;0,00;0,00;
0,00;0,00;161,34;0,13;0,00;0,00;
0,00;0,00;161,50;0,13;0,00;0,00;
0,00;0,00;161,66;0,13;0,00;0,00;
0,00;0,00;161,82;0,11;0,00;0,00;
0,00;0,00;161,98;0,16;0,00;0,00;
0,00;0,00;162,14;0,18;0,00;0,00;
0,00;0,00;162,30;0,13;0,00;0,00;
0,00;0,00;162,46;0,13;0,00;0,00;
0,00;0,00;162,62;0,20;0,00;0,00;
0,00;0,00;162,78;0,13;0,00;0,00;
0,00;0,00;162,94;0,18;0,00;0,00;
0,00;0,00;163,10;0,18;0,00;0,00;
0,00;0,00;163,26;0,18;0,00;0,00;
0,00;0,00;163,42;0,16;0,00;0,00;
0,00;0,00;163,58;0,16;0,00;0,00;
0,00;0,00;163,74;0,11;0,00;0,00;
0,00;0,00;163,90;0,13;0,00;0,00;
0,00;0,00;164,06;0,16;0,00;0,00;
0,00;0,00;164,22;0,13;0,00;0,00;
0,00;0,00;164,38;0,13;0,00;0,00;
0,00;0,00;164,54;0,13;0,00;0,00;
0,00;0,00;164,70;0,13;0,00;0,00;
0,00;0,00;164,86;0,20;0,00;0,00;
0,00;0,00;165,02;0,16;0,00;0,00;
0,00;0,00;165,18;0,18;0,00;0,00;
0,00;0,00;165,34;0,13;0,00;0,00;
0,00;0,00;165,50;0,13;0,00;0,00;
0,00;0,00;165,66;0,18;0,00;0,00;
0,00;0,00;165,82;0,16;0,00;0,00;
0,00;0,00;165,98;0,18;0,00;0,00;
0,00;0,00;166,14;0,18;0,00;0,00;
0,00;0,00;166,30;0,13;0,00;0,00;
0,00;0,00;166,46;0,18;0,00;0,00;
0,00;0,00;166,62;0,13;0,00;0,00;
0,00;0,00;166,78;0,18;0,00;0,00;
0,00;0,00;166,94;0,16;0,00;0,00;
0,00;0,00;167,10;0,18;0,00;0,00;
0,00;0,00;167,26;0,16;0,00;0,00;
0,00;0,00;167,42;0,18;0,00;0,00;
0,00;0,00;167,58;0,18;0,00;0,00;
0,00;0,00;167,74;0,18;0,00;0,00;
0,00;0,00;167,90;0,13;0,00;0,00;
0,00;0,00;168,06;0,13;0,00;0,00;
0,00;0,00;168,22;0,16;0,00;0,00;
0,00;0,00;168,38;0,18;0,00;0,00;
0,00;0,00;168,54;0,18;0,00;0,00;
0,00;0,00;168,70;0,18;0,00;0,00;
0,00;0,00;168,86;0,16;0,00;0,00;
0,00;0,00;169,02;0,18;0,00;0,00;
0,00;0,00;169,18;0,16;0,00;0,00;
0,00;0,00;169,34;0,16;0,00;0,00;
0,00;0,00;169,50;0,13;0,00;0,00;
0,00;0,00;169,66;0,18;0,00;0,00;
0,00;0,00;169,82;0,16;0,00;0,00;
0,00;0,00;169,98;0,13;0,00;0,00;
0,00;0,00;170,14;0,16;0,00;0,00;
0,00;0,00;170,30;0,16;0,00;0,00;
0,00;0,00;170,46;0,13;0,00;0,00;
0,00;0,00;170,62;0,18;0,00;0,00;
0,00;0,00;170,78;0,16;0,00;0,00;
0,00;0,00;170,94;0,18;0,00;0,00;
0,00;0,00;171,10;0,18;0,00;0,00;
0,00;0,00;171,26;0,16;0,00;0,00;
0,00;0,00;171,42;0,13;0,00;0,00;
0,00;0,00;171,58;0,13;0,00;0,00;
0,00;0,00;171,74;0,16;0,00;0,00;
0,00;0,00;171,90;0,18;0,00;0,00;
0,00;0,00;172,06;0,18;0,00;0,00;
0,00;0,00;172,22;0,13;0,00;0,00;
0,00;0,00;172,38;0,16;0,00;0,00;
0,00;0,00;172,54;0,13;0,00;0,00;
0,00;0,00;172,70;0,11;0,00;0,00;
0,00;0,00;172,86;0,13;0,00;0,00;
0,00;0,00;173,02;0,13;0,00;0,00;
0,00;0,00;173,18;0,16;0,00;0,00;
0,00;0,00;173,34;0,18;0,00;0,00;
0,00;0,00;173,50;0,18;0,00;0,00;
0,00;0,00;173,66;0,13;0,00;0,00;
0,00;0,00;173,82;0,18;0,00;0,00;
0,00;0,00;173,98;0,13;0,00;0,00;
0,00;0,00;174,14;0,13;0,00;0,00;
0,00;0,00;174,30;0,13;0,00;0,00;
0,00;0,00;174,46;0,16;0,00;0,00;
0,00;0,00;174,62;0,18;0,00;0,00;
0,00;0,00;174,78;0,18;0,00;0,00;
0,00;0,00;174,94;0,18;0,00;0,00;
0,00;0,00;175,10;0,13;0,00;0,00;
0,00;0,00;175,26;0,11;0,00;0,00;
0,00;0,00;175,42;0,20;0,00;0,00;
0,00;0,00;175,58;0,13;0,00;0,00;
0,00;0,00;175,74;0,18;0,00;0,00;
0,00;0,00;175,90;0,18;0,00;0,00;
0,00;0,00;176,06;0,34;0,00;0,00;
0,00;0,00;176,22;0,29;0,00;0,00;
0,00;0,00;176,38;0,61;0,00;0,00;
0,00;0,00;176,54;0,95;0,00;0,00;
0,00;0,00;176,69;1,33;0,00;0,00;
0,00;0,00;176,85;1,90;0,00;0,00;
0,00;0,00;177,01;2,42;0,00;0,00;
0,00;0,00;177,17;2,76;0,00;0,00;
0,00;0,00;177,33;3,00;0,00;0,00;
0,00;0,00;177,49;3,21;0,00;0,00;
0,00;0,00;177,65;3,50;0,00;0,00;
0,00;0,00;177,81;3,78;0,00;0,00;
0,00;0,00;177,97;4,00;0,00;0,00;
0,00;0,00;178,13;4,32;0,00;0,00;
0,00;0,00;178,29;4,63;0,00;0,00;
0,00;0,00;178,45;4,88;0,00;0,00;
0,00;0,00;178,61;5,13;0,00;0,00;
0,00;0,00;178,77;5,38;0,00;0,00;
0,00;0,00;178,93;6,03;0,00;0,00;
0,00;0,00;179,07;9,85;0,00;0,00;
0,00;0,00;179,18;14,99;0,00;0,00;
0,00;0,00;179,30;20,51;0,00;0,00;
0,00;0,00;179,35;23,38;0,00;0,00;
0,00;0,00;179,37;24,49;0,00;0,00;
0,00;0,00;179,39;25,23;0,00;0,00;
0,00;0,00;179,40;25,93;0,00;0,00;
0,00;0,00;179,41;26,31;0,00;0,00;
0,00;0,00;179,42;26,81;0,00;0,00;
0,00;0,00;179,43;27,47;0,00;0,00;
0,00;0,00;179,44;28,06;0,00;0,00;
0,00;0,00;179,45;28,44;0,00;0,00;
0,00;0,00;179,45;28,82;0,00;0,00;
0,00;0,00;179,46;29,23;0,00;0,00;
0,00;0,00;179,47;29,55;0,00;0,00;
0,00;0,00;179,47;29,78;0,00;0,00;
0,00;0,00;179,48;29,87;0,00;0,00;
