46717;20.04.21 14:33:26;10;Repair_strategy;force > max. force (8);20210420135746A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;156,76;3,66;0,00;0,00;
0,00;0,00;156,92;3,75;0,00;0,00;
0,00;0,00;157,09;3,93;0,00;0,00;
0,00;0,00;157,25;4,04;0,00;0,00;
0,00;0,00;157,42;4,16;0,00;0,00;
0,00;0,00;157,58;4,34;0,00;0,00;
0,00;0,00;157,74;4,52;0,00;0,00;
0,00;0,00;157,90;4,66;0,00;0,00;
0,00;0,00;158,06;4,80;0,00;0,00;
0,00;0,00;158,22;4,95;0,00;0,00;
0,00;0,00;158,38;5,09;0,00;0,00;
0,00;0,00;158,54;5,27;0,00;0,00;
0,00;0,00;158,70;5,43;0,00;0,00;
0,00;0,00;158,86;5,58;0,00;0,00;
0,00;0,00;159,02;5,74;0,00;0,00;
0,00;0,00;159,18;5,86;0,00;0,00;
0,00;0,00;159,34;6,06;0,00;0,00;
0,00;0,00;159,50;6,19;0,00;0,00;
0,00;0,00;159,66;6,37;0,00;0,00;
0,00;0,00;159,82;6,49;0,00;0,00;
0,00;0,00;159,98;6,65;0,00;0,00;
0,00;0,00;160,15;6,80;0,00;0,00;
0,00;0,00;160,30;6,94;0,00;0,00;
0,00;0,00;160,46;7,15;0,00;0,00;
0,00;0,00;160,62;7,33;0,00;0,00;
0,00;0,00;160,78;7,44;0,00;0,00;
0,00;0,00;160,94;7,62;0,00;0,00;
0,00;0,00;161,10;7,85;0,00;0,00;
0,00;0,00;161,26;8,05;0,00;0,00;
0,00;0,00;161,42;8,25;0,00;0,00;
0,00;0,00;161,58;8,46;0,00;0,00;
0,00;0,00;161,74;8,61;0,00;0,00;
0,00;0,00;161,90;8,86;0,00;0,00;
0,00;0,00;162,06;9,11;0,00;0,00;
0,00;0,00;162,22;9,34;0,00;0,00;
0,00;0,00;162,38;9,52;0,00;0,00;
0,00;0,00;162,54;9,81;0,00;0,00;
0,00;0,00;162,70;10,11;0,00;0,00;
0,00;0,00;162,86;10,45;0,00;0,00;
0,00;0,00;163,02;10,69;0,00;0,00;
0,00;0,00;163,18;10,97;0,00;0,00;
0,00;0,00;163,34;11,26;0,00;0,00;
0,00;0,00;163,50;11,58;0,00;0,00;
0,00;0,00;163,66;11,89;0,00;0,00;
0,00;0,00;163,82;12,21;0,00;0,00;
0,00;0,00;163,98;12,61;0,00;0,00;
0,00;0,00;164,14;12,96;0,00;0,00;
0,00;0,00;164,30;13,27;0,00;0,00;
0,00;0,00;164,46;13,63;0,00;0,00;
0,00;0,00;164,62;14,02;0,00;0,00;
0,00;0,00;164,78;14,47;0,00;0,00;
0,00;0,00;164,93;15,08;0,00;0,00;
0,00;0,00;165,09;15,60;0,00;0,00;
0,00;0,00;165,25;16,03;0,00;0,00;
0,00;0,00;165,41;16,41;0,00;0,00;
0,00;0,00;165,57;16,78;0,00;0,00;
0,00;0,00;165,73;17,09;0,00;0,00;
0,00;0,00;165,89;18,97;0,00;0,00;
0,00;0,00;165,98;23,51;0,00;0,00;
0,00;0,00;165,99;23,74;0,00;0,00;
0,00;0,00;165,99;23,85;0,00;0,00;
0,00;0,00;166,00;24,19;0,00;0,00;
0,00;0,00;166,01;24,53;0,00;0,00;
0,00;0,00;166,02;24,78;0,00;0,00;
0,00;0,00;166,02;24,98;0,00;0,00;
0,00;0,00;166,02;25,12;0,00;0,00;
0,00;0,00;166,03;25,33;0,00;0,00;
0,00;0,00;166,03;25,46;0,00;0,00;
0,00;0,00;166,03;25,59;0,00;0,00;
0,00;0,00;166,04;25,69;0,00;0,00;
0,00;0,00;166,04;25,78;0,00;0,00;
0,00;0,00;166,04;25,89;0,00;0,00;
0,00;0,00;166,04;26,00;0,00;0,00;
0,00;0,00;166,05;26,05;0,00;0,00;
0,00;0,00;166,05;26,07;0,00;0,00;
