20551;04.06.21 12:29:32;21;Avvicinamento Pressata Finale;Alcun errore (0);20210604112703A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;271,42;0,18;0,00;0,00;
0,00;0,00;271,58;0,18;0,00;0,00;
0,00;0,00;271,74;0,18;0,00;0,00;
0,00;0,00;271,91;0,18;0,00;0,00;
0,00;0,00;272,06;0,18;0,00;0,00;
0,00;0,00;272,22;0,18;0,00;0,00;
0,00;0,00;272,38;0,18;0,00;0,00;
0,00;0,00;272,54;0,18;0,00;0,00;
0,00;0,00;272,71;0,18;0,00;0,00;
0,00;0,00;272,86;0,18;0,00;0,00;
0,00;0,00;273,02;0,18;0,00;0,00;
0,00;0,00;273,19;0,18;0,00;0,00;
0,00;0,00;273,34;0,18;0,00;0,00;
0,00;0,00;273,51;0,18;0,00;0,00;
0,00;0,00;273,66;0,18;0,00;0,00;
0,00;0,00;273,82;0,18;0,00;0,00;
0,00;0,00;273,99;0,18;0,00;0,00;
0,00;0,00;274,14;0,18;0,00;0,00;
0,00;0,00;274,30;0,18;0,00;0,00;
0,00;0,00;274,46;0,18;0,00;0,00;
0,00;0,00;274,62;0,18;0,00;0,00;
0,00;0,00;274,79;0,18;0,00;0,00;
0,00;0,00;274,94;0,18;0,00;0,00;
0,00;0,00;275,10;0,18;0,00;0,00;
0,00;0,00;275,27;0,18;0,00;0,00;
0,00;0,00;275,42;0,18;0,00;0,00;
0,00;0,00;275,58;0,18;0,00;0,00;
0,00;0,00;275,74;0,18;0,00;0,00;
0,00;0,00;275,90;0,18;0,00;0,00;
0,00;0,00;276,07;0,18;0,00;0,00;
0,00;0,00;276,22;0,18;0,00;0,00;
0,00;0,00;276,38;0,18;0,00;0,00;
0,00;0,00;276,54;0,18;0,00;0,00;
0,00;0,00;276,70;0,18;0,00;0,00;
0,00;0,00;276,87;0,13;0,00;0,00;
0,00;0,00;277,02;0,18;0,00;0,00;
0,00;0,00;277,18;0,18;0,00;0,00;
0,00;0,00;277,35;0,18;0,00;0,00;
0,00;0,00;277,50;0,18;0,00;0,00;
0,00;0,00;277,66;0,18;0,00;0,00;
0,00;0,00;277,82;0,18;0,00;0,00;
0,00;0,00;277,98;0,18;0,00;0,00;
0,00;0,00;278,15;0,18;0,00;0,00;
0,00;0,00;278,30;0,18;0,00;0,00;
0,00;0,00;278,46;0,18;0,00;0,00;
0,00;0,00;278,62;0,13;0,00;0,00;
0,00;0,00;278,78;0,13;0,00;0,00;
0,00;0,00;278,93;2,70;0,00;0,00;
0,00;0,00;279,10;3,09;0,00;0,00;
0,00;0,00;279,26;3,34;0,00;0,00;
0,00;0,00;279,42;3,22;0,00;0,00;
0,00;0,00;279,58;3,34;0,00;0,00;
0,00;0,00;279,74;3,61;0,00;0,00;
0,00;0,00;279,90;3,52;0,00;0,00;
0,00;0,00;280,06;3,61;0,00;0,00;
0,00;0,00;280,23;3,82;0,00;0,00;
0,00;0,00;280,38;3,78;0,00;0,00;
0,00;0,00;280,54;3,82;0,00;0,00;
0,00;0,00;280,70;3,96;0,00;0,00;
0,00;0,00;280,86;3,96;0,00;0,00;
0,00;0,00;281,02;4,00;0,00;0,00;
0,00;0,00;281,18;4,05;0,00;0,00;
0,00;0,00;281,34;4,22;0,00;0,00;
0,00;0,00;281,51;4,22;0,00;0,00;
0,00;0,00;281,66;4,39;0,00;0,00;
0,00;0,00;281,82;4,39;0,00;0,00;
0,00;0,00;281,98;4,35;0,00;0,00;
0,00;0,00;282,14;4,53;0,00;0,00;
0,00;0,00;282,30;4,53;0,00;0,00;
0,00;0,00;282,46;4,56;0,00;0,00;
0,00;0,00;282,62;4,70;0,00;0,00;
0,00;0,00;282,78;4,70;0,00;0,00;
0,00;0,00;282,94;4,79;0,00;0,00;
0,00;0,00;283,10;4,91;0,00;0,00;
0,00;0,00;283,26;4,91;0,00;0,00;
0,00;0,00;283,42;4,91;0,00;0,00;
0,00;0,00;283,59;5,04;0,00;0,00;
0,00;0,00;283,74;5,13;0,00;0,00;
0,00;0,00;283,90;5,22;0,00;0,00;
0,00;0,00;284,06;5,22;0,00;0,00;
0,00;0,00;284,22;5,30;0,00;0,00;
0,00;0,00;284,38;5,26;0,00;0,00;
0,00;0,00;284,54;5,39;0,00;0,00;
0,00;0,00;284,70;5,57;0,00;0,00;
0,00;0,00;284,86;5,48;0,00;0,00;
0,00;0,00;285,02;5,52;0,00;0,00;
0,00;0,00;285,19;5,61;0,00;0,00;
0,00;0,00;285,34;5,78;0,00;0,00;
0,00;0,00;285,50;5,78;0,00;0,00;
0,00;0,00;285,67;5,74;0,00;0,00;
0,00;0,00;285,82;5,91;0,00;0,00;
0,00;0,00;285,98;5,91;0,00;0,00;
0,00;0,00;286,14;5,91;0,00;0,00;
0,00;0,00;286,30;5,96;0,00;0,00;
0,00;0,00;286,47;6,05;0,00;0,00;
0,00;0,00;286,62;5,96;0,00;0,00;
0,00;0,00;286,78;6,05;0,00;0,00;
0,00;0,00;286,94;6,17;0,00;0,00;
0,00;0,00;287,10;6,17;0,00;0,00;
0,00;0,00;287,26;6,17;0,00;0,00;
0,00;0,00;287,42;6,22;0,00;0,00;
0,00;0,00;287,58;6,35;0,00;0,00;
0,00;0,00;287,74;6,22;0,00;0,00;
0,00;0,00;287,90;6,35;0,00;0,00;
0,00;0,00;288,06;6,43;0,00;0,00;
0,00;0,00;288,23;6,39;0,00;0,00;
0,00;0,00;288,39;6,39;0,00;0,00;
0,00;0,00;288,55;6,56;0,00;0,00;
0,00;0,00;288,70;6,48;0,00;0,00;
0,00;0,00;288,86;6,48;0,00;0,00;
0,00;0,00;289,02;6,65;0,00;0,00;
0,00;0,00;289,18;6,56;0,00;0,00;
0,00;0,00;289,34;6,61;0,00;0,00;
0,00;0,00;289,50;6,78;0,00;0,00;
0,00;0,00;289,66;6,79;0,00;0,00;
0,00;0,00;289,82;6,65;0,00;0,00;
0,00;0,00;289,98;6,96;0,00;0,00;
0,00;0,00;290,15;6,87;0,00;0,00;
0,00;0,00;290,30;6,82;0,00;0,00;
0,00;0,00;290,46;7,13;0,00;0,00;
0,00;0,00;290,62;6,96;0,00;0,00;
0,00;0,00;290,78;7,00;0,00;0,00;
0,00;0,00;290,94;7,30;0,00;0,00;
0,00;0,00;291,10;7,09;0,00;0,00;
0,00;0,00;291,26;7,18;0,00;0,00;
0,00;0,00;291,42;7,44;0,00;0,00;
0,00;0,00;291,58;7,18;0,00;0,00;
0,00;0,00;291,74;7,27;0,00;0,00;
0,00;0,00;291,91;7,52;0,00;0,00;
0,00;0,00;292,06;7,31;0,00;0,00;
0,00;0,00;292,22;7,31;0,00;0,00;
0,00;0,00;292,38;7,52;0,00;0,00;
0,00;0,00;292,54;7,48;0,00;0,00;
0,00;0,00;292,70;7,44;0,00;0,00;
0,00;0,00;292,86;7,69;0,00;0,00;
0,00;0,00;293,02;7,69;0,00;0,00;
0,00;0,00;293,18;7,66;0,00;0,00;
0,00;0,00;293,35;7,78;0,00;0,00;
0,00;0,00;293,51;7,87;0,00;0,00;
0,00;0,00;293,66;7,92;0,00;0,00;
0,00;0,00;293,82;7,92;0,00;0,00;
0,00;0,00;293,99;8,01;0,00;0,00;
