52365;21.07.21 09:54:01;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210721081956P0045;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;47,36;0,08;0,00;0,00;
0,00;0,00;47,81;0,16;0,00;0,00;
0,00;0,00;48,58;0,22;0,00;0,00;
0,00;0,00;49,73;0,14;0,00;0,00;
0,00;0,00;51,28;0,14;0,00;0,00;
0,00;0,00;53,20;0,22;0,00;0,00;
0,00;0,00;55,50;0,14;0,00;0,00;
0,00;0,00;57,84;0,23;0,00;0,00;
0,00;0,00;60,23;0,16;0,00;0,00;
0,00;0,00;62,64;0,23;0,00;0,00;
0,00;0,00;65,05;0,23;0,00;0,00;
0,00;0,00;67,44;0,16;0,00;0,00;
0,00;0,00;69,84;0,08;0,00;0,00;
0,00;0,00;72,25;0,23;0,00;0,00;
0,00;0,00;74,64;0,23;0,00;0,00;
0,00;0,00;77,05;0,16;0,00;0,00;
0,00;0,00;79,45;0,16;0,00;0,00;
0,00;0,00;81,85;0,16;0,00;0,00;
0,00;0,00;84,25;0,08;0,00;0,00;
0,00;0,00;86,64;0,23;0,00;0,00;
0,00;0,00;89,05;0,16;0,00;0,00;
0,00;0,00;91,45;0,16;0,00;0,00;
0,00;0,00;93,85;0,08;0,00;0,00;
0,00;0,00;96,25;0,16;0,00;0,00;
0,00;0,00;98,64;0,16;0,00;0,00;
0,00;0,00;101,05;0,08;0,00;0,00;
0,00;0,00;103,45;0,16;0,00;0,00;
0,00;0,00;105,85;0,23;0,00;0,00;
0,00;0,00;108,25;0,16;0,00;0,00;
0,00;0,00;110,64;0,08;0,00;0,00;
