29122;28.09.21 13:46:27;21;Avvicinamento Pressata Finale;force > max. force (8);20210927151004A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,00;-0,09;0,00;0,00;
0,00;0,00;21,12;0,04;0,00;0,00;
0,00;0,00;24,20;-0,04;0,00;0,00;
0,00;0,00;48,02;-0,04;0,00;0,00;
0,00;0,00;52,82;0,04;0,00;0,00;
0,00;0,00;67,22;-0,04;0,00;0,00;
0,00;0,00;76,82;-0,09;0,00;0,00;
0,00;0,00;81,62;0,04;0,00;0,00;
0,00;0,00;86,42;-0,04;0,00;0,00;
0,00;0,00;91,22;-0,04;0,00;0,00;
0,00;0,00;96,02;0,04;0,00;0,00;
0,00;0,00;100,82;0,04;0,00;0,00;
0,00;0,00;144,02;0,04;0,00;0,00;
0,00;0,00;148,82;-0,04;0,00;0,00;
0,00;0,00;158,42;-0,04;0,00;0,00;
0,00;0,00;168,02;-0,04;0,00;0,00;
0,00;0,00;182,42;0,04;0,00;0,00;
0,00;0,00;211,22;0,04;0,00;0,00;
0,00;0,00;220,82;0,04;0,00;0,00;
0,00;0,00;230,42;0,04;0,00;0,00;
0,00;0,00;240,02;-0,04;0,00;0,00;
0,00;0,00;254,17;-0,09;0,00;0,00;
0,00;0,00;257,00;-0,09;0,00;0,00;
0,00;0,00;258,59;0,04;0,00;0,00;
0,00;0,00;258,85;0,04;0,00;0,00;
0,00;0,00;259,10;0,04;0,00;0,00;
0,00;0,00;259,36;0,04;0,00;0,00;
0,00;0,00;259,61;0,04;0,00;0,00;
0,00;0,00;259,87;0,04;0,00;0,00;
0,00;0,00;260,13;0,04;0,00;0,00;
0,00;0,00;260,38;0,04;0,00;0,00;
0,00;0,00;260,64;0,04;0,00;0,00;
0,00;0,00;260,89;0,04;0,00;0,00;
0,00;0,00;261,15;0,04;0,00;0,00;
0,00;0,00;261,41;0,04;0,00;0,00;
0,00;0,00;261,66;0,04;0,00;0,00;
0,00;0,00;261,92;0,04;0,00;0,00;
0,00;0,00;262,17;0,04;0,00;0,00;
0,00;0,00;262,43;0,04;0,00;0,00;
0,00;0,00;262,69;0,04;0,00;0,00;
0,00;0,00;262,94;0,04;0,00;0,00;
0,00;0,00;263,45;0,04;0,00;0,00;
0,00;0,00;263,71;0,04;0,00;0,00;
0,00;0,00;263,97;0,04;0,00;0,00;
0,00;0,00;264,22;0,04;0,00;0,00;
0,00;0,00;264,48;0,04;0,00;0,00;
0,00;0,00;264,73;0,04;0,00;0,00;
0,00;0,00;264,99;0,04;0,00;0,00;
0,00;0,00;265,25;0,04;0,00;0,00;
0,00;0,00;265,50;0,04;0,00;0,00;
0,00;0,00;265,76;0,04;0,00;0,00;
0,00;0,00;266,01;0,04;0,00;0,00;
0,00;0,00;266,27;0,04;0,00;0,00;
0,00;0,00;266,53;0,04;0,00;0,00;
0,00;0,00;266,78;0,04;0,00;0,00;
0,00;0,00;267,04;0,04;0,00;0,00;
0,00;0,00;267,29;0,04;0,00;0,00;
0,00;0,00;267,55;0,04;0,00;0,00;
0,00;0,00;267,81;0,04;0,00;0,00;
0,00;0,00;268,06;0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;268,58;0,04;0,00;0,00;
0,00;0,00;268,83;0,04;0,00;0,00;
0,00;0,00;269,09;0,04;0,00;0,00;
0,00;0,00;269,34;0,04;0,00;0,00;
0,00;0,00;269,60;0,04;0,00;0,00;
0,00;0,00;269,86;0,04;0,00;0,00;
0,00;0,00;270,11;0,04;0,00;0,00;
0,00;0,00;270,37;0,04;0,00;0,00;
0,00;0,00;270,62;0,04;0,00;0,00;
0,00;0,00;270,88;0,09;0,00;0,00;
0,00;0,00;271,13;0,04;0,00;0,00;
0,00;0,00;271,39;0,04;0,00;0,00;
0,00;0,00;271,65;0,04;0,00;0,00;
0,00;0,00;271,90;0,04;0,00;0,00;
0,00;0,00;272,16;0,04;0,00;0,00;
0,00;0,00;272,42;0,04;0,00;0,00;
0,00;0,00;272,67;0,04;0,00;0,00;
0,00;0,00;272,93;0,04;0,00;0,00;
0,00;0,00;273,18;0,04;0,00;0,00;
0,00;0,00;273,44;0,09;0,00;0,00;
0,00;0,00;273,69;0,18;0,00;0,00;
0,00;0,00;273,95;0,22;0,00;0,00;
0,00;0,00;274,21;0,22;0,00;0,00;
0,00;0,00;274,46;0,22;0,00;0,00;
0,00;0,00;274,72;0,26;0,00;0,00;
0,00;0,00;274,97;0,26;0,00;0,00;
0,00;0,00;275,23;0,22;0,00;0,00;
0,00;0,00;275,48;0,61;0,00;0,00;
0,00;0,00;275,74;1,40;0,00;0,00;
0,00;0,00;275,99;2,87;0,00;0,00;
0,00;0,00;276,24;5,18;0,00;0,00;
0,00;0,00;276,49;7,39;0,00;0,00;
0,00;0,00;276,75;8,74;0,00;0,00;
0,00;0,00;277,01;10,43;0,00;0,00;
0,00;0,00;277,26;12,27;0,00;0,00;
0,00;0,00;277,52;14,00;0,00;0,00;
0,00;0,00;277,78;15,70;0,00;0,00;
0,00;0,00;278,04;16,70;0,00;0,00;
0,00;0,00;278,29;17,58;0,00;0,00;
0,00;0,00;278,55;18,79;0,00;0,00;
0,00;0,00;278,81;20,09;0,00;0,00;
0,00;0,00;278,86;19,18;0,00;0,00;
0,00;0,00;278,86;18,31;0,00;0,00;
