78090;14.09.21 11:46:31;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210910130227A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;160,70;6,33;0,00;0,00;
0,00;0,00;160,86;6,42;0,00;0,00;
0,00;0,00;161,02;6,53;0,00;0,00;
0,00;0,00;161,18;6,69;0,00;0,00;
0,00;0,00;161,34;6,78;0,00;0,00;
0,00;0,00;161,51;6,98;0,00;0,00;
0,00;0,00;161,67;7,08;0,00;0,00;
0,00;0,00;161,82;7,21;0,00;0,00;
0,00;0,00;161,99;7,33;0,00;0,00;
0,00;0,00;162,15;7,41;0,00;0,00;
0,00;0,00;162,31;7,60;0,00;0,00;
0,00;0,00;162,47;7,71;0,00;0,00;
0,00;0,00;162,63;7,87;0,00;0,00;
0,00;0,00;162,78;7,91;0,00;0,00;
0,00;0,00;162,94;8,07;0,00;0,00;
0,00;0,00;163,10;8,25;0,00;0,00;
0,00;0,00;163,26;8,41;0,00;0,00;
0,00;0,00;163,43;8,48;0,00;0,00;
0,00;0,00;163,59;8,66;0,00;0,00;
0,00;0,00;163,74;8,72;0,00;0,00;
0,00;0,00;163,90;8,84;0,00;0,00;
0,00;0,00;164,06;8,95;0,00;0,00;
0,00;0,00;164,22;9,09;0,00;0,00;
0,00;0,00;164,39;9,22;0,00;0,00;
0,00;0,00;164,55;9,29;0,00;0,00;
0,00;0,00;164,71;9,49;0,00;0,00;
0,00;0,00;164,87;9,59;0,00;0,00;
0,00;0,00;165,03;9,63;0,00;0,00;
0,00;0,00;165,19;9,79;0,00;0,00;
0,00;0,00;165,34;9,88;0,00;0,00;
0,00;0,00;165,51;10,04;0,00;0,00;
0,00;0,00;165,67;10,13;0,00;0,00;
0,00;0,00;165,83;10,22;0,00;0,00;
0,00;0,00;165,99;10,64;0,00;0,00;
0,00;0,00;166,03;12,68;0,00;0,00;
0,00;0,00;166,03;12,75;0,00;0,00;
0,00;0,00;166,03;12,75;0,00;0,00;
0,00;0,00;166,04;12,86;0,00;0,00;
0,00;0,00;166,04;12,93;0,00;0,00;
0,00;0,00;166,04;13,02;0,00;0,00;
0,00;0,00;166,04;13,09;0,00;0,00;
0,00;0,00;166,04;13,11;0,00;0,00;
0,00;0,00;166,04;12,97;0,00;0,00;
0,00;0,00;165,69;1,78;0,00;0,00;
0,00;0,00;164,85;-0,30;0,00;0,00;
0,00;0,00;163,42;-0,23;0,00;0,00;
0,00;0,00;161,47;-0,18;0,00;0,00;
0,00;0,00;159,02;-0,14;0,00;0,00;
0,00;0,00;156,06;-0,14;0,00;0,00;
0,00;0,00;152,91;-0,12;0,00;0,00;
0,00;0,00;149,75;-0,12;0,00;0,00;
0,00;0,00;146,53;-0,09;0,00;0,00;
0,00;0,00;143,33;-0,14;0,00;0,00;
0,00;0,00;140,13;-0,12;0,00;0,00;
0,00;0,00;136,93;-0,09;0,00;0,00;
0,00;0,00;133,73;-0,09;0,00;0,00;
0,00;0,00;130,53;-0,09;0,00;0,00;
0,00;0,00;127,33;-0,12;0,00;0,00;
0,00;0,00;124,13;-0,09;0,00;0,00;
0,00;0,00;120,93;-0,07;0,00;0,00;
0,00;0,00;117,73;-0,12;0,00;0,00;
0,00;0,00;114,53;-0,12;0,00;0,00;
0,00;0,00;111,33;-0,12;0,00;0,00;
0,00;0,00;108,13;-0,12;0,00;0,00;
0,00;0,00;104,93;-0,09;0,00;0,00;
0,00;0,00;101,73;-0,12;0,00;0,00;
0,00;0,00;98,53;-0,09;0,00;0,00;
0,00;0,00;95,33;-0,12;0,00;0,00;
0,00;0,00;92,13;-0,09;0,00;0,00;
0,00;0,00;88,93;-0,12;0,00;0,00;
0,00;0,00;85,73;-0,12;0,00;0,00;
0,00;0,00;82,53;-0,12;0,00;0,00;
0,00;0,00;79,33;-0,12;0,00;0,00;
0,00;0,00;76,12;-0,09;0,00;0,00;
0,00;0,00;72,93;-0,12;0,00;0,00;
0,00;0,00;69,73;-0,14;0,00;0,00;
0,00;0,00;66,53;-0,12;0,00;0,00;
0,00;0,00;63,33;-0,14;0,00;0,00;
0,00;0,00;60,13;-0,09;0,00;0,00;
0,00;0,00;56,92;-0,09;0,00;0,00;
0,00;0,00;53,73;-0,12;0,00;0,00;
0,00;0,00;50,53;-0,09;0,00;0,00;
0,00;0,00;47,33;-0,12;0,00;0,00;
0,00;0,00;44,12;-0,07;0,00;0,00;
0,00;0,00;40,93;-0,12;0,00;0,00;
0,00;0,00;37,73;-0,12;0,00;0,00;
0,00;0,00;34,53;-0,12;0,00;0,00;
0,00;0,00;31,33;-0,16;0,00;0,00;
0,00;0,00;28,13;-0,12;0,00;0,00;
0,00;0,00;24,93;-0,09;0,00;0,00;
0,00;0,00;21,73;-0,12;0,00;0,00;
0,00;0,00;18,53;-0,12;0,00;0,00;
0,00;0,00;15,33;-0,16;0,00;0,00;
0,00;0,00;12,12;-0,12;0,00;0,00;
0,00;0,00;9,22;-0,09;0,00;0,00;
0,00;0,00;6,81;-0,07;0,00;0,00;
0,00;0,00;4,85;-0,03;0,00;0,00;
0,00;0,00;3,40;-0,02;0,00;0,00;
0,00;0,00;2,46;-0,02;0,00;0,00;
0,00;0,00;1,92;-0,09;0,00;0,00;
0,00;0,00;1,90;-0,09;0,00;0,00;
