46689;18.06.21 08:20:55;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position < min position (11);20210617145700P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;179,15;0,31;0,00;0,00;
0,00;0,00;179,31;0,31;0,00;0,00;
0,00;0,00;179,47;0,31;0,00;0,00;
0,00;0,00;179,63;0,31;0,00;0,00;
0,00;0,00;179,79;0,31;0,00;0,00;
0,00;0,00;179,95;0,31;0,00;0,00;
0,00;0,00;180,11;0,31;0,00;0,00;
0,00;0,00;180,27;0,31;0,00;0,00;
0,00;0,00;180,43;0,31;0,00;0,00;
0,00;0,00;180,59;0,31;0,00;0,00;
0,00;0,00;180,75;0,31;0,00;0,00;
0,00;0,00;180,91;0,31;0,00;0,00;
0,00;0,00;181,07;0,31;0,00;0,00;
0,00;0,00;181,23;0,31;0,00;0,00;
0,00;0,00;181,39;0,31;0,00;0,00;
0,00;0,00;181,55;0,31;0,00;0,00;
0,00;0,00;181,71;1,90;0,00;0,00;
0,00;0,00;181,86;7,01;0,00;0,00;
0,00;0,00;182,01;7,32;0,00;0,00;
0,00;0,00;182,18;7,46;0,00;0,00;
0,00;0,00;182,34;7,62;0,00;0,00;
0,00;0,00;182,51;7,93;0,00;0,00;
0,00;0,00;182,67;7,93;0,00;0,00;
0,00;0,00;182,80;7,69;0,00;0,00;
0,00;0,00;182,79;6,31;0,00;0,00;
0,00;0,00;182,75;5,25;0,00;0,00;
0,00;0,00;181,53;-0,16;0,00;0,00;
0,00;0,00;178,95;0,16;0,00;0,00;
0,00;0,00;177,92;0,08;0,00;0,00;
0,00;0,00;176,64;0,08;0,00;0,00;
0,00;0,00;176,58;0,31;0,00;0,00;
0,00;0,00;176,73;0,31;0,00;0,00;
0,00;0,00;176,88;0,31;0,00;0,00;
0,00;0,00;177,05;0,31;0,00;0,00;
0,00;0,00;177,21;0,31;0,00;0,00;
0,00;0,00;177,37;0,31;0,00;0,00;
0,00;0,00;177,53;0,31;0,00;0,00;
0,00;0,00;177,69;0,31;0,00;0,00;
0,00;0,00;177,85;0,31;0,00;0,00;
0,00;0,00;178,01;0,31;0,00;0,00;
0,00;0,00;178,17;0,31;0,00;0,00;
0,00;0,00;178,33;0,31;0,00;0,00;
0,00;0,00;178,49;0,31;0,00;0,00;
0,00;0,00;178,65;0,31;0,00;0,00;
0,00;0,00;178,81;0,31;0,00;0,00;
0,00;0,00;178,97;0,31;0,00;0,00;
0,00;0,00;179,13;0,31;0,00;0,00;
0,00;0,00;179,29;0,31;0,00;0,00;
0,00;0,00;179,45;0,31;0,00;0,00;
0,00;0,00;179,61;0,31;0,00;0,00;
0,00;0,00;179,77;0,31;0,00;0,00;
0,00;0,00;179,93;0,31;0,00;0,00;
0,00;0,00;180,09;0,31;0,00;0,00;
0,00;0,00;180,25;0,31;0,00;0,00;
0,00;0,00;180,41;0,31;0,00;0,00;
0,00;0,00;180,57;0,31;0,00;0,00;
0,00;0,00;180,73;0,31;0,00;0,00;
0,00;0,00;180,89;0,31;0,00;0,00;
0,00;0,00;181,05;0,31;0,00;0,00;
0,00;0,00;181,21;0,31;0,00;0,00;
0,00;0,00;181,37;0,31;0,00;0,00;
0,00;0,00;181,53;0,31;0,00;0,00;
0,00;0,00;181,69;0,31;0,00;0,00;
0,00;0,00;181,85;0,31;0,00;0,00;
0,00;0,00;182,01;0,31;0,00;0,00;
0,00;0,00;182,17;0,31;0,00;0,00;
0,00;0,00;182,33;0,31;0,00;0,00;
0,00;0,00;182,49;0,31;0,00;0,00;
0,00;0,00;182,65;0,76;0,00;0,00;
