Nr;Date;ProgNr;ProgName;State;
3374;14.01.20 15:01:14;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;178,45;0,37;0,00;0,00;
0,00;0,00;178,61;0,30;0,00;0,00;
0,00;0,00;178,77;0,37;0,00;0,00;
0,00;0,00;178,80;0,37;0,00;0,00;
0,00;0,00;178,80;0,37;0,00;0,00;
0,00;0,00;179,04;0,37;0,00;0,00;
0,00;0,00;179,65;0,37;0,00;0,00;
0,00;0,00;180,60;0,37;0,00;0,00;
0,00;0,00;181,95;0,30;0,00;0,00;
0,00;0,00;183,69;0,37;0,00;0,00;
0,00;0,00;185,80;0,37;0,00;0,00;
0,00;0,00;188,17;0,30;0,00;0,00;
0,00;0,00;190,52;0,37;0,00;0,00;
0,00;0,00;192,94;0,37;0,00;0,00;
0,00;0,00;195,34;0,37;0,00;0,00;
0,00;0,00;197,74;0,37;0,00;0,00;
0,00;0,00;200,15;0,37;0,00;0,00;
0,00;0,00;202,54;0,22;0,00;0,00;
0,00;0,00;204,95;0,37;0,00;0,00;
0,00;0,00;207,29;0,22;0,00;0,00;
0,00;0,00;209,24;0,30;0,00;0,00;
0,00;0,00;210,89;0,22;0,00;0,00;
0,00;0,00;212,17;0,37;0,00;0,00;
0,00;0,00;213,07;0,22;0,00;0,00;
0,00;0,00;213,60;0,08;0,00;0,00;
0,00;0,00;213,76;0,30;0,00;0,00;
0,00;0,00;213,82;0,22;0,00;0,00;
0,00;0,00;213,82;0,14;0,00;0,00;
0,00;0,00;213,70;-0,16;0,00;0,00;
0,00;0,00;213,56;-0,08;0,00;0,00;
0,00;0,00;212,91;-0,16;0,00;0,00;
0,00;0,00;212,43;0,08;0,00;0,00;
0,00;0,00;211,63;0,08;0,00;0,00;
0,00;0,00;211,47;0,08;0,00;0,00;
0,00;0,00;210,99;0,08;0,00;0,00;
0,00;0,00;210,83;0,08;0,00;0,00;
0,00;0,00;210,67;0,08;0,00;0,00;
0,00;0,00;210,51;0,08;0,00;0,00;
0,00;0,00;210,35;0,08;0,00;0,00;
0,00;0,00;210,19;0,08;0,00;0,00;
0,00;0,00;209,71;0,08;0,00;0,00;
0,00;0,00;209,55;-0,08;0,00;0,00;
0,00;0,00;209,07;0,08;0,00;0,00;
0,00;0,00;208,75;0,08;0,00;0,00;
0,00;0,00;208,59;0,08;0,00;0,00;
0,00;0,00;208,43;0,08;0,00;0,00;
0,00;0,00;208,27;0,08;0,00;0,00;
0,00;0,00;208,11;0,08;0,00;0,00;
0,00;0,00;207,95;0,08;0,00;0,00;
0,00;0,00;207,79;0,08;0,00;0,00;
0,00;0,00;207,63;0,08;0,00;0,00;
0,00;0,00;207,47;0,08;0,00;0,00;
0,00;0,00;207,31;0,08;0,00;0,00;
0,00;0,00;207,15;0,08;0,00;0,00;
0,00;0,00;206,99;0,08;0,00;0,00;
0,00;0,00;206,83;0,08;0,00;0,00;
0,00;0,00;206,19;0,08;0,00;0,00;
0,00;0,00;206,03;-0,08;0,00;0,00;
0,00;0,00;205,87;-0,16;0,00;0,00;
0,00;0,00;205,55;0,08;0,00;0,00;
0,00;0,00;205,07;-0,08;0,00;0,00;
0,00;0,00;204,91;-0,16;0,00;0,00;
0,00;0,00;204,43;-0,16;0,00;0,00;
0,00;0,00;204,11;0,08;0,00;0,00;
0,00;0,00;203,79;-0,08;0,00;0,00;
0,00;0,00;203,63;-0,08;0,00;0,00;
0,00;0,00;203,47;-0,08;0,00;0,00;
0,00;0,00;203,31;0,08;0,00;0,00;
0,00;0,00;202,83;0,08;0,00;0,00;
0,00;0,00;202,35;0,08;0,00;0,00;
0,00;0,00;201,39;0,08;0,00;0,00;
0,00;0,00;201,07;0,08;0,00;0,00;
0,00;0,00;200,91;0,08;0,00;0,00;
0,00;0,00;200,75;0,08;0,00;0,00;
0,00;0,00;200,59;0,08;0,00;0,00;
0,00;0,00;200,43;0,08;0,00;0,00;
0,00;0,00;200,27;0,08;0,00;0,00;
0,00;0,00;200,11;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
0,00;0,00;199,96;0,08;0,00;0,00;
