3376;14.01.20 15:09:29;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;144,95;0,22;0,00;0,00;
0,00;0,00;147,35;0,22;0,00;0,00;
0,00;0,00;149,74;0,14;0,00;0,00;
0,00;0,00;152,15;0,14;0,00;0,00;
0,00;0,00;154,54;0,14;0,00;0,00;
0,00;0,00;156,95;0,22;0,00;0,00;
0,00;0,00;159,35;0,30;0,00;0,00;
0,00;0,00;161,74;0,22;0,00;0,00;
0,00;0,00;164,15;0,22;0,00;0,00;
0,00;0,00;166,30;0,14;0,00;0,00;
0,00;0,00;168,11;0,06;0,00;0,00;
0,00;0,00;170,67;0,14;0,00;0,00;
0,00;0,00;171,80;0,14;0,00;0,00;
0,00;0,00;171,82;0,14;0,00;0,00;
0,00;0,00;171,92;0,06;0,00;0,00;
0,00;0,00;172,05;0,22;0,00;0,00;
0,00;0,00;172,20;0,14;0,00;0,00;
0,00;0,00;172,37;0,22;0,00;0,00;
0,00;0,00;172,53;0,14;0,00;0,00;
0,00;0,00;172,85;0,14;0,00;0,00;
0,00;0,00;173,01;0,22;0,00;0,00;
0,00;0,00;173,17;0,14;0,00;0,00;
0,00;0,00;173,33;0,22;0,00;0,00;
0,00;0,00;173,49;0,30;0,00;0,00;
0,00;0,00;173,65;0,22;0,00;0,00;
0,00;0,00;173,81;0,30;0,00;0,00;
0,00;0,00;173,97;0,22;0,00;0,00;
0,00;0,00;174,13;0,30;0,00;0,00;
0,00;0,00;174,29;0,14;0,00;0,00;
0,00;0,00;174,45;0,22;0,00;0,00;
0,00;0,00;174,61;0,22;0,00;0,00;
0,00;0,00;174,77;0,30;0,00;0,00;
0,00;0,00;174,93;0,22;0,00;0,00;
0,00;0,00;175,09;0,22;0,00;0,00;
0,00;0,00;175,25;0,30;0,00;0,00;
0,00;0,00;175,41;0,30;0,00;0,00;
0,00;0,00;175,57;0,30;0,00;0,00;
0,00;0,00;175,73;0,22;0,00;0,00;
0,00;0,00;175,89;0,30;0,00;0,00;
0,00;0,00;176,05;0,22;0,00;0,00;
0,00;0,00;176,21;0,30;0,00;0,00;
0,00;0,00;176,37;0,30;0,00;0,00;
0,00;0,00;176,53;0,22;0,00;0,00;
0,00;0,00;176,69;0,30;0,00;0,00;
0,00;0,00;176,85;0,22;0,00;0,00;
0,00;0,00;177,01;0,22;0,00;0,00;
0,00;0,00;177,17;0,22;0,00;0,00;
0,00;0,00;177,33;0,30;0,00;0,00;
0,00;0,00;177,49;0,30;0,00;0,00;
0,00;0,00;177,65;0,30;0,00;0,00;
0,00;0,00;177,81;0,22;0,00;0,00;
0,00;0,00;177,97;0,30;0,00;0,00;
0,00;0,00;178,13;0,30;0,00;0,00;
0,00;0,00;178,29;0,30;0,00;0,00;
0,00;0,00;178,45;0,30;0,00;0,00;
0,00;0,00;178,61;0,22;0,00;0,00;
0,00;0,00;178,77;0,30;0,00;0,00;
0,00;0,00;178,80;0,22;0,00;0,00;
0,00;0,00;178,80;0,22;0,00;0,00;
0,00;0,00;178,56;-0,23;0,00;0,00;
0,00;0,00;177,95;-0,31;0,00;0,00;
0,00;0,00;177,00;-0,23;0,00;0,00;
0,00;0,00;175,65;-0,23;0,00;0,00;
0,00;0,00;173,92;-0,23;0,00;0,00;
0,00;0,00;171,80;-0,16;0,00;0,00;
0,00;0,00;169,43;-0,16;0,00;0,00;
0,00;0,00;167,11;-0,08;0,00;0,00;
0,00;0,00;165,11;-0,08;0,00;0,00;
0,00;0,00;163,41;-0,08;0,00;0,00;
0,00;0,00;160,50;0,22;0,00;0,00;
0,00;0,00;160,64;0,30;0,00;0,00;
0,00;0,00;160,80;0,22;0,00;0,00;
0,00;0,00;160,96;0,30;0,00;0,00;
0,00;0,00;161,13;0,22;0,00;0,00;
0,00;0,00;161,29;0,22;0,00;0,00;
0,00;0,00;161,45;0,22;0,00;0,00;
0,00;0,00;161,61;0,22;0,00;0,00;
0,00;0,00;161,77;0,22;0,00;0,00;
0,00;0,00;161,93;0,22;0,00;0,00;
0,00;0,00;162,09;0,30;0,00;0,00;
0,00;0,00;162,25;0,22;0,00;0,00;
0,00;0,00;162,41;0,22;0,00;0,00;
0,00;0,00;162,57;0,30;0,00;0,00;
0,00;0,00;162,73;0,30;0,00;0,00;
0,00;0,00;162,89;0,30;0,00;0,00;
0,00;0,00;163,05;0,14;0,00;0,00;
0,00;0,00;163,21;0,22;0,00;0,00;
0,00;0,00;163,37;0,30;0,00;0,00;
0,00;0,00;163,53;0,22;0,00;0,00;
0,00;0,00;163,69;0,22;0,00;0,00;
0,00;0,00;163,85;0,22;0,00;0,00;
0,00;0,00;164,01;0,22;0,00;0,00;
0,00;0,00;164,17;0,22;0,00;0,00;
0,00;0,00;164,33;0,14;0,00;0,00;
0,00;0,00;164,49;0,30;0,00;0,00;
0,00;0,00;164,65;0,22;0,00;0,00;
0,00;0,00;164,81;0,22;0,00;0,00;
0,00;0,00;164,97;0,22;0,00;0,00;
0,00;0,00;165,13;0,30;0,00;0,00;
0,00;0,00;165,29;0,22;0,00;0,00;
0,00;0,00;165,45;0,30;0,00;0,00;
0,00;0,00;165,61;0,14;0,00;0,00;
0,00;0,00;165,77;0,22;0,00;0,00;
0,00;0,00;165,93;0,14;0,00;0,00;
0,00;0,00;166,09;0,30;0,00;0,00;
0,00;0,00;166,25;0,22;0,00;0,00;
0,00;0,00;166,41;0,22;0,00;0,00;
0,00;0,00;166,57;0,22;0,00;0,00;
0,00;0,00;166,73;0,30;0,00;0,00;
0,00;0,00;166,89;0,30;0,00;0,00;
0,00;0,00;167,05;0,22;0,00;0,00;
0,00;0,00;167,21;0,06;0,00;0,00;
0,00;0,00;167,37;0,22;0,00;0,00;
0,00;0,00;167,53;0,30;0,00;0,00;
0,00;0,00;167,69;0,22;0,00;0,00;
0,00;0,00;167,85;0,22;0,00;0,00;
0,00;0,00;168,01;0,30;0,00;0,00;
0,00;0,00;168,17;0,30;0,00;0,00;
0,00;0,00;168,33;0,30;0,00;0,00;
0,00;0,00;168,49;0,22;0,00;0,00;
0,00;0,00;168,65;0,30;0,00;0,00;
0,00;0,00;168,81;0,30;0,00;0,00;
0,00;0,00;168,97;0,30;0,00;0,00;
0,00;0,00;169,13;0,30;0,00;0,00;
0,00;0,00;169,29;0,22;0,00;0,00;
0,00;0,00;169,45;0,30;0,00;0,00;
0,00;0,00;169,61;0,30;0,00;0,00;
0,00;0,00;169,77;0,30;0,00;0,00;
0,00;0,00;169,93;0,30;0,00;0,00;
0,00;0,00;170,09;0,30;0,00;0,00;
0,00;0,00;170,25;0,30;0,00;0,00;
0,00;0,00;170,41;0,30;0,00;0,00;
0,00;0,00;170,57;0,30;0,00;0,00;
0,00;0,00;170,73;0,30;0,00;0,00;
0,00;0,00;170,89;0,30;0,00;0,00;
0,00;0,00;171,05;0,30;0,00;0,00;
0,00;0,00;171,21;0,30;0,00;0,00;
0,00;0,00;171,37;0,22;0,00;0,00;
0,00;0,00;171,53;0,30;0,00;0,00;
0,00;0,00;171,69;0,30;0,00;0,00;
0,00;0,00;171,85;0,22;0,00;0,00;
0,00;0,00;172,01;0,30;0,00;0,00;
0,00;0,00;172,17;0,30;0,00;0,00;
0,00;0,00;172,33;0,22;0,00;0,00;
0,00;0,00;172,49;0,30;0,00;0,00;
0,00;0,00;172,65;0,22;0,00;0,00;
0,00;0,00;172,81;0,22;0,00;0,00;
0,00;0,00;172,97;0,30;0,00;0,00;
0,00;0,00;173,13;0,30;0,00;0,00;
0,00;0,00;173,29;0,30;0,00;0,00;
0,00;0,00;173,45;0,30;0,00;0,00;
0,00;0,00;173,61;0,22;0,00;0,00;
0,00;0,00;173,77;0,30;0,00;0,00;
0,00;0,00;173,93;0,14;0,00;0,00;
0,00;0,00;174,09;0,30;0,00;0,00;
0,00;0,00;174,25;0,30;0,00;0,00;
0,00;0,00;174,41;0,30;0,00;0,00;
0,00;0,00;174,57;0,30;0,00;0,00;
0,00;0,00;174,73;0,30;0,00;0,00;
0,00;0,00;174,89;0,30;0,00;0,00;
0,00;0,00;175,05;0,30;0,00;0,00;
0,00;0,00;175,21;0,30;0,00;0,00;
0,00;0,00;175,37;0,30;0,00;0,00;
0,00;0,00;175,53;0,30;0,00;0,00;
0,00;0,00;175,69;0,30;0,00;0,00;
0,00;0,00;175,85;0,30;0,00;0,00;
0,00;0,00;176,01;0,22;0,00;0,00;
0,00;0,00;176,17;0,30;0,00;0,00;
0,00;0,00;176,33;0,30;0,00;0,00;
0,00;0,00;176,49;0,22;0,00;0,00;
0,00;0,00;176,65;0,30;0,00;0,00;
0,00;0,00;176,81;0,22;0,00;0,00;
0,00;0,00;176,97;0,30;0,00;0,00;
0,00;0,00;177,13;0,30;0,00;0,00;
0,00;0,00;177,29;0,30;0,00;0,00;
0,00;0,00;177,45;0,22;0,00;0,00;
0,00;0,00;177,61;0,30;0,00;0,00;
0,00;0,00;177,77;0,22;0,00;0,00;
0,00;0,00;177,93;0,30;0,00;0,00;
0,00;0,00;178,09;0,30;0,00;0,00;
0,00;0,00;178,25;0,22;0,00;0,00;
0,00;0,00;178,41;0,30;0,00;0,00;
0,00;0,00;178,57;0,30;0,00;0,00;
0,00;0,00;178,73;0,30;0,00;0,00;
0,00;0,00;178,89;0,30;0,00;0,00;
0,00;0,00;179,05;0,14;0,00;0,00;
0,00;0,00;179,21;0,30;0,00;0,00;
0,00;0,00;179,37;0,30;0,00;0,00;
0,00;0,00;179,53;0,30;0,00;0,00;
0,00;0,00;179,69;0,30;0,00;0,00;
0,00;0,00;179,85;0,30;0,00;0,00;
0,00;0,00;180,01;0,30;0,00;0,00;
0,00;0,00;180,17;0,30;0,00;0,00;
0,00;0,00;180,33;0,30;0,00;0,00;
0,00;0,00;180,49;0,22;0,00;0,00;
0,00;0,00;180,65;0,30;0,00;0,00;
